field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.5,28,35
1,2010-01-02,0.2,12,29
2,2010-01-03,2.4,8,19
3,2010-01-04,T,16,23
4,2010-01-05,T,15,24
5,2010-01-06,T,17,25
6,2010-01-07,0.0,25,30
7,2010-01-08,1.1,16,26
8,2010-01-09,0.0,5,18
9,2010-01-10,0.0,0,20
10,2010-01-11,0.0,19,28
11,2010-01-12,T,14,27
12,2010-01-13,T,7,25
13,2010-01-14,T,25,37
14,2010-01-15,0.0,31,40
15,2010-01-16,0.0,23,40
16,2010-01-17,1.3,22,37
17,2010-01-18,0.7,33,41
18,2010-01-19,0.3,32,35
19,2010-01-20,T,29,38
20,2010-01-21,0.0,21,38
21,2010-01-22,0.0,17,34
22,2010-01-23,0.0,13,32
23,2010-01-24,0.0,15,41
24,2010-01-25,0.0,37,56
25,2010-01-26,0.2,28,40
26,2010-01-27,T,24,37
27,2010-01-28,0.3,14,35
28,2010-01-29,T,4,15
29,2010-01-30,0.0,-2,13
30,2010-01-31,0.0,2,27
31,2010-02-01,0.2,15,28
32,2010-02-02,0.1,12,29
33,2010-02-03,0.9,23,33
34,2010-02-04,T,17,30
35,2010-02-05,T,16,34
36,2010-02-06,0.0,10,22
37,2010-02-07,0.0,8,24
38,2010-02-08,0.0,17,27
39,2010-02-09,0.0,17,31
40,2010-02-10,0.8,24,33
41,2010-02-11,0.0,21,32
42,2010-02-12,0.0,17,33
43,2010-02-13,T,12,28
44,2010-02-14,0.1,24,37
45,2010-02-15,T,22,38
46,2010-02-16,5.3,27,30
47,2010-02-17,0.2,28,33
48,2010-02-18,T,30,36
49,2010-02-19,T,30,36
50,2010-02-20,0.0,34,37
51,2010-02-21,0.0,24,35
52,2010-02-22,0.1,19,40
53,2010-02-23,6.4,32,35
54,2010-02-24,6.0,32,35
55,2010-02-25,0.1,33,38
56,2010-02-26,2.2,32,43
57,2010-02-27,2.1,32,35
58,2010-02-28,0.4,32,38
59,2010-03-01,0.0,34,42
60,2010-03-02,0.0,34,45
61,2010-03-03,T,33,42
62,2010-03-04,0.0,31,40
63,2010-03-05,0.0,27,41
64,2010-03-06,0.0,21,48
65,2010-03-07,0.0,32,50
66,2010-03-08,0.0,35,51
67,2010-03-09,0.0,33,52
68,2010-03-10,0.0,25,56
69,2010-03-11,0.0,37,51
70,2010-03-12,0.0,40,53
71,2010-03-13,0.0,37,45
72,2010-03-14,0.0,40,49
73,2010-03-15,0.0,40,47
74,2010-03-16,0.0,30,62
75,2010-03-17,0.0,27,62
76,2010-03-18,0.0,30,64
77,2010-03-19,0.0,34,68
78,2010-03-20,0.0,35,70
79,2010-03-21,0.0,38,58
80,2010-03-22,0.0,38,47
81,2010-03-23,0.0,38,47
82,2010-03-24,0.0,31,55
83,2010-03-25,0.0,27,57
84,2010-03-26,0.2,22,40
85,2010-03-27,0.0,20,40
86,2010-03-28,0.0,31,45
87,2010-03-29,0.0,41,53
88,2010-03-30,0.0,37,43
89,2010-03-31,0.0,41,46
90,2010-04-01,0.0,43,67
91,2010-04-02,0.0,38,77
92,2010-04-03,0.0,50,77
93,2010-04-04,0.0,43,69
94,2010-04-05,0.0,36,74
95,2010-04-06,0.0,42,57
96,2010-04-07,0.0,40,87
97,2010-04-08,0.0,50,83
98,2010-04-09,0.0,38,55
99,2010-04-10,0.0,36,56
100,2010-04-11,0.0,42,63
101,2010-04-12,0.0,36,59
102,2010-04-13,0.0,35,61
103,2010-04-14,0.0,30,65
104,2010-04-15,0.0,34,69
105,2010-04-16,0.0,43,57
106,2010-04-17,0.0,39,49
107,2010-04-18,0.0,39,53
108,2010-04-19,0.0,36,62
109,2010-04-20,0.0,37,69
110,2010-04-21,0.0,37,69
111,2010-04-22,0.0,41,67
112,2010-04-23,0.0,37,64
113,2010-04-24,0.0,31,66
114,2010-04-25,0.0,50,56
115,2010-04-26,0.0,48,59
116,2010-04-27,0.0,35,49
117,2010-04-28,0.0,36,55
118,2010-04-29,0.0,40,63
119,2010-04-30,0.0,42,71
120,2010-05-01,0.0,52,84
121,2010-05-02,0.0,63,87
122,2010-05-03,0.0,51,76
123,2010-05-04,0.0,45,72
124,2010-05-05,0.0,43,79
125,2010-05-06,0.0,49,71
126,2010-05-07,0.0,43,66
127,2010-05-08,0.0,39,64
128,2010-05-09,0.0,36,47
129,2010-05-10,0.0,32,56
130,2010-05-11,0.0,29,57
131,2010-05-12,0.0,35,50
132,2010-05-13,0.0,31,64
133,2010-05-14,0.0,50,75
134,2010-05-15,0.0,49,65
135,2010-05-16,0.0,47,72
136,2010-05-17,0.0,40,74
137,2010-05-18,0.0,49,66
138,2010-05-19,0.0,52,59
139,2010-05-20,0.0,44,83
140,2010-05-21,0.0,51,85
141,2010-05-22,0.0,58,79
142,2010-05-23,0.0,55,79
143,2010-05-24,0.0,56,83
144,2010-05-25,0.0,60,89
145,2010-05-26,0.0,62,94
146,2010-05-27,0.0,60,81
147,2010-05-28,0.0,54,78
148,2010-05-29,0.0,61,79
149,2010-05-30,0.0,60,82
150,2010-05-31,0.0,57,87
151,2010-06-01,0.0,63,79
152,2010-06-02,0.0,56,85
153,2010-06-03,0.0,63,80
154,2010-06-04,0.0,61,83
155,2010-06-05,0.0,65,85
156,2010-06-06,0.0,53,75
157,2010-06-07,0.0,48,72
158,2010-06-08,0.0,49,69
159,2010-06-09,0.0,45,58
160,2010-06-10,0.0,56,73
161,2010-06-11,0.0,51,78
162,2010-06-12,0.0,61,65
163,2010-06-13,0.0,60,66
164,2010-06-14,0.0,56,76
165,2010-06-15,0.0,49,76
166,2010-06-16,0.0,52,70
167,2010-06-17,0.0,55,71
168,2010-06-18,0.0,50,85
169,2010-06-19,0.0,64,85
170,2010-06-20,0.0,69,86
171,2010-06-21,0.0,63,83
172,2010-06-22,0.0,59,78
173,2010-06-23,0.0,67,81
174,2010-06-24,0.0,67,87
175,2010-06-25,0.0,59,82
176,2010-06-26,0.0,59,78
177,2010-06-27,0.0,60,84
178,2010-06-28,0.0,70,85
179,2010-06-29,0.0,54,77
180,2010-06-30,0.0,50,71
181,2010-07-01,0.0,49,70
182,2010-07-02,0.0,48,80
183,2010-07-03,0.0,53,87
184,2010-07-04,0.0,61,89
185,2010-07-05,0.0,60,94
186,2010-07-06,0.0,76,96
187,2010-07-07,0.0,71,95
188,2010-07-08,0.0,73,93
189,2010-07-09,0.0,73,91
190,2010-07-10,0.0,70,82
191,2010-07-11,0.0,70,88
192,2010-07-12,0.0,66,91
193,2010-07-13,0.0,70,86
194,2010-07-14,0.0,71,83
195,2010-07-15,0.0,67,89
196,2010-07-16,0.0,72,90
197,2010-07-17,0.0,66,91
198,2010-07-18,0.0,65,84
199,2010-07-19,0.0,65,87
200,2010-07-20,0.0,67,82
201,2010-07-21,0.0,64,87
202,2010-07-22,0.0,62,83
203,2010-07-23,0.0,64,71
204,2010-07-24,0.0,69,89
205,2010-07-25,0.0,65,80
206,2010-07-26,0.0,61,82
207,2010-07-27,0.0,62,87
208,2010-07-28,0.0,62,88
209,2010-07-29,0.0,63,82
210,2010-07-30,0.0,57,79
211,2010-07-31,0.0,50,76
212,2010-08-01,0.0,56,83
213,2010-08-02,0.0,68,84
214,2010-08-03,0.0,70,86
215,2010-08-04,0.0,74,91
216,2010-08-05,0.0,70,84
217,2010-08-06,0.0,60,80
218,2010-08-07,0.0,58,77
219,2010-08-08,0.0,54,87
220,2010-08-09,0.0,71,91
221,2010-08-10,0.0,69,87
222,2010-08-11,0.0,69,86
223,2010-08-12,0.0,66,80
224,2010-08-13,0.0,66,83
225,2010-08-14,0.0,63,83
226,2010-08-15,0.0,65,75
227,2010-08-16,0.0,66,81
228,2010-08-17,0.0,59,86
229,2010-08-18,0.0,60,86
230,2010-08-19,0.0,64,87
231,2010-08-20,0.0,58,78
232,2010-08-21,0.0,50,75
233,2010-08-22,0.0,63,72
234,2010-08-23,0.0,61,67
235,2010-08-24,0.0,61,73
236,2010-08-25,0.0,62,74
237,2010-08-26,0.0,59,77
238,2010-08-27,0.0,53,74
239,2010-08-28,0.0,49,81
240,2010-08-29,0.0,56,89
241,2010-08-30,0.0,60,89
242,2010-08-31,0.0,66,92
243,2010-09-01,0.0,65,93
244,2010-09-02,0.0,67,93
245,2010-09-03,0.0,70,86
246,2010-09-04,0.0,58,76
247,2010-09-05,0.0,50,71
248,2010-09-06,0.0,46,78
249,2010-09-07,0.0,60,87
250,2010-09-08,0.0,60,76
251,2010-09-09,0.0,58,65
252,2010-09-10,0.0,50,67
253,2010-09-11,0.0,44,75
254,2010-09-12,0.0,57,66
255,2010-09-13,0.0,53,73
256,2010-09-14,0.0,47,70
257,2010-09-15,0.0,47,66
258,2010-09-16,0.0,43,70
259,2010-09-17,0.0,51,66
260,2010-09-18,0.0,49,72
261,2010-09-19,0.0,56,68
262,2010-09-20,0.0,46,69
263,2010-09-21,0.0,39,72
264,2010-09-22,0.0,60,79
265,2010-09-23,0.0,57,75
266,2010-09-24,0.0,65,86
267,2010-09-25,0.0,59,79
268,2010-09-26,0.0,51,70
269,2010-09-27,0.0,54,61
270,2010-09-28,0.0,61,78
271,2010-09-29,0.0,56,76
272,2010-09-30,0.0,59,76
273,2010-10-01,0.0,52,63
274,2010-10-02,0.0,45,63
