field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,1.0,9,23
1,2010-01-02,0.2,-1,9
2,2010-01-03,3.2,5,18
3,2010-01-04,1.0,16,20
4,2010-01-05,T,17,21
5,2010-01-06,T,17,23
6,2010-01-07,0.1,19,25
7,2010-01-08,0.4,13,19
8,2010-01-09,0.0,4,20
9,2010-01-10,0.0,2,31
10,2010-01-11,1.9,18,26
11,2010-01-12,0.3,16,26
12,2010-01-13,0.0,26,32
13,2010-01-14,0.0,25,41
14,2010-01-15,0.0,31,35
15,2010-01-16,0.0,18,43
16,2010-01-17,0.0,16,38
17,2010-01-18,T,30,39
18,2010-01-19,1.2,20,32
19,2010-01-20,T,9,26
20,2010-01-21,0.0,13,30
21,2010-01-22,0.0,18,35
22,2010-01-23,0.0,22,34
23,2010-01-24,0.0,34,39
24,2010-01-25,0.0,32,39
25,2010-01-26,T,21,33
26,2010-01-27,0.2,16,22
27,2010-01-28,0.4,5,16
28,2010-01-29,T,3,13
29,2010-01-30,T,9,22
30,2010-01-31,0.6,14,25
31,2010-02-01,0.0,11,25
32,2010-02-02,0.1,9,28
33,2010-02-03,0.1,15,28
34,2010-02-04,T,16,34
35,2010-02-05,T,20,31
36,2010-02-06,1.1,7,21
37,2010-02-07,0.0,2,27
38,2010-02-08,0.0,2,29
39,2010-02-09,1.2,11,23
40,2010-02-10,3.1,17,21
41,2010-02-11,0.0,11,29
42,2010-02-12,0.1,17,29
43,2010-02-13,0.5,13,25
44,2010-02-14,T,20,29
45,2010-02-15,0.3,13,25
46,2010-02-16,1.2,22,27
47,2010-02-17,T,25,36
48,2010-02-18,T,20,36
49,2010-02-19,0.0,24,38
50,2010-02-20,0.0,18,37
51,2010-02-21,T,11,34
52,2010-02-22,1.2,16,29
53,2010-02-23,T,12,31
54,2010-02-24,T,11,30
55,2010-02-25,1.1,12,23
56,2010-02-26,1.8,20,29
57,2010-02-27,T,26,34
58,2010-02-28,0.0,28,36
59,2010-03-01,0.0,16,31
60,2010-03-02,0.0,6,35
61,2010-03-03,0.0,8,36
62,2010-03-04,T,8,32
63,2010-03-05,0.0,5,38
64,2010-03-06,0.0,8,51
65,2010-03-07,0.0,28,53
66,2010-03-08,0.0,28,57
67,2010-03-09,0.0,24,55
68,2010-03-10,0.0,25,47
69,2010-03-11,0.0,35,47
70,2010-03-12,0.0,38,41
71,2010-03-13,0.0,39,49
72,2010-03-14,0.0,42,46
73,2010-03-15,0.0,32,59
74,2010-03-16,0.0,23,60
75,2010-03-17,0.0,24,65
76,2010-03-18,0.0,32,63
77,2010-03-19,0.0,27,53
78,2010-03-20,0.0,26,37
79,2010-03-21,0.0,16,43
80,2010-03-22,0.0,17,44
81,2010-03-23,0.0,27,50
82,2010-03-24,0.0,29,59
83,2010-03-25,0.0,19,41
84,2010-03-26,0.0,14,30
85,2010-03-27,0.0,17,49
86,2010-03-28,0.0,28,51
87,2010-03-29,0.0,25,46
88,2010-03-30,0.0,19,52
89,2010-03-31,0.0,29,75
90,2010-04-01,0.0,40,70
91,2010-04-02,0.0,44,83
92,2010-04-03,0.0,40,75
93,2010-04-04,0.0,41,67
94,2010-04-05,0.0,45,68
95,2010-04-06,0.0,44,49
96,2010-04-07,0.0,40,48
97,2010-04-08,T,29,41
98,2010-04-09,T,28,38
99,2010-04-10,0.0,25,64
100,2010-04-11,0.0,27,60
101,2010-04-12,0.0,26,50
102,2010-04-13,0.0,29,52
103,2010-04-14,0.0,26,61
104,2010-04-15,0.0,37,84
105,2010-04-16,0.0,35,70
106,2010-04-17,T,33,45
107,2010-04-18,0.0,38,56
108,2010-04-19,0.0,32,61
109,2010-04-20,0.0,30,64
110,2010-04-21,0.0,31,45
111,2010-04-22,0.0,25,47
112,2010-04-23,0.0,22,58
113,2010-04-24,0.0,30,61
114,2010-04-25,0.0,42,58
115,2010-04-26,0.0,37,61
116,2010-04-27,0.0,33,50
117,2010-04-28,0.0,33,60
118,2010-04-29,0.0,25,60
119,2010-04-30,0.0,44,75
120,2010-05-01,0.0,52,82
121,2010-05-02,0.0,50,64
122,2010-05-03,0.0,47,74
123,2010-05-04,0.0,45,68
124,2010-05-05,0.0,47,69
125,2010-05-06,0.0,42,57
126,2010-05-07,0.0,37,42
127,2010-05-08,0.3,33,41
128,2010-05-09,0.0,29,52
129,2010-05-10,0.0,30,55
130,2010-05-11,0.0,29,49
131,2010-05-12,0.0,36,57
132,2010-05-13,0.0,36,49
133,2010-05-14,0.0,38,60
134,2010-05-15,0.0,40,60
135,2010-05-16,0.0,38,67
136,2010-05-17,0.0,36,70
137,2010-05-18,0.0,37,76
138,2010-05-19,0.0,41,80
139,2010-05-20,0.0,47,84
140,2010-05-21,0.0,47,70
