field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.0,31,42
1,2010-01-02,0.0,21,31
2,2010-01-03,0.0,18,28
3,2010-01-04,0.0,23,32
4,2010-01-05,T,24,34
5,2010-01-06,0.0,29,36
6,2010-01-07,0.0,25,38
7,2010-01-08,M,23,33
8,2010-01-09,0.0,18,31
9,2010-01-10,0.0,16,29
10,2010-01-11,0.0,14,35
11,2010-01-12,0.0,27,34
12,2010-01-13,0.0,25,40
13,2010-01-14,0.0,21,52
14,2010-01-15,0.0,24,57
15,2010-01-16,0.0,25,52
16,2010-01-17,0.0,36,50
17,2010-01-18,0.0,31,53
18,2010-01-19,0.0,29,55
19,2010-01-20,0.0,34,42
20,2010-01-21,0.0,31,45
21,2010-01-22,0.0,29,45
22,2010-01-23,0.0,26,43
23,2010-01-24,0.0,31,59
24,2010-01-25,0.0,44,61
25,2010-01-26,0.0,33,49
26,2010-01-27,0.0,29,42
27,2010-01-28,0.0,29,54
28,2010-01-29,0.0,20,29
29,2010-01-30,M,17,24
30,2010-01-31,M,7,27
31,2010-02-01,M,1,36
32,2010-02-02,M,11,40
33,2010-02-03,M,32,40
34,2010-02-04,M,26,37
35,2010-02-05,M,28,36
36,2010-02-06,M,16,36
37,2010-02-07,M,10,29
38,2010-02-08,M,18,31
39,2010-02-09,M,10,39
40,2010-02-10,M,23,37
41,2010-02-11,M,24,37
42,2010-02-12,M,23,36
43,2010-02-13,M,25,31
44,2010-02-14,M,21,39
45,2010-02-15,M,13,42
46,2010-02-16,M,26,37
47,2010-02-17,M,26,36
48,2010-02-18,M,31,43
49,2010-02-19,M,34,43
50,2010-02-20,M,30,44
51,2010-02-21,M,34,48
52,2010-02-22,M,30,46
53,2010-02-23,M,37,47
54,2010-02-24,M,34,45
55,2010-02-25,M,32,39
56,2010-02-26,M,31,38
57,2010-02-27,M,31,44
58,2010-02-28,M,26,44
59,2010-03-01,M,34,49
60,2010-03-02,M,29,43
61,2010-03-03,M,36,39
62,2010-03-04,M,34,46
63,2010-03-05,M,33,47
64,2010-03-06,M,29,50
65,2010-03-07,M,30,57
66,2010-03-08,M,28,59
67,2010-03-09,M,28,64
68,2010-03-10,M,32,65
69,2010-03-11,M,49,64
70,2010-03-12,M,48,56
71,2010-03-13,M,48,56
72,2010-03-14,M,45,57
73,2010-03-15,M,43,47
74,2010-03-16,M,34,59
75,2010-03-17,M,30,65
76,2010-03-18,M,32,68
77,2010-03-19,M,34,72
78,2010-03-20,M,39,76
79,2010-03-21,M,41,75
80,2010-03-22,M,47,64
81,2010-03-23,M,45,54
82,2010-03-24,M,40,64
83,2010-03-25,M,36,74
84,2010-03-26,M,35,59
85,2010-03-27,M,30,46
86,2010-03-28,M,31,62
87,2010-03-29,M,53,57
88,2010-03-30,M,43,54
89,2010-03-31,M,45,67
90,2010-04-01,M,39,72
91,2010-04-02,M,40,67
92,2010-04-03,M,46,71
93,2010-04-04,M,49,77
94,2010-04-05,M,47,82
95,2010-04-06,M,56,88
96,2010-04-07,M,67,88
97,2010-04-08,M,66,82
98,2010-04-09,M,47,65
99,2010-04-10,M,37,62
100,2010-04-11,M,42,74
101,2010-04-12,M,43,70
102,2010-04-13,M,38,58
103,2010-04-14,M,39,62
104,2010-04-15,M,37,70
105,2010-04-16,M,52,86
106,2010-04-17,M,38,69
107,2010-04-18,M,32,58
108,2010-04-19,M,41,66
109,2010-04-20,M,37,70
110,2010-04-21,M,41,65
111,2010-04-22,M,46,72
112,2010-04-23,M,46,71
113,2010-04-24,M,42,67
114,2010-04-25,M,51,76
115,2010-04-26,M,52,60
116,2010-04-27,M,44,68
117,2010-04-28,M,33,59
118,2010-04-29,M,42,67
119,2010-04-30,M,43,81
120,2010-05-01,M,60,88
121,2010-05-02,M,68,86
122,2010-05-03,M,68,82
123,2010-05-04,M,60,84
124,2010-05-05,M,53,82
125,2010-05-06,M,54,88
126,2010-05-07,M,49,76
127,2010-05-08,M,57,86
128,2010-05-09,M,41,63
129,2010-05-10,M,40,63
130,2010-05-11,M,35,60
131,2010-05-12,M,51,80
132,2010-05-13,M,50,66
133,2010-05-14,M,53,85
134,2010-05-15,M,54,78
135,2010-05-16,M,51,75
136,2010-05-17,M,48,62
137,2010-05-18,M,51,61
138,2010-05-19,M,52,67
139,2010-05-20,M,51,78
140,2010-05-21,M,51,85
141,2010-05-22,M,57,76
142,2010-05-23,M,61,78
143,2010-05-24,M,61,78
144,2010-05-25,M,56,77
145,2010-05-26,M,52,87
146,2010-05-27,M,59,87
147,2010-05-28,M,59,75
148,2010-05-29,M,60,81
149,2010-05-30,M,64,88
150,2010-05-31,M,62,90
151,2010-06-01,0.0,68,84
152,2010-06-02,0.0,66,88
153,2010-06-03,0.0,67,87
154,2010-06-04,0.0,67,89
155,2010-06-05,0.0,75,90
156,2010-06-06,0.0,67,92
157,2010-06-07,0.0,57,77
158,2010-06-08,0.0,56,77
159,2010-06-09,0.0,57,76
160,2010-06-10,0.0,67,88
161,2010-06-11,0.0,62,83
162,2010-06-12,0.0,60,88
163,2010-06-13,0.0,73,92
164,2010-06-14,0.0,70,89
165,2010-06-15,0.0,69,82
166,2010-06-16,0.0,68,85
167,2010-06-17,0.0,68,88
168,2010-06-18,0.0,58,83
169,2010-06-19,0.0,59,89
170,2010-06-20,0.0,70,94
171,2010-06-21,0.0,68,92
172,2010-06-22,0.0,66,94
173,2010-06-23,0.0,68,95
174,2010-06-24,0.0,72,98
175,2010-06-25,0.0,69,88
176,2010-06-26,0.0,68,90
177,2010-06-27,0.0,70,96
178,2010-06-28,0.0,76,97
179,2010-06-29,0.0,76,90
180,2010-06-30,0.0,60,79
181,2010-07-01,0.0,57,81
182,2010-07-02,0.0,56,80
183,2010-07-03,0.0,54,85
184,2010-07-04,0.0,61,92
185,2010-07-05,0.0,66,97
186,2010-07-06,0.0,70,102
187,2010-07-07,0.0,72,98
188,2010-07-08,0.0,73,89
189,2010-07-09,0.0,73,88
190,2010-07-10,0.0,69,77
191,2010-07-11,0.0,69,90
