field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,2.0,22,33
1,2010-01-02,12.1,22,27
2,2010-01-03,0.5,27,37
3,2010-01-04,0.1,32,37
4,2010-01-05,0.5,28,36
5,2010-01-06,T,24,34
6,2010-01-07,T,18,32
7,2010-01-08,T,6,25
8,2010-01-09,T,10,24
9,2010-01-10,0.0,4,20
10,2010-01-11,0.0,4,30
11,2010-01-12,T,10,23
12,2010-01-13,0.0,4,23
13,2010-01-14,0.0,-3,25
14,2010-01-15,0.0,19,38
15,2010-01-16,0.0,24,42
16,2010-01-17,0.0,16,37
17,2010-01-18,2.3,22,30
18,2010-01-19,3.7,24,30
19,2010-01-20,8.0,24,31
20,2010-01-21,T,3,34
21,2010-01-22,T,1,30
22,2010-01-23,0.0,-8,31
23,2010-01-24,T,7,34
24,2010-01-25,0.0,33,51
25,2010-01-26,T,34,48
26,2010-01-27,0.0,26,42
27,2010-01-28,0.8,22,36
28,2010-01-29,0.2,4,22
29,2010-01-30,0.0,2,19
30,2010-01-31,0.0,0,24
31,2010-02-01,T,14,23
32,2010-02-02,0.0,3,20
33,2010-02-03,T,7,28
34,2010-02-04,T,7,24
35,2010-02-05,0.0,6,26
36,2010-02-06,0.0,2,22
37,2010-02-07,T,8,26
38,2010-02-08,T,21,31
39,2010-02-09,0.0,22,43
40,2010-02-10,0.0,17,33
41,2010-02-11,0.0,24,39
42,2010-02-12,0.0,26,39
43,2010-02-13,0.0,21,39
44,2010-02-14,T,27,34
45,2010-02-15,T,23,38
46,2010-02-16,0.0,17,40
47,2010-02-17,0.0,28,40
48,2010-02-18,0.2,31,46
49,2010-02-19,T,30,39
50,2010-02-20,0.0,31,44
51,2010-02-21,T,30,34
52,2010-02-22,0.3,24,43
53,2010-02-23,T,25,40
54,2010-02-24,0.2,33,37
55,2010-02-25,T,35,39
56,2010-02-26,0.5,33,44
57,2010-02-27,0.5,34,40
58,2010-02-28,1.0,33,42
59,2010-03-01,0.9,34,41
60,2010-03-02,0.0,33,45
61,2010-03-03,0.0,32,39
62,2010-03-04,T,33,39
63,2010-03-05,0.0,26,42
64,2010-03-06,0.0,20,54
65,2010-03-07,0.0,22,54
66,2010-03-08,0.0,30,52
67,2010-03-09,0.0,26,41
68,2010-03-10,0.0,19,46
69,2010-03-11,0.0,23,49
70,2010-03-12,0.0,23,52
71,2010-03-13,0.0,19,50
72,2010-03-14,0.0,33,47
73,2010-03-15,0.0,36,56
74,2010-03-16,0.0,26,60
75,2010-03-17,0.0,24,62
