field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,4,13
1,2010-01-02,0.0,11,43
2,2010-01-03,0.0,20,38
3,2010-01-04,T,20,35
4,2010-01-05,6.9,9,20
5,2010-01-06,1.2,-14,9
6,2010-01-07,0.0,-19,8
7,2010-01-08,0.0,6,25
8,2010-01-09,0.0,19,40
9,2010-01-10,0.0,25,44
10,2010-01-11,0.0,26,48
11,2010-01-12,0.0,36,47
12,2010-01-13,0.0,31,51
13,2010-01-14,0.0,30,44
14,2010-01-15,0.0,31,50
15,2010-01-16,0.0,38,52
16,2010-01-17,0.0,27,46
17,2010-01-18,0.0,28,43
18,2010-01-19,0.0,26,41
19,2010-01-20,0.0,23,42
20,2010-01-21,0.0,23,38
21,2010-01-22,3.3,20,26
22,2010-01-23,2.4,20,23
23,2010-01-24,0.1,17,28
24,2010-01-25,0.0,12,23
25,2010-01-26,0.6,10,18
26,2010-01-27,T,7,23
27,2010-01-28,0.0,3,30
28,2010-01-29,0.0,22,35
29,2010-01-30,0.0,18,28
30,2010-01-31,3.7,12,18
31,2010-02-01,2.4,15,32
32,2010-02-02,0.0,21,37
33,2010-02-03,0.0,21,36
34,2010-02-04,1.2,24,35
35,2010-02-05,0.2,25,29
36,2010-02-06,1.4,24,27
37,2010-02-07,0.2,13,26
38,2010-02-08,0.2,-6,13
39,2010-02-09,T,-6,19
40,2010-02-10,0.0,14,34
41,2010-02-11,0.0,26,37
42,2010-02-12,0.0,31,42
43,2010-02-13,0.5,7,39
44,2010-02-14,0.0,-1,16
45,2010-02-15,T,3,23
46,2010-02-16,T,20,40
47,2010-02-17,0.1,29,43
48,2010-02-18,0.5,26,35
49,2010-02-19,0.2,23,32
50,2010-02-20,0.1,19,29
51,2010-02-21,0.4,14,24
52,2010-02-22,0.0,11,38
53,2010-02-23,0.0,14,41
54,2010-02-24,0.0,26,45
55,2010-02-25,0.0,35,47
56,2010-02-26,0.0,30,47
57,2010-02-27,0.0,28,44
58,2010-02-28,0.0,29,49
