field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,2.0,22,33
1,2010-01-02,1.0,7,22
2,2010-01-03,0.5,7,11
3,2010-01-04,1.9,9,16
4,2010-01-05,1.2,14,18
5,2010-01-06,0.9,16,22
6,2010-01-07,T,22,26
7,2010-01-08,2.8,13,23
8,2010-01-09,0.2,5,14
9,2010-01-10,0.2,4,20
10,2010-01-11,0.6,9,25
11,2010-01-12,0.7,14,20
12,2010-01-13,T,15,32
13,2010-01-14,0.0,21,35
14,2010-01-15,0.0,32,36
15,2010-01-16,0.0,30,41
16,2010-01-17,0.1,23,35
17,2010-01-18,T,30,37
18,2010-01-19,1.1,28,32
19,2010-01-20,0.3,26,31
20,2010-01-21,0.0,18,29
21,2010-01-22,0.0,17,38
22,2010-01-23,0.0,15,35
23,2010-01-24,0.0,28,45
24,2010-01-25,0.0,33,52
25,2010-01-26,0.1,25,34
26,2010-01-27,T,24,31
27,2010-01-28,0.8,9,31
28,2010-01-29,0.7,5,11
29,2010-01-30,0.1,-3,11
30,2010-01-31,0.0,-2,21
31,2010-02-01,0.1,17,27
32,2010-02-02,0.6,14,25
33,2010-02-03,1.6,21,29
34,2010-02-04,0.8,14,27
35,2010-02-05,0.0,15,28
36,2010-02-06,0.0,7,23
37,2010-02-07,0.4,5,18
38,2010-02-08,1.5,13,25
39,2010-02-09,1.3,16,27
40,2010-02-10,4.0,23,28
41,2010-02-11,T,17,27
42,2010-02-12,T,17,28
43,2010-02-13,0.3,14,23
44,2010-02-14,0.4,20,29
45,2010-02-15,1.1,23,32
46,2010-02-16,1.3,22,26
47,2010-02-17,1.6,22,28
48,2010-02-18,0.2,25,30
49,2010-02-19,0.4,26,33
50,2010-02-20,T,27,35
51,2010-02-21,0.0,19,34
52,2010-02-22,0.5,16,37
53,2010-02-23,1.4,31,33
54,2010-02-24,0.7,27,33
55,2010-02-25,13.9,19,28
56,2010-02-26,3.0,19,36
57,2010-02-27,2.0,26,32
58,2010-02-28,0.4,28,36
59,2010-03-01,T,29,35
60,2010-03-02,T,30,39
61,2010-03-03,1.5,27,34
62,2010-03-04,0.0,24,35
63,2010-03-05,0.0,22,35
64,2010-03-06,0.0,20,40
65,2010-03-07,0.0,22,48
66,2010-03-08,0.0,28,50
67,2010-03-09,0.0,32,51
68,2010-03-10,0.0,29,54
69,2010-03-11,0.0,40,57
70,2010-03-12,0.0,39,45
71,2010-03-13,T,35,41
72,2010-03-14,T,35,46
73,2010-03-15,0.0,38,47
74,2010-03-16,0.0,33,57
