field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,-23,-3
1,2010-01-02,T,-24,3
2,2010-01-03,1.2,2,8
3,2010-01-04,0.1,4,13
4,2010-01-05,2.0,2,10
5,2010-01-06,4.5,-9,8
6,2010-01-07,T,-23,-9
7,2010-01-08,T,-33,-13
8,2010-01-09,T,-24,3
9,2010-01-10,0.0,1,32
10,2010-01-11,T,0,19
11,2010-01-12,0.0,7,28
12,2010-01-13,0.0,2,43
13,2010-01-14,0.0,10,34
14,2010-01-15,0.0,13,41
15,2010-01-16,0.0,21,45
16,2010-01-17,0.0,8,36
17,2010-01-18,0.0,9,24
18,2010-01-19,0.0,8,24
19,2010-01-20,0.5,22,30
20,2010-01-21,0.0,24,30
21,2010-01-22,4.3,29,33
22,2010-01-23,0.1,28,35
23,2010-01-24,0.6,16,30
24,2010-01-25,0.5,1,17
25,2010-01-26,T,-1,12
26,2010-01-27,T,-3,7
27,2010-01-28,0.0,-17,7
28,2010-01-29,0.0,-15,7
29,2010-01-30,0.0,-12,10
30,2010-01-31,0.0,-12,4
31,2010-02-01,2.2,-6,4
32,2010-02-02,T,-15,6
33,2010-02-03,T,5,19
34,2010-02-04,0.2,12,20
35,2010-02-05,3.7,20,29
36,2010-02-06,1.4,23,29
37,2010-02-07,1.9,-8,26
38,2010-02-08,1.2,-10,12
39,2010-02-09,0.1,-13,11
40,2010-02-10,T,-14,10
41,2010-02-11,T,0,21
42,2010-02-12,T,14,20
43,2010-02-13,0.9,11,20
44,2010-02-14,0.0,2,13
45,2010-02-15,0.0,-3,18
46,2010-02-16,0.0,-16,11
47,2010-02-17,0.0,-9,18
48,2010-02-18,T,17,26
49,2010-02-19,0.5,20,24
50,2010-02-20,0.3,19,26
51,2010-02-21,T,16,24
52,2010-02-22,T,5,22
53,2010-02-23,0.2,-8,18
54,2010-02-24,0.0,-12,11
55,2010-02-25,0.0,-3,15
56,2010-02-26,T,4,25
57,2010-02-27,T,10,19
58,2010-02-28,0.0,9,23
59,2010-03-01,T,0,27
60,2010-03-02,T,19,27
61,2010-03-03,0.0,19,28
62,2010-03-04,0.0,27,31
63,2010-03-05,T,25,29
64,2010-03-06,0.0,26,35
65,2010-03-07,0.0,25,36
66,2010-03-08,0.0,33,35
67,2010-03-09,0.1,33,35
68,2010-03-10,1.3,33,35
69,2010-03-11,1.3,33,35
70,2010-03-12,0.0,26,38
71,2010-03-13,0.0,22,38
72,2010-03-14,0.0,33,37
73,2010-03-15,0.0,25,38
74,2010-03-16,0.0,21,36
75,2010-03-17,0.0,21,46
76,2010-03-18,T,28,46
77,2010-03-19,T,19,30
78,2010-03-20,0.0,16,41
79,2010-03-21,0.0,22,52
80,2010-03-22,0.0,33,53
81,2010-03-23,0.0,29,42
82,2010-03-24,0.0,25,54
83,2010-03-25,0.2,19,30
84,2010-03-26,0.0,22,57
85,2010-03-27,0.0,27,39
86,2010-03-28,0.0,25,61
87,2010-03-29,0.0,30,72
88,2010-03-30,0.0,33,74
89,2010-03-31,0.0,42,62
90,2010-04-01,0.0,38,54
91,2010-04-02,5.0,29,39
92,2010-04-03,0.0,22,54
93,2010-04-04,0.0,29,56
94,2010-04-05,0.0,26,57
95,2010-04-06,0.0,30,61
96,2010-04-07,0.0,22,61
97,2010-04-08,0.0,26,63
98,2010-04-09,0.0,28,55
99,2010-04-10,0.0,23,60
100,2010-04-11,0.0,22,64
101,2010-04-12,0.0,41,62
102,2010-04-13,0.0,50,79
103,2010-04-14,0.0,39,70
104,2010-04-15,0.0,40,52
105,2010-04-16,0.0,28,60
106,2010-04-17,0.0,30,65
107,2010-04-18,0.0,40,68
108,2010-04-19,0.0,41,68
109,2010-04-20,0.0,33,72
110,2010-04-21,0.0,33,68
111,2010-04-22,0.0,34,72
112,2010-04-23,0.0,43,72
113,2010-04-24,0.0,41,65
114,2010-04-25,0.0,33,62
115,2010-04-26,0.3,34,44
116,2010-04-27,0.0,32,62
117,2010-04-28,0.0,45,71
118,2010-04-29,0.0,38,62
119,2010-04-30,0.0,38,61
120,2010-05-01,0.0,37,47
121,2010-05-02,T,35,47
122,2010-05-03,0.0,39,62
123,2010-05-04,0.0,42,58
124,2010-05-05,T,37,51
125,2010-05-06,0.5,33,43
126,2010-05-07,0.5,33,42
127,2010-05-08,0.0,27,54
128,2010-05-09,0.0,32,48
129,2010-05-10,0.0,35,53
130,2010-05-11,0.0,42,52
131,2010-05-12,0.0,38,49
132,2010-05-13,0.0,38,53
133,2010-05-14,0.0,34,73
134,2010-05-15,0.0,40,75
135,2010-05-16,0.0,46,71
136,2010-05-17,0.0,44,76
137,2010-05-18,0.0,47,78
138,2010-05-19,0.0,44,78
139,2010-05-20,0.0,44,77
140,2010-05-21,0.0,48,69
141,2010-05-22,0.0,58,77
142,2010-05-23,0.0,51,71
143,2010-05-24,T,51,79
144,2010-05-25,0.0,45,67
145,2010-05-26,0.0,41,76
146,2010-05-27,0.0,58,84
147,2010-05-28,0.0,68,90
148,2010-05-29,0.0,57,77
149,2010-05-30,0.0,47,72
150,2010-05-31,0.0,44,77
151,2010-06-01,0.0,45,65
152,2010-06-02,0.0,39,71
153,2010-06-03,0.0,54,73
154,2010-06-04,0.0,50,79
155,2010-06-05,0.0,53,80
156,2010-06-06,0.0,52,77
157,2010-06-07,0.0,45,77
158,2010-06-08,0.0,58,79
159,2010-06-09,0.0,55,72
160,2010-06-10,0.0,57,67
161,2010-06-11,0.0,56,66
162,2010-06-12,0.0,54,65
163,2010-06-13,0.0,49,71
164,2010-06-14,0.0,39,71
165,2010-06-15,0.0,42,78
166,2010-06-16,0.0,45,83
167,2010-06-17,0.0,58,81
168,2010-06-18,0.0,52,70
169,2010-06-19,0.0,51,75
170,2010-06-20,0.0,53,82
171,2010-06-21,0.0,60,81
172,2010-06-22,0.0,58,82
173,2010-06-23,0.0,59,80
174,2010-06-24,0.0,56,86
175,2010-06-25,0.0,63,86
176,2010-06-26,0.0,63,85
177,2010-06-27,0.0,56,79
178,2010-06-28,0.0,57,77
179,2010-06-29,0.0,54,82
180,2010-06-30,0.0,65,97
181,2010-07-01,0.0,66,95
182,2010-07-02,0.0,70,94
183,2010-07-03,0.0,65,83
184,2010-07-04,0.0,59,81
185,2010-07-05,0.0,53,78
186,2010-07-06,0.0,49,73
187,2010-07-07,0.0,52,80
188,2010-07-08,0.0,51,84
189,2010-07-09,0.0,52,88
190,2010-07-10,0.0,54,95
191,2010-07-11,0.0,56,74
192,2010-07-12,0.0,57,82
193,2010-07-13,0.0,65,85
194,2010-07-14,0.0,54,78
195,2010-07-15,0.0,53,87
