field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,26,35
1,2010-01-02,6.4,21,30
2,2010-01-03,3.7,17,31
3,2010-01-04,T,26,35
4,2010-01-05,0.0,27,34
5,2010-01-06,T,24,34
6,2010-01-07,0.0,27,41
7,2010-01-08,0.2,21,29
8,2010-01-09,0.0,13,27
9,2010-01-10,0.0,11,28
10,2010-01-11,0.0,17,36
11,2010-01-12,0.0,16,34
12,2010-01-13,T,14,30
13,2010-01-14,0.0,21,33
14,2010-01-15,0.0,31,46
15,2010-01-16,0.0,32,48
16,2010-01-17,T,31,41
17,2010-01-18,1.9,31,34
18,2010-01-19,0.8,31,36
19,2010-01-20,T,31,37
20,2010-01-21,0.0,28,41
21,2010-01-22,0.0,25,37
22,2010-01-23,0.0,23,33
23,2010-01-24,0.0,25,41
24,2010-01-25,0.0,37,57
25,2010-01-26,0.0,35,52
26,2010-01-27,0.0,32,43
27,2010-01-28,0.2,20,37
28,2010-01-29,0.0,10,21
29,2010-01-30,0.0,6,22
30,2010-01-31,0.0,13,29
31,2010-02-01,0.0,22,35
32,2010-02-02,0.0,24,31
33,2010-02-03,0.4,25,33
34,2010-02-04,0.0,25,34
35,2010-02-05,0.0,22,35
36,2010-02-06,T,18,25
37,2010-02-07,0.0,14,34
38,2010-02-08,0.0,22,33
39,2010-02-09,0.0,23,41
40,2010-02-10,1.2,29,36
41,2010-02-11,0.0,29,40
42,2010-02-12,0.0,25,39
43,2010-02-13,0.0,23,38
44,2010-02-14,0.0,27,41
45,2010-02-15,0.0,30,40
46,2010-02-16,5.3,30,34
47,2010-02-17,T,28,37
48,2010-02-18,0.0,33,46
49,2010-02-19,T,31,43
50,2010-02-20,0.0,34,50
51,2010-02-21,T,32,42
52,2010-02-22,0.0,30,46
53,2010-02-23,0.0,33,40
54,2010-02-24,0.0,36,42
55,2010-02-25,0.0,37,45
56,2010-02-26,T,34,44
57,2010-02-27,0.1,31,40
58,2010-02-28,T,29,38
59,2010-03-01,0.2,34,48
60,2010-03-02,0.0,36,43
61,2010-03-03,T,34,38
62,2010-03-04,T,33,36
63,2010-03-05,T,31,42
64,2010-03-06,0.0,31,57
65,2010-03-07,0.0,37,57
66,2010-03-08,0.0,42,59
67,2010-03-09,0.0,37,53
68,2010-03-10,0.0,33,44
69,2010-03-11,0.0,35,45
70,2010-03-12,0.0,39,44
71,2010-03-13,0.0,39,41
72,2010-03-14,0.0,40,44
73,2010-03-15,0.0,38,44
74,2010-03-16,0.0,36,50
75,2010-03-17,0.0,35,65
76,2010-03-18,0.0,48,66
77,2010-03-19,0.0,43,61
78,2010-03-20,0.0,45,72
79,2010-03-21,0.0,41,54
80,2010-03-22,0.0,41,43
81,2010-03-23,0.0,42,46
82,2010-03-24,0.0,40,52
83,2010-03-25,0.0,39,65
84,2010-03-26,T,30,53
85,2010-03-27,0.0,25,34
86,2010-03-28,0.0,29,48
87,2010-03-29,0.0,45,54
88,2010-03-30,0.0,44,50
89,2010-03-31,0.0,43,47
90,2010-04-01,0.0,44,55
91,2010-04-02,0.0,41,55
92,2010-04-03,0.0,46,76
93,2010-04-04,0.0,50,77
94,2010-04-05,0.0,49,72
95,2010-04-06,0.0,47,67
96,2010-04-07,0.0,45,90
97,2010-04-08,0.0,46,60
98,2010-04-09,0.0,43,58
99,2010-04-10,0.0,41,58
100,2010-04-11,0.0,48,70
101,2010-04-12,0.0,44,61
102,2010-04-13,0.0,43,50
103,2010-04-14,0.0,40,66
104,2010-04-15,0.0,43,60
105,2010-04-16,0.0,37,44
106,2010-04-17,0.0,39,43
107,2010-04-18,0.0,40,51
108,2010-04-19,0.0,40,61
109,2010-04-20,0.0,48,69
110,2010-04-21,0.0,47,69
111,2010-04-22,0.0,48,68
112,2010-04-23,0.0,49,61
113,2010-04-24,0.0,48,63
114,2010-04-25,0.0,50,62
115,2010-04-26,0.0,47,53
116,2010-04-27,0.0,39,50
117,2010-04-28,0.0,35,47
118,2010-04-29,0.0,44,62
119,2010-04-30,0.0,46,76
120,2010-05-01,0.0,56,71
121,2010-05-02,0.0,55,87
122,2010-05-03,0.0,67,83
123,2010-05-04,0.0,59,82
124,2010-05-05,0.0,57,78
125,2010-05-06,0.0,57,78
126,2010-05-07,0.0,52,73
127,2010-05-08,0.0,49,61
128,2010-05-09,0.0,42,55
129,2010-05-10,0.0,40,59
130,2010-05-11,0.0,40,54
131,2010-05-12,0.0,47,53
132,2010-05-13,0.0,45,68
133,2010-05-14,0.0,51,68
134,2010-05-15,0.0,56,71
