field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.7,19,33
1,2010-01-02,6.4,8,19
2,2010-01-03,8.8,9,15
3,2010-01-04,2.0,13,17
4,2010-01-05,1.2,16,21
5,2010-01-06,T,19,24
6,2010-01-07,0.2,24,27
7,2010-01-08,3.0,14,26
8,2010-01-09,0.9,0,15
9,2010-01-10,T,-1,26
10,2010-01-11,0.3,18,23
11,2010-01-12,0.1,17,22
12,2010-01-13,T,18,28
13,2010-01-14,0.0,22,40
14,2010-01-15,0.0,32,39
15,2010-01-16,0.0,30,35
16,2010-01-17,0.0,29,39
17,2010-01-18,0.0,27,36
18,2010-01-19,1.4,26,31
19,2010-01-20,0.5,21,29
20,2010-01-21,0.0,13,32
21,2010-01-22,0.0,24,36
22,2010-01-23,0.0,20,42
23,2010-01-24,0.0,34,49
24,2010-01-25,T,32,49
25,2010-01-26,1.0,27,33
26,2010-01-27,3.5,23,29
27,2010-01-28,5.0,9,28
28,2010-01-29,T,6,15
29,2010-01-30,T,0,10
30,2010-01-31,0.6,-2,24
31,2010-02-01,T,14,23
32,2010-02-02,0.2,11,29
33,2010-02-03,0.2,23,29
34,2010-02-04,T,13,28
35,2010-02-05,T,19,31
36,2010-02-06,0.1,13,22
37,2010-02-07,0.1,6,24
38,2010-02-08,T,12,28
39,2010-02-09,0.3,22,26
40,2010-02-10,1.5,20,28
41,2010-02-11,0.0,14,27
42,2010-02-12,0.2,20,27
43,2010-02-13,0.8,18,26
44,2010-02-14,0.8,23,28
45,2010-02-15,T,22,31
46,2010-02-16,0.2,22,28
47,2010-02-17,1.8,24,30
48,2010-02-18,0.6,27,31
49,2010-02-19,0.0,28,32
50,2010-02-20,0.0,22,31
51,2010-02-21,0.0,20,33
52,2010-02-22,1.3,18,33
53,2010-02-23,T,30,34
54,2010-02-24,T,25,35
55,2010-02-25,1.9,18,28
56,2010-02-26,1.5,19,28
57,2010-02-27,1.5,24,33
58,2010-02-28,0.4,31,37
59,2010-03-01,T,30,36
60,2010-03-02,T,29,36
61,2010-03-03,0.0,28,38
62,2010-03-04,0.0,23,35
63,2010-03-05,0.0,21,35
64,2010-03-06,0.0,19,32
65,2010-03-07,0.0,26,36
66,2010-03-08,0.0,30,38
67,2010-03-09,0.0,32,47
68,2010-03-10,0.0,33,55
69,2010-03-11,0.0,39,61
70,2010-03-12,0.0,42,54
71,2010-03-13,0.0,36,48
72,2010-03-14,T,34,40
73,2010-03-15,0.0,35,47
74,2010-03-16,0.0,31,58
75,2010-03-17,0.0,29,53
76,2010-03-18,0.0,36,52
77,2010-03-19,0.0,34,53
78,2010-03-20,0.0,34,48
79,2010-03-21,0.0,33,47
80,2010-03-22,0.0,35,38
81,2010-03-23,0.0,35,38
82,2010-03-24,0.0,32,44
83,2010-03-25,0.0,31,47
84,2010-03-26,0.0,22,31
85,2010-03-27,0.0,21,49
86,2010-03-28,0.0,37,52
87,2010-03-29,0.0,38,46
88,2010-03-30,0.0,31,48
89,2010-03-31,0.0,30,54
90,2010-04-01,0.0,43,78
91,2010-04-02,0.0,56,79
92,2010-04-03,0.0,45,84
93,2010-04-04,0.0,41,63
94,2010-04-05,0.0,47,64
95,2010-04-06,0.0,47,61
96,2010-04-07,T,51,70
97,2010-04-08,0.0,40,72
98,2010-04-09,T,34,40
99,2010-04-10,T,33,54
100,2010-04-11,0.0,41,57
101,2010-04-12,0.0,36,55
102,2010-04-13,0.0,41,59
103,2010-04-14,0.0,35,64
104,2010-04-15,0.0,42,70
105,2010-04-16,0.0,43,58
106,2010-04-17,0.0,36,43
107,2010-04-18,0.0,36,53
108,2010-04-19,0.0,35,58
109,2010-04-20,0.0,36,62
110,2010-04-21,0.0,41,60
111,2010-04-22,0.0,37,53
112,2010-04-23,0.0,33,59
113,2010-04-24,0.0,40,69
114,2010-04-25,0.0,48,54
115,2010-04-26,0.0,47,59
116,2010-04-27,0.0,37,49
117,2010-04-28,0.0,37,56
118,2010-04-29,0.0,39,57
119,2010-04-30,0.0,51,75
120,2010-05-01,0.0,62,77
121,2010-05-02,0.0,58,80
122,2010-05-03,0.0,54,68
123,2010-05-04,T,49,62
124,2010-05-05,0.0,49,78
125,2010-05-06,0.0,45,60
126,2010-05-07,0.0,41,56
127,2010-05-08,0.0,36,52
128,2010-05-09,T,34,49
129,2010-05-10,0.0,33,54
130,2010-05-11,0.0,35,52
131,2010-05-12,0.0,40,50
132,2010-05-13,0.0,37,59
133,2010-05-14,0.0,52,65
134,2010-05-15,0.0,49,56
135,2010-05-16,0.0,47,68
136,2010-05-17,0.0,45,69
137,2010-05-18,0.0,51,60
138,2010-05-19,0.0,50,73
139,2010-05-20,0.0,52,69
140,2010-05-21,0.0,52,84
141,2010-05-22,0.0,62,71
142,2010-05-23,0.0,60,81
143,2010-05-24,0.0,61,85
144,2010-05-25,0.0,62,85
145,2010-05-26,0.0,62,82
146,2010-05-27,0.0,63,84
147,2010-05-28,0.0,63,80
148,2010-05-29,0.0,58,78
149,2010-05-30,0.0,57,81
150,2010-05-31,0.0,60,85
151,2010-06-01,0.0,62,76
152,2010-06-02,0.0,56,79
153,2010-06-03,0.0,63,74
154,2010-06-04,0.0,62,75
155,2010-06-05,0.0,63,75
156,2010-06-06,0.0,53,63
157,2010-06-07,0.0,51,68
158,2010-06-08,0.0,47,67
159,2010-06-09,0.0,53,63
160,2010-06-10,0.0,58,69
161,2010-06-11,0.0,54,73
162,2010-06-12,0.0,64,81
163,2010-06-13,0.0,62,68
164,2010-06-14,0.0,62,72
165,2010-06-15,0.0,57,77
166,2010-06-16,0.0,60,76
167,2010-06-17,0.0,57,73
168,2010-06-18,0.0,54,82
169,2010-06-19,0.0,67,83
170,2010-06-20,0.0,66,78
171,2010-06-21,0.0,61,80
172,2010-06-22,0.0,66,79
173,2010-06-23,0.0,67,82
174,2010-06-24,0.0,67,79
175,2010-06-25,0.0,60,74
176,2010-06-26,0.0,57,75
177,2010-06-27,0.0,65,81
178,2010-06-28,0.0,65,77
179,2010-06-29,0.0,55,70
180,2010-06-30,0.0,50,68
181,2010-07-01,0.0,51,72
182,2010-07-02,0.0,50,75
183,2010-07-03,0.0,55,79
184,2010-07-04,0.0,61,82
185,2010-07-05,0.0,68,87
186,2010-07-06,0.0,71,89
187,2010-07-07,0.0,68,88
188,2010-07-08,0.0,71,92
189,2010-07-09,0.0,69,81
190,2010-07-10,0.0,64,82
191,2010-07-11,0.0,62,83
192,2010-07-12,0.0,68,86
193,2010-07-13,0.0,71,82
194,2010-07-14,0.0,70,83
195,2010-07-15,0.0,65,88
196,2010-07-16,0.0,71,82
197,2010-07-17,0.0,72,86
198,2010-07-18,0.0,65,83
199,2010-07-19,0.0,70,83
200,2010-07-20,0.0,67,83
201,2010-07-21,0.0,67,82
202,2010-07-22,0.0,66,82
203,2010-07-23,0.0,66,83
204,2010-07-24,0.0,69,80
205,2010-07-25,0.0,64,79
206,2010-07-26,0.0,58,80
207,2010-07-27,0.0,64,83
208,2010-07-28,0.0,64,83
209,2010-07-29,0.0,63,76
210,2010-07-30,0.0,58,77
211,2010-07-31,0.0,59,77
212,2010-08-01,0.0,65,83
213,2010-08-02,0.0,69,84
214,2010-08-03,0.0,70,85
215,2010-08-04,0.0,71,85
216,2010-08-05,0.0,69,82
217,2010-08-06,0.0,59,75
218,2010-08-07,0.0,53,74
219,2010-08-08,0.0,62,82
220,2010-08-09,0.0,68,82
221,2010-08-10,0.0,70,84
222,2010-08-11,0.0,70,85
223,2010-08-12,0.0,68,83
224,2010-08-13,0.0,65,82
225,2010-08-14,0.0,65,87
226,2010-08-15,0.0,70,83
227,2010-08-16,0.0,67,78
228,2010-08-17,0.0,61,78
229,2010-08-18,0.0,63,76
230,2010-08-19,0.0,60,80
231,2010-08-20,0.0,59,77
232,2010-08-21,0.0,63,82
233,2010-08-22,0.0,67,74
234,2010-08-23,0.0,62,67
235,2010-08-24,0.0,60,76
236,2010-08-25,0.0,62,77
237,2010-08-26,0.0,56,71
238,2010-08-27,0.0,51,72
239,2010-08-28,0.0,55,80
240,2010-08-29,0.0,57,83
241,2010-08-30,0.0,62,85
242,2010-08-31,0.0,66,89
243,2010-09-01,0.0,69,87
244,2010-09-02,0.0,72,83
245,2010-09-03,0.0,65,84
246,2010-09-04,0.0,56,65
247,2010-09-05,0.0,52,66
248,2010-09-06,0.0,53,75
249,2010-09-07,0.0,66,89
250,2010-09-08,0.0,56,69
251,2010-09-09,0.0,55,61
252,2010-09-10,0.0,54,69
253,2010-09-11,0.0,47,73
254,2010-09-12,0.0,57,67
255,2010-09-13,0.0,53,73
256,2010-09-14,0.0,51,65
257,2010-09-15,0.0,48,64
258,2010-09-16,0.0,50,66
259,2010-09-17,0.0,50,63
260,2010-09-18,0.0,50,70
261,2010-09-19,0.0,50,66
262,2010-09-20,0.0,44,66
263,2010-09-21,0.0,46,82
264,2010-09-22,0.0,57,75
265,2010-09-23,0.0,54,79
266,2010-09-24,0.0,63,88
267,2010-09-25,0.0,51,63
268,2010-09-26,0.0,46,61
269,2010-09-27,0.0,49,60
