field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,2.3,27,32
1,2010-01-02,18.9,10,30
2,2010-01-03,16.4,9,20
3,2010-01-04,T,17,21
4,2010-01-05,0.5,16,22
5,2010-01-06,T,21,25
6,2010-01-07,0.1,17,26
7,2010-01-08,5.6,15,19
8,2010-01-09,0.7,-3,18
9,2010-01-10,0.0,-6,18
10,2010-01-11,0.5,17,29
11,2010-01-12,0.9,1,26
12,2010-01-13,0.8,-3,18
13,2010-01-14,0.0,18,36
14,2010-01-15,0.0,34,39
15,2010-01-16,0.0,27,39
16,2010-01-17,T,32,39
17,2010-01-18,0.1,31,38
18,2010-01-19,0.5,31,35
19,2010-01-20,0.1,27,31
20,2010-01-21,T,14,29
21,2010-01-22,0.0,9,25
22,2010-01-23,0.0,2,27
23,2010-01-24,0.0,14,38
24,2010-01-25,0.0,37,54
25,2010-01-26,T,32,38
26,2010-01-27,0.1,28,35
27,2010-01-28,0.9,12,33
28,2010-01-29,0.0,-1,12
29,2010-01-30,T,-4,10
30,2010-01-31,T,-1,22
31,2010-02-01,0.1,12,24
32,2010-02-02,0.2,13,27
33,2010-02-03,0.6,18,28
34,2010-02-04,0.2,12,25
35,2010-02-05,0.6,11,26
36,2010-02-06,0.0,5,15
37,2010-02-07,0.1,11,23
38,2010-02-08,0.3,15,22
39,2010-02-09,0.0,14,30
40,2010-02-10,0.1,20,26
41,2010-02-11,0.0,14,32
42,2010-02-12,0.0,7,30
43,2010-02-13,0.0,13,27
44,2010-02-14,0.5,23,30
45,2010-02-15,T,25,36
46,2010-02-16,0.0,23,35
47,2010-02-17,0.2,28,34
48,2010-02-18,0.5,29,36
49,2010-02-19,1.7,26,32
50,2010-02-20,T,30,36
51,2010-02-21,2.6,22,32
52,2010-02-22,0.0,26,40
53,2010-02-23,1.0,28,40
54,2010-02-24,12.9,32,33
55,2010-02-25,0.0,32,42
56,2010-02-26,0.1,32,45
57,2010-02-27,2.2,31,39
58,2010-02-28,0.1,23,37
59,2010-03-01,0.3,32,38
60,2010-03-02,0.0,31,42
61,2010-03-03,0.0,28,37
62,2010-03-04,0.0,25,38
63,2010-03-05,0.0,23,35
64,2010-03-06,0.0,20,49
65,2010-03-07,0.0,22,51
66,2010-03-08,0.0,32,52
67,2010-03-09,0.0,24,43
68,2010-03-10,0.0,20,48
69,2010-03-11,0.0,26,53
70,2010-03-12,0.0,37,49
71,2010-03-13,0.0,32,50
72,2010-03-14,T,36,47
73,2010-03-15,0.0,32,52
74,2010-03-16,0.0,25,57
75,2010-03-17,0.0,27,61
76,2010-03-18,0.0,35,60
77,2010-03-19,0.0,32,66
78,2010-03-20,0.0,38,57
79,2010-03-21,T,32,38
80,2010-03-22,0.0,32,39
81,2010-03-23,0.0,32,46
82,2010-03-24,0.6,28,48
83,2010-03-25,0.0,26,55
84,2010-03-26,0.0,16,33
85,2010-03-27,0.0,14,36
86,2010-03-28,0.0,30,44
87,2010-03-29,0.0,38,49
88,2010-03-30,0.0,34,41
89,2010-03-31,0.0,37,46
90,2010-04-01,0.0,36,65
91,2010-04-02,0.0,41,79
92,2010-04-03,0.0,57,82
93,2010-04-04,0.0,43,67
94,2010-04-05,0.0,38,68
95,2010-04-06,0.0,48,62
96,2010-04-07,0.0,52,79
97,2010-04-08,0.0,39,64
98,2010-04-09,0.0,38,52
99,2010-04-10,0.0,37,55
100,2010-04-11,0.0,38,58
101,2010-04-12,0.0,33,54
102,2010-04-13,0.0,29,57
103,2010-04-14,0.0,28,63
104,2010-04-15,0.0,32,55
105,2010-04-16,0.0,39,46
106,2010-04-17,0.0,40,46
107,2010-04-18,0.0,37,46
108,2010-04-19,0.0,37,58
109,2010-04-20,0.0,41,67
110,2010-04-21,0.0,40,71
111,2010-04-22,0.0,40,58
112,2010-04-23,0.0,37,58
113,2010-04-24,0.0,31,66
114,2010-04-25,0.0,42,61
115,2010-04-26,0.0,40,67
116,2010-04-27,2.8,32,47
117,2010-04-28,2.7,32,46
118,2010-04-29,0.0,31,55
119,2010-04-30,0.0,29,66
120,2010-05-01,0.0,44,76
121,2010-05-02,0.0,57,85
122,2010-05-03,0.0,57,76
123,2010-05-04,0.0,49,70
124,2010-05-05,0.0,43,75
125,2010-05-06,0.0,51,68
126,2010-05-07,0.0,45,60
127,2010-05-08,0.0,41,61
128,2010-05-09,T,37,41
129,2010-05-10,0.0,34,52
130,2010-05-11,0.0,28,61
131,2010-05-12,0.0,36,61
132,2010-05-13,0.0,30,65
133,2010-05-14,0.0,48,70
134,2010-05-15,0.0,51,63
135,2010-05-16,0.0,44,70
136,2010-05-17,0.0,37,74
137,2010-05-18,0.0,45,76
138,2010-05-19,0.0,49,66
139,2010-05-20,0.0,45,81
140,2010-05-21,0.0,52,77
141,2010-05-22,0.0,51,83
142,2010-05-23,0.0,58,82
143,2010-05-24,0.0,64,86
144,2010-05-25,0.0,60,91
145,2010-05-26,T,64,92
146,2010-05-27,0.0,54,78
147,2010-05-28,0.0,50,78
148,2010-05-29,0.0,54,75
149,2010-05-30,0.0,55,73
150,2010-05-31,0.0,47,79
151,2010-06-01,0.0,56,73
152,2010-06-02,0.0,53,84
153,2010-06-03,0.0,62,70
154,2010-06-04,0.0,61,79
155,2010-06-05,0.0,59,81
156,2010-06-06,0.0,52,60
157,2010-06-07,0.0,48,69
158,2010-06-08,0.0,45,68
159,2010-06-09,0.0,44,70
160,2010-06-10,0.0,52,62
161,2010-06-11,0.0,54,71
162,2010-06-12,0.0,55,64
163,2010-06-13,0.0,55,77
164,2010-06-14,0.0,51,69
165,2010-06-15,0.0,46,71
166,2010-06-16,0.0,46,66
167,2010-06-17,0.0,57,75
168,2010-06-18,0.0,53,84
169,2010-06-19,0.0,65,84
170,2010-06-20,0.0,67,85
171,2010-06-21,0.0,56,80
172,2010-06-22,0.0,52,81
173,2010-06-23,0.0,66,80
174,2010-06-24,0.0,64,80
175,2010-06-25,0.0,55,80
176,2010-06-26,0.0,60,67
177,2010-06-27,0.0,59,77
178,2010-06-28,0.0,68,82
179,2010-06-29,0.0,59,79
180,2010-06-30,0.0,57,70
181,2010-07-01,0.0,55,65
182,2010-07-02,0.0,53,78
183,2010-07-03,0.0,55,86
184,2010-07-04,0.0,61,88
185,2010-07-05,0.0,61,92
186,2010-07-06,0.0,73,95
187,2010-07-07,0.0,70,95
188,2010-07-08,0.0,73,96
189,2010-07-09,0.0,72,89
190,2010-07-10,0.0,68,83
191,2010-07-11,0.0,64,88
192,2010-07-12,0.0,66,88
193,2010-07-13,0.0,71,85
194,2010-07-14,0.0,69,82
195,2010-07-15,0.0,65,89
196,2010-07-16,0.0,72,80
197,2010-07-17,0.0,69,90
198,2010-07-18,0.0,66,83
199,2010-07-19,0.0,65,76
200,2010-07-20,0.0,62,81
201,2010-07-21,T,62,83
202,2010-07-22,0.0,61,82
203,2010-07-23,0.0,58,76
204,2010-07-24,0.0,69,88
205,2010-07-25,0.0,64,77
206,2010-07-26,0.0,59,80
207,2010-07-27,0.0,54,88
208,2010-07-28,0.0,63,89
209,2010-07-29,0.0,59,77
210,2010-07-30,0.0,52,72
211,2010-07-31,0.0,48,75
212,2010-08-01,0.0,53,82
213,2010-08-02,0.0,65,84
214,2010-08-03,0.0,66,82
215,2010-08-04,0.0,70,89
216,2010-08-05,0.0,72,87
217,2010-08-06,0.0,54,76
218,2010-08-07,0.0,49,72
219,2010-08-08,0.0,53,78
220,2010-08-09,0.0,64,83
221,2010-08-10,0.0,63,87
222,2010-08-11,0.0,61,81
223,2010-08-12,0.0,57,80
224,2010-08-13,0.0,63,83
225,2010-08-14,0.0,68,83
226,2010-08-15,0.0,67,78
227,2010-08-16,0.0,67,84
228,2010-08-17,0.0,60,84
229,2010-08-18,0.0,58,79
230,2010-08-19,0.0,53,85
231,2010-08-20,0.0,53,71
232,2010-08-21,0.0,49,74
233,2010-08-22,0.0,61,69
234,2010-08-23,0.0,57,73
235,2010-08-24,0.0,53,78
236,2010-08-25,0.0,62,76
237,2010-08-26,0.0,62,77
238,2010-08-27,0.0,55,72
239,2010-08-28,0.0,53,79
240,2010-08-29,0.0,59,88
241,2010-08-30,0.0,57,89
242,2010-08-31,0.0,67,92
243,2010-09-01,0.0,68,92
244,2010-09-02,0.0,71,91
245,2010-09-03,0.0,73,92
246,2010-09-04,0.0,59,78
247,2010-09-05,0.0,56,68
248,2010-09-06,0.0,53,73
249,2010-09-07,0.0,64,81
250,2010-09-08,0.0,58,74
251,2010-09-09,0.0,56,62
252,2010-09-10,0.0,54,69
253,2010-09-11,0.0,47,73
254,2010-09-12,0.0,51,68
255,2010-09-13,0.0,56,67
256,2010-09-14,0.0,51,64
257,2010-09-15,0.0,50,59
258,2010-09-16,0.0,44,64
259,2010-09-17,0.0,45,61
260,2010-09-18,0.0,40,68
261,2010-09-19,0.0,48,70
262,2010-09-20,0.0,43,65
263,2010-09-21,0.0,39,66
264,2010-09-22,0.0,56,69
265,2010-09-23,0.0,47,64
266,2010-09-24,0.0,54,82
267,2010-09-25,0.0,59,78
268,2010-09-26,0.0,55,60
269,2010-09-27,0.0,52,61
270,2010-09-28,0.0,59,81
271,2010-09-29,0.0,56,69
272,2010-09-30,0.0,56,75
273,2010-10-01,0.0,53,61
274,2010-10-02,0.0,41,56
275,2010-10-03,0.0,36,55
276,2010-10-04,0.0,37,57
277,2010-10-05,0.0,48,66
278,2010-10-06,0.0,50,56
279,2010-10-07,0.0,50,63
280,2010-10-08,0.0,45,62
281,2010-10-09,0.0,35,53
282,2010-10-10,0.0,31,61
283,2010-10-11,0.0,37,57
284,2010-10-12,0.0,34,54
285,2010-10-13,0.0,38,60
286,2010-10-14,0.0,37,64
287,2010-10-15,0.0,39,48
288,2010-10-16,0.0,42,49
289,2010-10-17,0.0,33,57
290,2010-10-18,0.0,35,51
291,2010-10-19,0.0,29,51
292,2010-10-20,0.0,44,59
293,2010-10-21,0.0,37,51
294,2010-10-22,T,36,45
295,2010-10-23,0.0,31,48
296,2010-10-24,T,31,41
297,2010-10-25,0.0,38,61
298,2010-10-26,0.0,49,72
299,2010-10-27,0.0,57,69
300,2010-10-28,0.0,49,65
301,2010-10-29,0.0,36,51
302,2010-10-30,0.0,34,45
303,2010-10-31,0.1,32,44
304,2010-11-01,T,35,40
305,2010-11-02,0.0,27,42
306,2010-11-03,0.0,23,47
307,2010-11-04,0.0,38,44
308,2010-11-05,0.0,39,42
309,2010-11-06,0.0,36,40
310,2010-11-07,0.0,31,40
311,2010-11-08,T,30,36
312,2010-11-09,0.0,36,43
313,2010-11-10,0.0,32,45
314,2010-11-11,0.0,25,47
315,2010-11-12,0.0,25,58
316,2010-11-13,0.0,27,57
317,2010-11-14,0.0,27,63
318,2010-11-15,0.0,37,51
319,2010-11-16,0.0,35,53
320,2010-11-17,0.0,41,56
321,2010-11-18,0.0,36,44
322,2010-11-19,T,25,37
323,2010-11-20,0.0,28,47
324,2010-11-21,0.0,25,32
325,2010-11-22,T,32,52
