field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,1.0,17,22
1,2010-01-02,8.5,18,35
2,2010-01-03,T,33,36
3,2010-01-04,0.2,32,38
4,2010-01-05,T,29,34
5,2010-01-06,T,27,32
6,2010-01-07,T,23,30
7,2010-01-08,0.1,21,24
8,2010-01-09,T,6,21
9,2010-01-10,0.0,-2,13
10,2010-01-11,0.0,7,21
11,2010-01-12,T,4,14
12,2010-01-13,0.0,0,14
13,2010-01-14,0.0,-6,17
14,2010-01-15,T,14,37
15,2010-01-16,0.1,9,35
16,2010-01-17,0.0,-2,16
17,2010-01-18,0.2,14,24
18,2010-01-19,1.1,20,25
19,2010-01-20,0.0,19,27
20,2010-01-21,0.0,19,32
21,2010-01-22,0.1,5,21
22,2010-01-23,0.0,2,21
23,2010-01-24,0.0,-2,26
24,2010-01-25,T,15,44
25,2010-01-26,0.9,31,44
26,2010-01-27,0.3,19,35
27,2010-01-28,2.7,16,28
28,2010-01-29,2.4,4,25
29,2010-01-30,0.0,-3,13
30,2010-01-31,0.0,-10,10
31,2010-02-01,0.1,-7,11
32,2010-02-02,0.0,-16,3
33,2010-02-03,0.0,-17,15
34,2010-02-04,T,0,12
35,2010-02-05,T,-3,12
36,2010-02-06,0.2,2,14
37,2010-02-07,1.8,14,22
38,2010-02-08,0.6,22,29
39,2010-02-09,T,20,36
40,2010-02-10,0.0,11,30
41,2010-02-11,0.0,17,31
42,2010-02-12,T,23,31
43,2010-02-13,0.0,22,32
44,2010-02-14,0.1,24,30
45,2010-02-15,0.9,23,27
46,2010-02-16,1.0,21,31
47,2010-02-17,0.4,27,35
48,2010-02-18,0.5,31,36
49,2010-02-19,T,30,37
50,2010-02-20,0.5,31,39
51,2010-02-21,1.0,30,36
52,2010-02-22,T,32,39
53,2010-02-23,T,32,38
54,2010-02-24,T,30,37
55,2010-02-25,0.0,29,35
56,2010-02-26,1.1,30,35
57,2010-02-27,0.4,31,37
58,2010-02-28,1.2,30,36
59,2010-03-01,T,30,38
60,2010-03-02,T,24,39
61,2010-03-03,0.0,21,39
62,2010-03-04,0.0,22,38
63,2010-03-05,0.0,15,38
64,2010-03-06,0.0,23,44
65,2010-03-07,0.0,22,48
66,2010-03-08,T,26,40
67,2010-03-09,T,20,32
68,2010-03-10,0.0,16,38
69,2010-03-11,0.0,12,39
70,2010-03-12,0.0,15,46
71,2010-03-13,0.0,17,45
72,2010-03-14,0.0,21,51
