field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.1,21,40
1,2010-01-02,1.0,16,22
2,2010-01-03,T,12,20
3,2010-01-04,3.7,18,23
4,2010-01-05,2.2,18,22
5,2010-01-06,0.7,20,24
6,2010-01-07,2.7,20,30
7,2010-01-08,0.1,11,24
8,2010-01-09,1.5,16,23
9,2010-01-10,0.1,9,23
10,2010-01-11,T,4,31
11,2010-01-12,1.0,22,27
12,2010-01-13,0.0,17,35
13,2010-01-14,0.0,15,49
14,2010-01-15,0.0,27,45
15,2010-01-16,0.0,35,55
16,2010-01-17,0.0,41,48
17,2010-01-18,0.0,35,51
18,2010-01-19,0.0,34,55
19,2010-01-20,0.0,33,42
20,2010-01-21,0.0,35,47
21,2010-01-22,0.0,40,47
22,2010-01-23,0.0,38,51
23,2010-01-24,0.0,45,61
24,2010-01-25,T,35,51
25,2010-01-26,0.4,29,36
26,2010-01-27,0.0,27,38
27,2010-01-28,0.0,20,42
28,2010-01-29,0.0,16,23
29,2010-01-30,4.7,16,21
30,2010-01-31,0.0,5,32
31,2010-02-01,0.0,12,41
32,2010-02-02,0.0,26,38
33,2010-02-03,T,34,38
34,2010-02-04,0.0,28,39
35,2010-02-05,T,33,38
36,2010-02-06,2.3,26,34
37,2010-02-07,T,20,26
38,2010-02-08,0.0,20,30
39,2010-02-09,1.4,26,38
40,2010-02-10,3.3,15,31
41,2010-02-11,0.6,24,27
42,2010-02-12,T,24,29
43,2010-02-13,T,22,28
44,2010-02-14,0.0,22,35
45,2010-02-15,0.9,22,36
46,2010-02-16,3.0,21,28
47,2010-02-17,0.3,25,31
48,2010-02-18,T,28,33
49,2010-02-19,T,27,42
50,2010-02-20,0.0,21,42
51,2010-02-21,0.0,28,59
52,2010-02-22,0.0,36,53
53,2010-02-23,T,34,45
54,2010-02-24,2.1,26,39
55,2010-02-25,1.9,21,28
56,2010-02-26,4.3,25,30
57,2010-02-27,4.7,29,33
58,2010-02-28,0.8,30,36
59,2010-03-01,T,33,37
60,2010-03-02,T,31,37
61,2010-03-03,0.3,30,34
62,2010-03-04,T,31,43
63,2010-03-05,0.0,24,45
64,2010-03-06,0.0,24,48
65,2010-03-07,0.0,22,54
66,2010-03-08,T,33,60
67,2010-03-09,0.0,30,70
68,2010-03-10,0.0,44,67
69,2010-03-11,0.0,39,72
70,2010-03-12,0.0,43,69
71,2010-03-13,0.0,47,52
72,2010-03-14,0.0,43,49
73,2010-03-15,0.0,41,46
74,2010-03-16,0.0,40,54
75,2010-03-17,0.0,32,65
76,2010-03-18,0.0,36,67
77,2010-03-19,0.0,34,69
78,2010-03-20,0.0,36,73
79,2010-03-21,0.0,41,74
80,2010-03-22,0.0,40,61
81,2010-03-23,0.0,34,45
82,2010-03-24,0.0,31,64
83,2010-03-25,0.0,45,65
84,2010-03-26,T,34,51
85,2010-03-27,0.0,27,63
86,2010-03-28,0.0,47,57
87,2010-03-29,0.0,45,56
88,2010-03-30,0.0,41,59
89,2010-03-31,0.0,33,71
90,2010-04-01,0.0,41,86
91,2010-04-02,0.0,47,91
92,2010-04-03,0.0,58,84
93,2010-04-04,0.0,46,77
94,2010-04-05,0.0,49,84
95,2010-04-06,0.0,59,90
96,2010-04-07,0.0,66,89
97,2010-04-08,0.0,46,75
98,2010-04-09,0.0,40,56
99,2010-04-10,0.0,33,68
100,2010-04-11,0.0,36,75
101,2010-04-12,0.0,42,76
102,2010-04-13,0.0,44,77
103,2010-04-14,0.0,47,77
104,2010-04-15,0.0,45,84
105,2010-04-16,0.0,53,83
106,2010-04-17,0.0,47,59
107,2010-04-18,0.0,35,61
108,2010-04-19,0.0,36,64
109,2010-04-20,0.0,38,70
110,2010-04-21,0.0,49,69
111,2010-04-22,0.0,40,73
112,2010-04-23,0.0,49,67
113,2010-04-24,0.0,54,78
114,2010-04-25,0.0,59,79
115,2010-04-26,0.0,50,59
116,2010-04-27,0.0,43,57
117,2010-04-28,0.0,31,62
118,2010-04-29,0.0,34,72
119,2010-04-30,0.0,44,87
120,2010-05-01,0.0,52,83
121,2010-05-02,0.0,64,81
122,2010-05-03,0.0,59,78
123,2010-05-04,0.0,53,78
124,2010-05-05,0.0,48,84
125,2010-05-06,0.0,52,77
126,2010-05-07,0.0,46,90
127,2010-05-08,0.0,50,81
128,2010-05-09,0.0,40,59
129,2010-05-10,0.0,35,65
130,2010-05-11,0.0,48,74
131,2010-05-12,0.0,60,73
132,2010-05-13,0.0,63,84
133,2010-05-14,0.0,64,83
134,2010-05-15,0.0,60,78
135,2010-05-16,0.0,56,77
136,2010-05-17,0.0,58,73
137,2010-05-18,0.0,56,69
138,2010-05-19,0.0,55,61
139,2010-05-20,0.0,54,76
140,2010-05-21,0.0,57,72
141,2010-05-22,0.0,61,75
142,2010-05-23,0.0,59,82
