field1,field2,field3,field4,field5
,0,1.0,2,3
0,2010-01-01,0.0,25,41
1,2010-01-02,0.0,25,42
2,2010-01-03,0.2,20,33
3,2010-01-04,0.0,17,37
4,2010-01-05,0.0,24,42
5,2010-01-06,2.0,-7,36
6,2010-01-07,0.0,-6,14
7,2010-01-08,0.0,-5,35
8,2010-01-09,0.0,22,47
9,2010-01-10,0.0,22,47
10,2010-01-11,0.0,20,49
11,2010-01-12,0.0,20,58
12,2010-01-13,0.0,22,48
13,2010-01-14,0.0,20,45
14,2010-01-15,0.0,23,45
15,2010-01-16,0.0,32,53
16,2010-01-17,0.0,27,50
17,2010-01-18,0.0,25,50
18,2010-01-19,0.0,22,45
19,2010-01-20,0.0,20,40
20,2010-01-21,0.0,17,39
21,2010-01-22,0.0,22,48
22,2010-01-23,0.0,25,40
23,2010-01-24,0.0,20,30
24,2010-01-25,0.0,19,32
25,2010-01-26,0.0,16,37
26,2010-01-27,0.0,18,38
27,2010-01-28,T,14,27
28,2010-01-29,0.0,10,43
29,2010-01-30,0.0,16,44
30,2010-01-31,0.0,17,41
31,2010-02-01,0.0,15,39
32,2010-02-02,0.0,14,45
33,2010-02-03,0.0,20,47
34,2010-02-04,0.1,27,40
35,2010-02-05,0.0,23,43
36,2010-02-06,T,18,42
37,2010-02-07,0.1,23,29
38,2010-02-08,0.6,1,24
39,2010-02-09,0.0,-3,27
40,2010-02-10,0.0,10,41
41,2010-02-11,0.0,18,34
42,2010-02-12,0.0,17,39
43,2010-02-13,0.2,13,41
44,2010-02-14,0.1,7,23
45,2010-02-15,0.0,7,33
46,2010-02-16,0.0,8,39
47,2010-02-17,0.4,18,41
48,2010-02-18,2.7,19,30
49,2010-02-19,T,14,23
50,2010-02-20,5.8,13,22
51,2010-02-21,0.9,9,15
52,2010-02-22,0.2,-7,20
53,2010-02-23,0.0,13,33
54,2010-02-24,0.0,25,41
55,2010-02-25,0.3,20,35
56,2010-02-26,0.0,17,37
57,2010-02-27,0.0,14,41
58,2010-02-28,0.5,25,38
59,2010-03-01,0.2,25,40
60,2010-03-02,0.0,21,47
61,2010-03-03,0.0,25,52
62,2010-03-04,0.0,28,51
63,2010-03-05,5.8,29,33
64,2010-03-06,0.2,23,42
65,2010-03-07,0.0,30,43
66,2010-03-08,0.0,30,45
67,2010-03-09,0.0,27,45
68,2010-03-10,0.1,22,35
69,2010-03-11,T,22,36
70,2010-03-12,0.0,25,46
71,2010-03-13,0.0,25,53
72,2010-03-14,0.0,28,35
73,2010-03-15,0.0,23,50
74,2010-03-16,0.0,25,56
75,2010-03-17,0.0,32,62
76,2010-03-18,0.1,27,47
77,2010-03-19,2.6,15,27
78,2010-03-20,0.0,3,33
79,2010-03-21,0.0,28,55
80,2010-03-22,0.0,35,57
81,2010-03-23,7.8,25,37
82,2010-03-24,0.2,13,35
83,2010-03-25,0.0,12,44
