field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,5,16
1,2010-01-02,0.0,2,11
2,2010-01-03,T,-1,18
3,2010-01-04,T,7,18
4,2010-01-05,T,13,23
5,2010-01-06,0.1,10,20
6,2010-01-07,3.9,16,22
7,2010-01-08,3.5,11,27
8,2010-01-09,0.0,6,22
9,2010-01-10,T,0,18
10,2010-01-11,T,15,26
11,2010-01-12,T,20,31
12,2010-01-13,0.0,19,35
13,2010-01-14,0.0,31,40
14,2010-01-15,T,25,34
15,2010-01-16,0.0,23,27
16,2010-01-17,T,19,29
17,2010-01-18,T,27,31
18,2010-01-19,0.0,27,38
19,2010-01-20,T,24,33
20,2010-01-21,0.0,30,35
21,2010-01-22,0.0,33,35
22,2010-01-23,0.0,34,44
23,2010-01-24,0.0,30,46
24,2010-01-25,0.5,19,32
25,2010-01-26,0.2,12,24
26,2010-01-27,0.9,9,23
27,2010-01-28,0.0,6,17
28,2010-01-29,T,5,21
29,2010-01-30,T,18,25
30,2010-01-31,0.0,15,29
31,2010-02-01,T,14,30
32,2010-02-02,2.1,25,32
33,2010-02-03,0.0,23,32
34,2010-02-04,0.0,21,33
35,2010-02-05,0.2,30,35
36,2010-02-06,T,25,31
37,2010-02-07,T,23,31
38,2010-02-08,T,20,30
39,2010-02-09,12.6,23,28
40,2010-02-10,0.3,17,26
41,2010-02-11,0.0,10,30
42,2010-02-12,0.0,10,32
43,2010-02-13,0.0,11,30
44,2010-02-14,0.0,9,29
45,2010-02-15,0.3,6,28
46,2010-02-16,T,25,32
47,2010-02-17,0.0,26,32
48,2010-02-18,0.0,25,39
49,2010-02-19,0.0,19,42
50,2010-02-20,0.2,30,39
51,2010-02-21,2.0,33,36
52,2010-02-22,1.1,29,33
53,2010-02-23,T,22,33
54,2010-02-24,3.6,21,29
55,2010-02-25,T,18,28
56,2010-02-26,T,17,31
57,2010-02-27,0.1,28,34
58,2010-02-28,T,32,38
59,2010-03-01,0.0,27,36
60,2010-03-02,0.0,23,33
61,2010-03-03,0.0,24,39
62,2010-03-04,0.0,22,42
63,2010-03-05,0.0,23,38
64,2010-03-06,0.0,20,45
65,2010-03-07,0.0,26,46
66,2010-03-08,0.0,33,44
67,2010-03-09,0.0,32,51
68,2010-03-10,0.0,46,62
69,2010-03-11,0.0,44,60
70,2010-03-12,0.0,40,55
71,2010-03-13,0.0,41,45
72,2010-03-14,0.0,40,50
73,2010-03-15,0.0,39,48
74,2010-03-16,0.0,35,61
75,2010-03-17,0.0,32,63
76,2010-03-18,0.0,41,61
77,2010-03-19,0.0,39,65
78,2010-03-20,1.8,31,39
79,2010-03-21,T,33,42
80,2010-03-22,0.0,34,49
81,2010-03-23,0.0,28,59
82,2010-03-24,0.0,35,53
83,2010-03-25,0.0,29,47
84,2010-03-26,0.0,27,41
85,2010-03-27,0.0,31,50
86,2010-03-28,0.0,37,52
87,2010-03-29,0.0,30,46
88,2010-03-30,0.0,29,64
89,2010-03-31,0.0,51,77
90,2010-04-01,0.0,54,83
91,2010-04-02,0.0,59,81
92,2010-04-03,0.0,49,59
93,2010-04-04,0.0,39,76
94,2010-04-05,0.0,50,72
95,2010-04-06,0.0,47,76
96,2010-04-07,0.0,37,49
97,2010-04-08,T,34,40
98,2010-04-09,0.0,30,56
99,2010-04-10,0.0,38,74
100,2010-04-11,0.0,44,63
101,2010-04-12,0.0,44,70
102,2010-04-13,0.0,48,63
103,2010-04-14,0.0,46,80
104,2010-04-15,0.0,61,82
105,2010-04-16,0.0,39,68
106,2010-04-17,0.0,37,59
107,2010-04-18,0.0,36,52
108,2010-04-19,0.0,35,56
109,2010-04-20,0.0,38,64
110,2010-04-21,0.0,41,62
111,2010-04-22,0.0,38,60
112,2010-04-23,0.0,41,63
113,2010-04-24,0.0,51,60
114,2010-04-25,0.0,47,60
115,2010-04-26,0.0,47,63
116,2010-04-27,0.0,37,51
117,2010-04-28,0.0,33,64
118,2010-04-29,0.0,46,79
119,2010-04-30,0.0,62,81
120,2010-05-01,0.0,58,70
121,2010-05-02,0.0,53,69
122,2010-05-03,0.0,50,72
123,2010-05-04,0.0,50,79
124,2010-05-05,0.0,56,72
125,2010-05-06,0.0,46,63
