field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,2.3,20,34
1,2010-01-02,T,12,20
2,2010-01-03,0.7,10,22
3,2010-01-04,4.5,21,24
4,2010-01-05,1.1,23,27
5,2010-01-06,0.1,24,28
6,2010-01-07,2.9,22,26
7,2010-01-08,0.8,14,28
8,2010-01-09,0.6,12,23
9,2010-01-10,0.2,6,24
10,2010-01-11,2.5,17,24
11,2010-01-12,0.3,16,27
12,2010-01-13,0.0,15,33
13,2010-01-14,0.0,27,42
14,2010-01-15,0.0,35,41
15,2010-01-16,0.0,35,38
16,2010-01-17,0.0,33,36
17,2010-01-18,T,30,33
18,2010-01-19,0.0,29,34
19,2010-01-20,T,25,33
20,2010-01-21,0.0,23,42
21,2010-01-22,0.0,36,39
22,2010-01-23,0.0,37,46
23,2010-01-24,0.0,43,51
24,2010-01-25,0.1,32,52
25,2010-01-26,0.5,24,33
26,2010-01-27,0.3,22,32
27,2010-01-28,1.7,16,33
28,2010-01-29,T,10,19
29,2010-01-30,T,11,22
30,2010-01-31,0.0,8,26
31,2010-02-01,0.0,14,29
32,2010-02-02,T,21,36
33,2010-02-03,0.6,30,34
34,2010-02-04,0.0,24,38
35,2010-02-05,3.0,30,39
36,2010-02-06,2.9,19,30
37,2010-02-07,T,10,27
38,2010-02-08,0.0,4,31
39,2010-02-09,3.9,19,32
40,2010-02-10,2.3,13,29
41,2010-02-11,T,25,30
42,2010-02-12,0.6,23,29
43,2010-02-13,0.5,22,28
44,2010-02-14,T,20,30
45,2010-02-15,1.4,14,31
46,2010-02-16,2.0,24,30
47,2010-02-17,0.1,24,34
48,2010-02-18,T,32,38
49,2010-02-19,0.0,23,39
50,2010-02-20,0.0,23,39
51,2010-02-21,0.2,30,47
52,2010-02-22,0.1,33,42
53,2010-02-23,T,29,35
54,2010-02-24,2.2,28,34
55,2010-02-25,3.0,25,30
56,2010-02-26,4.2,26,30
57,2010-02-27,2.7,30,34
58,2010-02-28,1.7,32,38
59,2010-03-01,T,29,37
60,2010-03-02,T,28,33
61,2010-03-03,T,29,38
62,2010-03-04,0.0,23,38
63,2010-03-05,0.0,23,38
64,2010-03-06,0.0,20,43
65,2010-03-07,0.0,27,45
66,2010-03-08,0.0,29,51
67,2010-03-09,0.0,28,56
68,2010-03-10,0.0,43,61
69,2010-03-11,0.0,44,71
70,2010-03-12,0.0,55,69
71,2010-03-13,T,36,55
72,2010-03-14,T,36,42
73,2010-03-15,0.0,37,44
74,2010-03-16,0.0,31,55
75,2010-03-17,0.0,29,60
76,2010-03-18,0.0,34,66
77,2010-03-19,0.0,45,68
78,2010-03-20,0.0,38,55
79,2010-03-21,0.0,36,45
80,2010-03-22,0.0,37,42
81,2010-03-23,0.0,37,50
82,2010-03-24,0.0,30,57
83,2010-03-25,1.4,31,50
84,2010-03-26,0.0,29,35
85,2010-03-27,0.0,26,52
86,2010-03-28,0.0,46,53
87,2010-03-29,0.0,37,51
88,2010-03-30,0.0,35,49
89,2010-03-31,0.0,31,71
90,2010-04-01,0.0,59,83
91,2010-04-02,0.0,58,86
92,2010-04-03,0.0,52,83
93,2010-04-04,0.0,43,72
94,2010-04-05,0.0,59,77
95,2010-04-06,0.0,64,85
96,2010-04-07,0.0,58,79
97,2010-04-08,0.0,43,64
98,2010-04-09,T,38,45
99,2010-04-10,0.0,31,67
100,2010-04-11,0.0,41,63
101,2010-04-12,0.0,37,60
102,2010-04-13,0.0,43,57
103,2010-04-14,0.0,46,68
104,2010-04-15,0.0,49,84
105,2010-04-16,0.0,47,74
106,2010-04-17,0.0,41,47
107,2010-04-18,0.0,35,50
108,2010-04-19,0.0,32,60
109,2010-04-20,0.0,37,60
110,2010-04-21,0.0,37,68
111,2010-04-22,0.0,43,55
112,2010-04-23,0.0,38,60
113,2010-04-24,0.0,54,69
114,2010-04-25,0.0,52,71
115,2010-04-26,0.0,47,58
116,2010-04-27,0.0,40,51
117,2010-04-28,0.0,35,58
118,2010-04-29,0.0,38,67
119,2010-04-30,0.0,57,84
120,2010-05-01,0.0,65,76
121,2010-05-02,0.0,65,77
122,2010-05-03,0.0,57,77
123,2010-05-04,0.0,56,75
124,2010-05-05,0.0,57,85
125,2010-05-06,0.0,52,66
126,2010-05-07,0.0,49,82
127,2010-05-08,0.0,44,61
128,2010-05-09,0.0,39,53
129,2010-05-10,0.0,35,55
130,2010-05-11,0.0,45,59
131,2010-05-12,0.0,49,55
132,2010-05-13,0.0,47,83
133,2010-05-14,0.0,57,75
134,2010-05-15,0.0,48,67
135,2010-05-16,0.0,53,64
136,2010-05-17,0.0,55,61
137,2010-05-18,0.0,55,60
138,2010-05-19,0.0,54,66
139,2010-05-20,0.0,50,81
140,2010-05-21,0.0,59,77
141,2010-05-22,0.0,64,75
142,2010-05-23,0.0,60,82
143,2010-05-24,0.0,64,85
144,2010-05-25,0.0,65,85
145,2010-05-26,0.0,63,85
146,2010-05-27,0.0,63,86
147,2010-05-28,0.0,65,80
148,2010-05-29,0.0,63,83
149,2010-05-30,0.0,60,88
150,2010-05-31,0.0,69,87
151,2010-06-01,0.0,65,80
152,2010-06-02,0.0,63,86
153,2010-06-03,0.0,65,83
154,2010-06-04,0.0,62,84
155,2010-06-05,0.0,70,82
156,2010-06-06,0.0,60,78
157,2010-06-07,0.0,56,71
158,2010-06-08,0.0,50,73
159,2010-06-09,0.0,59,80
160,2010-06-10,0.0,63,79
161,2010-06-11,0.0,62,82
162,2010-06-12,0.0,73,88
163,2010-06-13,0.0,69,80
164,2010-06-14,0.0,68,80
165,2010-06-15,0.0,70,81
166,2010-06-16,0.0,69,83
167,2010-06-17,0.0,58,72
168,2010-06-18,0.0,54,85
169,2010-06-19,0.0,69,88
170,2010-06-20,0.0,63,82
171,2010-06-21,0.0,62,83
172,2010-06-22,0.0,68,87
173,2010-06-23,0.0,69,87
174,2010-06-24,0.0,66,80
175,2010-06-25,0.0,63,78
176,2010-06-26,0.0,62,86
177,2010-06-27,0.0,71,91
178,2010-06-28,0.0,69,85
179,2010-06-29,0.0,57,70
180,2010-06-30,0.0,53,69
181,2010-07-01,0.0,53,72
182,2010-07-02,0.0,50,75
183,2010-07-03,0.0,57,85
184,2010-07-04,0.0,64,89
185,2010-07-05,0.0,74,92
186,2010-07-06,0.0,73,91
187,2010-07-07,0.0,68,92
188,2010-07-08,0.0,70,93
189,2010-07-09,0.0,67,79
190,2010-07-10,0.0,61,84
191,2010-07-11,0.0,64,88
192,2010-07-12,0.0,70,85
193,2010-07-13,0.0,69,80
194,2010-07-14,0.0,67,84
195,2010-07-15,0.0,65,90
196,2010-07-16,0.0,72,87
197,2010-07-17,0.0,70,90
198,2010-07-18,0.0,67,90
199,2010-07-19,0.0,71,83
200,2010-07-20,0.0,68,85
201,2010-07-21,0.0,71,90
202,2010-07-22,0.0,66,88
203,2010-07-23,0.0,72,95
204,2010-07-24,0.0,73,92
205,2010-07-25,0.0,68,79
206,2010-07-26,0.0,58,82
207,2010-07-27,0.0,60,84
208,2010-07-28,0.0,69,90
209,2010-07-29,0.0,64,77
210,2010-07-30,0.0,60,81
211,2010-07-31,0.0,65,81
212,2010-08-01,0.0,66,84
213,2010-08-02,0.0,65,86
214,2010-08-03,0.0,73,80
215,2010-08-04,0.0,72,87
216,2010-08-05,0.0,71,86
217,2010-08-06,0.0,65,79
218,2010-08-07,0.0,62,80
219,2010-08-08,0.0,64,85
220,2010-08-09,0.0,69,88
221,2010-08-10,0.0,72,88
222,2010-08-11,0.0,69,88
223,2010-08-12,0.0,72,86
224,2010-08-13,0.0,71,88
225,2010-08-14,0.0,71,90
226,2010-08-15,0.0,72,89
227,2010-08-16,0.0,64,82
228,2010-08-17,0.0,61,81
229,2010-08-18,0.0,66,83
230,2010-08-19,0.0,61,87
231,2010-08-20,0.0,67,86
232,2010-08-21,0.0,70,82
233,2010-08-22,0.0,69,77
234,2010-08-23,0.0,68,76
235,2010-08-24,0.0,64,76
236,2010-08-25,0.0,64,80
237,2010-08-26,0.0,57,72
238,2010-08-27,0.0,52,76
239,2010-08-28,0.0,55,84
240,2010-08-29,0.0,56,91
241,2010-08-30,0.0,65,92
242,2010-08-31,0.0,68,91
243,2010-09-01,0.0,70,90
244,2010-09-02,0.0,68,93
245,2010-09-03,0.0,63,80
246,2010-09-04,0.0,57,69
247,2010-09-05,0.0,52,73
248,2010-09-06,0.0,57,81
249,2010-09-07,0.0,68,92
250,2010-09-08,0.0,59,70
251,2010-09-09,0.0,57,68
252,2010-09-10,0.0,53,70
253,2010-09-11,0.0,53,74
254,2010-09-12,0.0,55,74
255,2010-09-13,0.0,56,82
256,2010-09-14,0.0,52,74
257,2010-09-15,0.0,58,72
258,2010-09-16,0.0,61,79
259,2010-09-17,0.0,51,67
260,2010-09-18,0.0,50,79
261,2010-09-19,0.0,57,68
262,2010-09-20,0.0,54,69
263,2010-09-21,0.0,56,87
264,2010-09-22,0.0,67,79
265,2010-09-23,0.0,64,89
266,2010-09-24,0.0,61,90
267,2010-09-25,0.0,56,64
268,2010-09-26,0.0,54,60
269,2010-09-27,0.0,56,62
270,2010-09-28,0.0,53,61
271,2010-09-29,0.0,48,69
272,2010-09-30,0.0,52,70
273,2010-10-01,0.0,47,63
274,2010-10-02,0.0,46,54
275,2010-10-03,0.0,47,56
276,2010-10-04,0.0,47,58
277,2010-10-05,0.0,47,56
278,2010-10-06,0.0,51,65
279,2010-10-07,0.0,48,67
280,2010-10-08,0.0,44,74
281,2010-10-09,0.0,50,73
282,2010-10-10,0.0,53,82
283,2010-10-11,0.0,53,74
284,2010-10-12,0.0,45,60
285,2010-10-13,0.0,38,70
286,2010-10-14,0.0,46,58
287,2010-10-15,0.0,45,59
288,2010-10-16,0.0,40,63
289,2010-10-17,0.0,41,64
290,2010-10-18,0.0,41,53
291,2010-10-19,0.0,38,57
292,2010-10-20,0.0,38,64
293,2010-10-21,0.0,40,59
294,2010-10-22,0.0,35,56
295,2010-10-23,0.0,48,63
296,2010-10-24,0.0,61,77
297,2010-10-25,0.0,61,71
298,2010-10-26,0.0,51,76
299,2010-10-27,0.0,48,69
300,2010-10-28,0.0,42,59
301,2010-10-29,0.0,39,49
302,2010-10-30,0.0,38,57
303,2010-10-31,0.0,43,50
304,2010-11-01,0.0,32,47
305,2010-11-02,0.0,29,49
306,2010-11-03,0.0,26,52
307,2010-11-04,0.0,37,51
308,2010-11-05,T,34,44
309,2010-11-06,T,31,41
310,2010-11-07,0.0,31,50
311,2010-11-08,0.0,32,58
312,2010-11-09,0.0,29,61
313,2010-11-10,0.0,30,59
314,2010-11-11,0.0,30,64
315,2010-11-12,0.0,32,64
316,2010-11-13,0.0,32,69
317,2010-11-14,0.0,37,63
318,2010-11-15,0.0,32,52
319,2010-11-16,0.0,34,51
320,2010-11-17,0.0,43,54
321,2010-11-18,0.0,40,44
322,2010-11-19,0.0,33,48
323,2010-11-20,0.0,37,50
324,2010-11-21,0.0,36,61
325,2010-11-22,0.0,56,66
326,2010-11-23,0.0,34,65
327,2010-11-24,0.0,33,41
328,2010-11-25,0.0,38,55
329,2010-11-26,0.0,25,45
330,2010-11-27,T,31,34
331,2010-11-28,0.0,25,42
332,2010-11-29,0.0,29,53
333,2010-11-30,T,35,57
334,2010-12-01,0.1,26,35
335,2010-12-02,T,26,29
336,2010-12-03,0.6,25,30
337,2010-12-04,0.1,20,33
338,2010-12-05,0.4,26,31
339,2010-12-06,1.0,25,29
340,2010-12-07,1.5,21,26
341,2010-12-08,3.0,19,26
342,2010-12-09,0.2,16,28
343,2010-12-10,0.5,27,38
344,2010-12-11,0.0,27,44
345,2010-12-12,1.8,23,39
346,2010-12-13,2.7,15,23
347,2010-12-14,T,15,23
348,2010-12-15,T,15,23
349,2010-12-16,T,12,23
350,2010-12-17,0.1,17,27
351,2010-12-18,0.0,14,26
352,2010-12-19,T,14,24
353,2010-12-20,0.1,20,27
354,2010-12-21,0.0,20,31
355,2010-12-22,0.5,28,31
356,2010-12-23,T,27,32
357,2010-12-24,T,27,29
358,2010-12-25,T,25,29
359,2010-12-26,0.1,22,27
360,2010-12-27,T,17,26
361,2010-12-28,0.0,14,29
362,2010-12-29,0.0,21,36
363,2010-12-30,0.0,30,44
364,2010-12-31,0.0,44,58
365,2011-01-01,0.0,29,58
366,2011-01-02,0.0,20,29
367,2011-01-03,0.0,19,38
368,2011-01-04,T,27,38
369,2011-01-05,T,18,29
370,2011-01-06,3.3,19,30
371,2011-01-07,2.2,18,23
372,2011-01-08,1.9,11,20
373,2011-01-09,0.0,7,25
374,2011-01-10,0.0,7,28
375,2011-01-11,2.7,18,24
376,2011-01-12,5.1,21,25
377,2011-01-13,0.1,17,25
378,2011-01-14,0.2,17,26
379,2011-01-15,0.2,23,34
380,2011-01-16,T,16,25
381,2011-01-17,T,13,35
382,2011-01-18,T,31,39
383,2011-01-19,0.1,23,31
384,2011-01-20,2.3,19,26
385,2011-01-21,0.6,8,21
386,2011-01-22,T,-1,17
387,2011-01-23,T,2,16
388,2011-01-24,0.3,2,32
389,2011-01-25,T,27,33
390,2011-01-26,T,27,29
391,2011-01-27,1.2,26,29
392,2011-01-28,0.6,26,28
393,2011-01-29,0.6,24,31
394,2011-01-30,0.1,15,29
395,2011-01-31,T,13,20
396,2011-02-01,4.1,18,28
397,2011-02-02,0.6,19,42
398,2011-02-03,0.0,9,25
399,2011-02-04,0.0,16,31
400,2011-02-05,2.6,18,32
401,2011-02-06,T,24,34
402,2011-02-07,0.5,25,35
403,2011-02-08,1.9,9,25
404,2011-02-09,0.0,7,19
405,2011-02-10,0.0,-1,16
406,2011-02-11,0.0,12,32
407,2011-02-12,0.3,28,34
408,2011-02-13,T,34,48
409,2011-02-14,T,27,50
410,2011-02-15,0.0,20,36
411,2011-02-16,0.0,33,52
412,2011-02-17,0.0,49,59
413,2011-02-18,0.0,40,58
414,2011-02-19,0.0,24,40
415,2011-02-20,0.7,22,37
416,2011-02-21,3.7,18,33
417,2011-02-22,T,15,25
418,2011-02-23,0.0,9,32
419,2011-02-24,T,27,36
420,2011-02-25,8.9,17,31
421,2011-02-26,T,19,36
422,2011-02-27,0.0,32,50
