field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.6,17,34
1,2010-01-02,1.7,11,19
2,2010-01-03,T,4,18
3,2010-01-04,0.8,15,24
4,2010-01-05,1.4,18,22
5,2010-01-06,0.4,20,23
6,2010-01-07,3.1,15,23
7,2010-01-08,1.4,11,22
8,2010-01-09,0.1,9,22
9,2010-01-10,0.1,8,18
10,2010-01-11,0.5,13,23
11,2010-01-12,0.2,13,27
12,2010-01-13,T,9,30
13,2010-01-14,0.0,19,39
14,2010-01-15,0.0,36,41
15,2010-01-16,0.0,31,38
16,2010-01-17,0.0,33,40
17,2010-01-18,0.0,29,33
18,2010-01-19,0.0,30,35
19,2010-01-20,0.0,22,35
20,2010-01-21,0.0,30,45
21,2010-01-22,0.0,38,45
22,2010-01-23,0.0,39,50
23,2010-01-24,0.0,42,50
24,2010-01-25,0.1,31,49
25,2010-01-26,0.2,23,31
26,2010-01-27,T,22,33
27,2010-01-28,0.3,13,33
28,2010-01-29,0.0,10,17
29,2010-01-30,0.0,14,25
30,2010-01-31,0.0,10,31
31,2010-02-01,0.0,15,34
32,2010-02-02,0.3,27,43
33,2010-02-03,T,29,36
34,2010-02-04,0.0,21,39
35,2010-02-05,9.0,32,35
36,2010-02-06,0.9,14,33
37,2010-02-07,0.0,10,23
38,2010-02-08,0.0,4,24
39,2010-02-09,4.4,17,33
40,2010-02-10,0.8,10,27
41,2010-02-11,T,17,27
42,2010-02-12,T,15,25
43,2010-02-13,T,21,27
44,2010-02-14,T,14,27
45,2010-02-15,9.7,11,26
46,2010-02-16,0.7,21,28
47,2010-02-17,T,25,31
48,2010-02-18,T,28,34
49,2010-02-19,0.0,18,35
50,2010-02-20,0.0,16,40
51,2010-02-21,0.0,32,42
52,2010-02-22,0.0,33,40
53,2010-02-23,T,31,35
54,2010-02-24,0.3,23,33
55,2010-02-25,1.2,22,29
56,2010-02-26,2.2,26,29
57,2010-02-27,0.6,27,33
58,2010-02-28,T,31,38
59,2010-03-01,T,30,38
60,2010-03-02,T,24,34
61,2010-03-03,T,29,34
62,2010-03-04,0.0,23,39
63,2010-03-05,0.0,21,39
64,2010-03-06,0.0,20,43
65,2010-03-07,0.0,20,48
66,2010-03-08,0.0,34,55
67,2010-03-09,0.0,31,62
68,2010-03-10,0.0,44,64
69,2010-03-11,0.0,42,68
70,2010-03-12,0.0,49,70
71,2010-03-13,0.0,43,52
72,2010-03-14,0.0,39,48
73,2010-03-15,0.0,38,45
74,2010-03-16,0.0,40,60
75,2010-03-17,0.0,33,63
76,2010-03-18,0.0,33,65
77,2010-03-19,0.0,37,66
78,2010-03-20,0.0,40,69
79,2010-03-21,0.0,41,72
80,2010-03-22,0.0,37,49
81,2010-03-23,0.0,37,49
82,2010-03-24,0.0,32,61
83,2010-03-25,0.2,31,58
84,2010-03-26,0.5,29,41
85,2010-03-27,0.0,26,58
86,2010-03-28,0.0,43,57
87,2010-03-29,0.0,41,50
88,2010-03-30,0.0,34,57
89,2010-03-31,0.0,34,71
90,2010-04-01,0.0,52,81
91,2010-04-02,0.0,55,84
92,2010-04-03,0.0,49,80
93,2010-04-04,0.0,41,73
94,2010-04-05,0.0,59,80
95,2010-04-06,0.0,61,84
96,2010-04-07,0.0,66,77
97,2010-04-08,0.0,41,68
98,2010-04-09,0.0,39,52
99,2010-04-10,0.0,31,66
100,2010-04-11,0.0,43,73
101,2010-04-12,0.0,46,68
102,2010-04-13,0.0,50,65
103,2010-04-14,0.0,46,72
104,2010-04-15,0.0,48,84
105,2010-04-16,0.0,52,79
106,2010-04-17,0.0,41,56
107,2010-04-18,0.0,37,58
108,2010-04-19,0.0,34,63
109,2010-04-20,0.0,42,65
110,2010-04-21,0.0,40,69
111,2010-04-22,0.0,42,70
112,2010-04-23,0.0,47,72
113,2010-04-24,0.0,55,69
114,2010-04-25,0.0,56,71
115,2010-04-26,0.0,48,57
116,2010-04-27,0.0,39,55
117,2010-04-28,0.0,32,61
118,2010-04-29,0.0,36,70
119,2010-04-30,0.0,56,82
120,2010-05-01,0.0,62,71
121,2010-05-02,0.0,62,70
122,2010-05-03,0.0,59,76
123,2010-05-04,0.0,55,75
124,2010-05-05,0.0,50,83
125,2010-05-06,0.0,56,71
126,2010-05-07,0.0,52,85
127,2010-05-08,0.0,43,61
128,2010-05-09,0.0,39,57
129,2010-05-10,0.0,35,62
130,2010-05-11,0.0,45,72
131,2010-05-12,0.0,54,61
132,2010-05-13,0.0,53,83
133,2010-05-14,0.0,59,78
134,2010-05-15,0.0,51,74
135,2010-05-16,0.0,56,70
136,2010-05-17,0.0,55,61
137,2010-05-18,0.0,58,65
138,2010-05-19,0.0,52,64
139,2010-05-20,0.0,47,78
140,2010-05-21,0.0,61,70
141,2010-05-22,0.0,61,76
142,2010-05-23,0.0,57,83
143,2010-05-24,0.0,63,83
144,2010-05-25,0.0,64,83
145,2010-05-26,0.0,63,87
146,2010-05-27,0.0,63,89
147,2010-05-28,0.0,68,85
148,2010-05-29,0.0,65,86
149,2010-05-30,0.0,62,89
150,2010-05-31,0.0,67,84
151,2010-06-01,0.0,65,81
152,2010-06-02,0.0,64,88
153,2010-06-03,0.0,64,82
154,2010-06-04,0.0,68,87
155,2010-06-05,0.0,69,81
156,2010-06-06,0.0,62,77
157,2010-06-07,0.0,57,73
158,2010-06-08,0.0,51,74
159,2010-06-09,0.0,60,81
160,2010-06-10,0.0,57,83
161,2010-06-11,0.0,62,83
162,2010-06-12,0.0,70,82
163,2010-06-13,0.0,69,83
164,2010-06-14,0.0,67,86
165,2010-06-15,0.0,70,87
166,2010-06-16,0.0,70,85
167,2010-06-17,0.0,62,80
168,2010-06-18,0.0,63,86
169,2010-06-19,0.0,71,87
170,2010-06-20,0.0,65,86
171,2010-06-21,0.0,67,87
172,2010-06-22,0.0,71,89
173,2010-06-23,0.0,71,93
174,2010-06-24,0.0,70,85
175,2010-06-25,0.0,63,87
176,2010-06-26,0.0,65,90
177,2010-06-27,0.0,69,91
178,2010-06-28,0.0,68,85
179,2010-06-29,0.0,61,76
180,2010-06-30,0.0,55,76
181,2010-07-01,0.0,53,77
182,2010-07-02,0.0,51,79
183,2010-07-03,0.0,55,85
184,2010-07-04,0.0,64,91
