field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.5,20,31
1,2010-01-02,6.3,18,29
2,2010-01-03,0.6,14,28
3,2010-01-04,T,22,28
4,2010-01-05,T,19,29
5,2010-01-06,0.0,20,29
6,2010-01-07,0.0,21,35
7,2010-01-08,0.9,17,23
8,2010-01-09,0.0,6,20
9,2010-01-10,0.0,5,21
10,2010-01-11,0.0,-1,31
11,2010-01-12,T,10,26
12,2010-01-13,0.0,9,22
13,2010-01-14,0.0,1,32
14,2010-01-15,0.0,22,41
15,2010-01-16,0.0,23,44
16,2010-01-17,1.7,22,37
17,2010-01-18,6.7,26,34
18,2010-01-19,3.2,28,32
19,2010-01-20,2.3,21,34
20,2010-01-21,0.0,10,35
21,2010-01-22,0.0,4,38
22,2010-01-23,0.0,0,36
23,2010-01-24,T,10,35
24,2010-01-25,0.0,32,52
25,2010-01-26,0.0,25,45
26,2010-01-27,0.0,20,41
27,2010-01-28,0.3,15,32
28,2010-01-29,0.0,3,16
29,2010-01-30,0.0,-1,18
30,2010-01-31,0.0,0,26
31,2010-02-01,0.0,16,32
32,2010-02-02,0.0,7,30
33,2010-02-03,T,14,32
34,2010-02-04,0.0,10,29
35,2010-02-05,0.0,5,32
36,2010-02-06,0.0,10,27
37,2010-02-07,0.0,10,27
38,2010-02-08,0.0,17,30
39,2010-02-09,0.0,18,38
40,2010-02-10,0.4,24,33
41,2010-02-11,0.0,23,37
42,2010-02-12,0.0,20,37
43,2010-02-13,0.0,17,35
44,2010-02-14,0.0,25,36
45,2010-02-15,0.0,22,39
46,2010-02-16,8.1,21,35
47,2010-02-17,0.0,22,34
48,2010-02-18,0.0,28,43
49,2010-02-19,T,30,37
50,2010-02-20,0.0,31,46
51,2010-02-21,0.0,27,36
52,2010-02-22,0.0,26,46
53,2010-02-23,0.2,29,37
54,2010-02-24,2.3,32,39
55,2010-02-25,0.0,37,42
56,2010-02-26,T,33,42
57,2010-02-27,1.9,30,37
58,2010-02-28,0.0,24,36
59,2010-03-01,T,33,47
60,2010-03-02,0.0,30,49
61,2010-03-03,0.0,27,39
62,2010-03-04,T,33,39
63,2010-03-05,0.0,23,49
64,2010-03-06,0.0,18,54
65,2010-03-07,0.0,22,56
66,2010-03-08,0.0,27,56
67,2010-03-09,0.0,22,48
68,2010-03-10,0.0,15,52
69,2010-03-11,0.0,22,47
70,2010-03-12,T,25,44
71,2010-03-13,T,25,44
72,2010-03-14,0.0,34,40
73,2010-03-15,0.0,31,46
74,2010-03-16,0.0,26,61
75,2010-03-17,0.0,23,64
76,2010-03-18,0.0,28,63
77,2010-03-19,0.0,29,69
78,2010-03-20,0.0,29,70
79,2010-03-21,0.0,35,52
80,2010-03-22,0.0,34,48
81,2010-03-23,0.0,39,43
82,2010-03-24,0.0,36,44
83,2010-03-25,0.0,25,61
84,2010-03-26,T,21,44
85,2010-03-27,0.0,14,43
86,2010-03-28,0.0,22,49
87,2010-03-29,0.0,39,53
88,2010-03-30,0.0,40,48
89,2010-03-31,0.0,44,50
90,2010-04-01,0.0,42,66
91,2010-04-02,0.0,34,73
92,2010-04-03,0.0,36,82
93,2010-04-04,0.0,47,75
94,2010-04-05,0.0,34,74
95,2010-04-06,0.0,38,61
96,2010-04-07,0.0,40,87
97,2010-04-08,0.0,44,62
98,2010-04-09,0.0,37,50
99,2010-04-10,0.0,37,58
100,2010-04-11,0.0,39,65
101,2010-04-12,0.0,31,58
102,2010-04-13,0.0,26,61
103,2010-04-14,0.0,27,65
104,2010-04-15,0.0,29,64
105,2010-04-16,T,32,40
