field1,field2,field3,field4,field5
,0,1.0,2,3
0,2010-01-01,0.0,12,40
1,2010-01-02,0.0,16,40
2,2010-01-03,0.1,16,36
3,2010-01-04,0.0,11,36
4,2010-01-05,0.0,19,47
5,2010-01-06,2.3,-6,42
6,2010-01-07,0.0,-16,13
7,2010-01-08,0.0,-11,33
8,2010-01-09,0.0,10,40
9,2010-01-10,0.0,21,43
10,2010-01-11,0.0,21,47
11,2010-01-12,0.0,20,56
12,2010-01-13,0.0,30,56
13,2010-01-14,0.0,25,43
14,2010-01-15,0.0,23,46
15,2010-01-16,0.0,26,58
16,2010-01-17,0.0,29,54
17,2010-01-18,0.0,28,53
18,2010-01-19,0.0,26,43
19,2010-01-20,0.0,23,35
20,2010-01-21,0.0,19,44
21,2010-01-22,0.0,25,56
22,2010-01-23,0.0,27,46
23,2010-01-24,0.0,23,40
24,2010-01-25,0.0,16,38
25,2010-01-26,0.0,18,43
26,2010-01-27,T,20,40
27,2010-01-28,0.2,21,32
28,2010-01-29,0.0,17,44
29,2010-01-30,0.0,18,50
30,2010-01-31,0.0,20,38
31,2010-02-01,0.0,20,47
32,2010-02-02,0.0,18,48
33,2010-02-03,0.0,28,48
34,2010-02-04,T,26,48
35,2010-02-05,0.0,21,46
36,2010-02-06,0.0,24,47
37,2010-02-07,0.2,24,31
38,2010-02-08,1.0,10,26
39,2010-02-09,0.0,-1,31
40,2010-02-10,0.0,12,44
41,2010-02-11,0.0,19,43
42,2010-02-12,0.0,21,47
43,2010-02-13,0.0,25,50
44,2010-02-14,1.1,5,27
45,2010-02-15,0.0,8,35
46,2010-02-16,0.0,14,40
47,2010-02-17,0.0,19,46
48,2010-02-18,0.7,21,43
49,2010-02-19,0.9,19,27
50,2010-02-20,0.4,21,27
51,2010-02-21,1.3,12,21
52,2010-02-22,0.2,11,24
53,2010-02-23,0.0,13,37
54,2010-02-24,0.0,22,50
55,2010-02-25,T,29,44
56,2010-02-26,0.0,25,46
57,2010-02-27,0.0,25,52
58,2010-02-28,T,28,36
59,2010-03-01,0.1,27,43
60,2010-03-02,0.0,29,56
61,2010-03-03,0.0,29,58
62,2010-03-04,0.0,30,57
63,2010-03-05,0.0,30,48
64,2010-03-06,0.0,25,55
65,2010-03-07,0.0,26,54
66,2010-03-08,0.0,34,45
67,2010-03-09,0.0,33,55
68,2010-03-10,T,25,45
69,2010-03-11,T,22,48
70,2010-03-12,0.0,25,56
71,2010-03-13,0.0,24,61
72,2010-03-14,0.2,27,44
73,2010-03-15,T,29,51
74,2010-03-16,0.0,29,63
75,2010-03-17,0.0,36,69
76,2010-03-18,0.0,34,65
77,2010-03-19,1.7,22,34
78,2010-03-20,0.0,13,37
79,2010-03-21,0.0,26,60
80,2010-03-22,0.0,37,66
81,2010-03-23,8.0,28,51
82,2010-03-24,2.8,25,35
83,2010-03-25,0.0,15,42
84,2010-03-26,T,28,44
85,2010-03-27,T,30,47
86,2010-03-28,0.0,31,60
87,2010-03-29,0.0,39,69
88,2010-03-30,0.0,39,82
89,2010-03-31,0.0,35,59
90,2010-04-01,T,32,64
91,2010-04-02,0.0,26,46
92,2010-04-03,0.0,27,59
93,2010-04-04,0.0,29,61
94,2010-04-05,0.0,30,71
95,2010-04-06,0.0,31,49
96,2010-04-07,0.5,30,49
97,2010-04-08,0.0,28,65
98,2010-04-09,0.0,32,69
99,2010-04-10,0.0,29,57
100,2010-04-11,0.0,32,75
101,2010-04-12,0.0,42,77
102,2010-04-13,0.0,39,69
103,2010-04-14,0.0,32,69
104,2010-04-15,0.0,41,66
105,2010-04-16,0.0,33,58
106,2010-04-17,0.0,36,56
107,2010-04-18,0.0,36,67
108,2010-04-19,0.0,42,71
109,2010-04-20,0.0,39,59
110,2010-04-21,T,40,66
111,2010-04-22,T,42,61
112,2010-04-23,T,35,47
113,2010-04-24,0.0,36,55
114,2010-04-25,T,33,63
115,2010-04-26,T,32,53
116,2010-04-27,0.0,29,69
117,2010-04-28,0.0,40,79
118,2010-04-29,T,34,48
119,2010-04-30,0.0,29,52
120,2010-05-01,0.0,28,56
121,2010-05-02,0.0,31,55
122,2010-05-03,0.0,35,66
123,2010-05-04,0.0,40,75
124,2010-05-05,0.0,37,65
125,2010-05-06,0.0,36,58
126,2010-05-07,0.0,29,53
127,2010-05-08,0.0,28,63
128,2010-05-09,0.0,36,73
129,2010-05-10,0.0,38,67
130,2010-05-11,T,32,52
131,2010-05-12,1.3,31,40
132,2010-05-13,0.0,30,53
133,2010-05-14,0.0,39,61
134,2010-05-15,0.0,36,62
135,2010-05-16,0.0,37,66
136,2010-05-17,0.0,43,74
137,2010-05-18,T,46,73
138,2010-05-19,0.0,41,68
139,2010-05-20,0.0,46,67
140,2010-05-21,0.0,48,78
141,2010-05-22,0.0,42,88
142,2010-05-23,0.0,40,74
143,2010-05-24,0.0,38,74
144,2010-05-25,0.0,37,69
145,2010-05-26,0.0,50,77
146,2010-05-27,0.0,56,88
147,2010-05-28,0.0,57,90
148,2010-05-29,0.0,50,78
149,2010-05-30,0.0,46,72
150,2010-05-31,0.0,49,81
151,2010-06-01,0.0,48,84
152,2010-06-02,0.0,50,79
153,2010-06-03,0.0,53,84
154,2010-06-04,0.0,53,93
155,2010-06-05,0.0,54,85
156,2010-06-06,0.0,55,92
157,2010-06-07,0.0,58,94
158,2010-06-08,0.0,57,80
159,2010-06-09,0.0,54,86
160,2010-06-10,0.0,58,82
161,2010-06-11,T,49,77
162,2010-06-12,0.0,47,52
163,2010-06-13,0.0,48,57
164,2010-06-14,0.0,47,67
165,2010-06-15,0.0,50,79
166,2010-06-16,0.0,55,89
167,2010-06-17,0.0,52,86
168,2010-06-18,0.0,47,86
169,2010-06-19,0.0,55,87
170,2010-06-20,0.0,55,80
171,2010-06-21,0.0,56,89
172,2010-06-22,0.0,54,91
173,2010-06-23,0.0,47,80
174,2010-06-24,0.0,54,95
175,2010-06-25,0.0,63,99
176,2010-06-26,0.0,57,90
177,2010-06-27,0.0,54,83
178,2010-06-28,0.0,54,91
179,2010-06-29,0.0,60,93
180,2010-06-30,0.0,65,92
181,2010-07-01,0.0,61,94
182,2010-07-02,0.0,64,91
183,2010-07-03,0.0,58,97
184,2010-07-04,T,53,81
185,2010-07-05,0.0,53,81
186,2010-07-06,0.0,56,89
187,2010-07-07,0.0,56,67
188,2010-07-08,0.0,56,74
189,2010-07-09,0.0,53,82
190,2010-07-10,0.0,58,89
191,2010-07-11,0.0,54,89
192,2010-07-12,0.0,57,91
193,2010-07-13,0.0,69,98
194,2010-07-14,0.0,61,95
195,2010-07-15,0.0,60,92
196,2010-07-16,0.0,63,95
197,2010-07-17,0.0,65,102
198,2010-07-18,0.0,65,93
199,2010-07-19,0.0,60,94
200,2010-07-20,0.0,60,78
201,2010-07-21,0.0,60,89
202,2010-07-22,0.0,60,91
203,2010-07-23,0.0,61,94
204,2010-07-24,0.0,62,83
205,2010-07-25,0.0,59,89
206,2010-07-26,0.0,56,97
207,2010-07-27,0.0,61,97
208,2010-07-28,0.0,58,90
209,2010-07-29,0.0,62,92
210,2010-07-30,0.0,63,90
211,2010-07-31,0.0,61,85
212,2010-08-01,0.0,64,91
213,2010-08-02,0.0,63,88
214,2010-08-03,0.0,58,85
215,2010-08-04,0.0,61,86
216,2010-08-05,0.0,59,85
217,2010-08-06,0.0,57,89
218,2010-08-07,0.0,59,93
219,2010-08-08,0.0,62,87
220,2010-08-09,0.0,62,85
221,2010-08-10,0.0,58,88
222,2010-08-11,0.0,64,92
223,2010-08-12,0.0,65,91
224,2010-08-13,0.0,52,87
225,2010-08-14,0.0,54,79
226,2010-08-15,0.0,55,87
227,2010-08-16,0.0,56,83
228,2010-08-17,0.0,47,88
229,2010-08-18,0.0,67,96
230,2010-08-19,0.0,60,86
231,2010-08-20,0.0,58,88
232,2010-08-21,0.0,62,94
233,2010-08-22,0.0,65,97
234,2010-08-23,0.0,58,86
235,2010-08-24,0.0,55,81
236,2010-08-25,0.0,56,90
237,2010-08-26,0.0,59,95
238,2010-08-27,0.0,62,95
239,2010-08-28,0.0,66,93
240,2010-08-29,0.0,59,93
241,2010-08-30,0.0,58,87
242,2010-08-31,0.0,49,81
243,2010-09-01,0.0,51,88
244,2010-09-02,0.0,47,71
245,2010-09-03,0.0,40,81
246,2010-09-04,0.0,54,93
247,2010-09-05,0.0,60,94
248,2010-09-06,0.0,47,76
249,2010-09-07,0.0,45,86
250,2010-09-08,0.0,56,86
251,2010-09-09,0.0,53,91
252,2010-09-10,0.0,43,80
253,2010-09-11,0.0,42,83
254,2010-09-12,0.0,46,84
255,2010-09-13,0.0,52,89
256,2010-09-14,0.0,52,91
257,2010-09-15,0.0,51,84
258,2010-09-16,0.0,49,89
259,2010-09-17,0.0,51,87
260,2010-09-18,0.0,47,69
261,2010-09-19,0.0,41,96
262,2010-09-20,0.0,55,94
263,2010-09-21,0.0,50,81
264,2010-09-22,0.0,52,82
265,2010-09-23,0.0,50,79
266,2010-09-24,0.0,48,83
267,2010-09-25,0.0,43,79
268,2010-09-26,0.0,51,90
269,2010-09-27,0.0,52,84
270,2010-09-28,0.0,51,92
271,2010-09-29,0.0,51,82
272,2010-09-30,0.0,44,80
273,2010-10-01,0.0,53,81
274,2010-10-02,0.0,42,75
275,2010-10-03,0.0,44,85
276,2010-10-04,0.0,48,84
277,2010-10-05,0.0,52,83
278,2010-10-06,0.0,50,67
279,2010-10-07,0.0,49,84
280,2010-10-08,0.0,44,74
281,2010-10-09,0.0,44,68
282,2010-10-10,0.0,46,57
283,2010-10-11,0.0,45,68
284,2010-10-12,0.0,41,56
285,2010-10-13,0.0,39,68
286,2010-10-14,0.0,43,77
287,2010-10-15,0.0,47,81
288,2010-10-16,0.0,38,66
289,2010-10-17,0.0,40,77
290,2010-10-18,0.0,40,58
291,2010-10-19,0.0,37,68
292,2010-10-20,0.0,39,72
293,2010-10-21,0.0,39,74
294,2010-10-22,0.0,43,60
