field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,17,27
1,2010-01-02,T,7,17
2,2010-01-03,T,5,23
3,2010-01-04,1.1,19,25
4,2010-01-05,0.1,22,28
5,2010-01-06,0.0,27,30
6,2010-01-07,4.3,22,27
7,2010-01-08,0.6,17,26
8,2010-01-09,0.0,10,27
9,2010-01-10,0.0,3,27
10,2010-01-11,1.7,14,22
11,2010-01-12,0.3,19,26
12,2010-01-13,0.0,24,30
13,2010-01-14,0.0,23,37
14,2010-01-15,0.0,33,38
15,2010-01-16,0.0,29,34
16,2010-01-17,0.0,25,34
17,2010-01-18,T,21,33
18,2010-01-19,T,31,35
19,2010-01-20,T,22,32
20,2010-01-21,0.0,21,35
21,2010-01-22,0.0,30,39
22,2010-01-23,0.0,33,37
23,2010-01-24,0.0,37,46
24,2010-01-25,0.1,31,44
25,2010-01-26,0.2,23,31
26,2010-01-27,0.1,17,28
27,2010-01-28,0.4,9,26
28,2010-01-29,0.0,6,22
29,2010-01-30,T,11,23
30,2010-01-31,T,10,29
31,2010-02-01,0.0,10,28
32,2010-02-02,1.8,19,32
33,2010-02-03,0.4,23,34
34,2010-02-04,0.0,22,34
35,2010-02-05,T,27,32
36,2010-02-06,T,21,29
37,2010-02-07,T,18,32
38,2010-02-08,0.0,15,36
39,2010-02-09,6.5,22,27
40,2010-02-10,2.1,24,27
41,2010-02-11,T,22,30
42,2010-02-12,T,21,28
43,2010-02-13,T,20,30
44,2010-02-14,T,26,33
45,2010-02-15,T,24,30
46,2010-02-16,2.5,23,31
47,2010-02-17,T,23,35
48,2010-02-18,0.0,28,38
49,2010-02-19,0.0,23,40
50,2010-02-20,0.0,23,42
51,2010-02-21,0.5,27,44
52,2010-02-22,6.4,30,32
53,2010-02-23,0.2,20,33
54,2010-02-24,3.1,20,31
55,2010-02-25,0.1,21,27
56,2010-02-26,3.3,24,30
57,2010-02-27,0.1,30,35
58,2010-02-28,T,31,41
59,2010-03-01,0.0,27,41
60,2010-03-02,0.0,26,39
61,2010-03-03,T,27,42
62,2010-03-04,0.0,22,43
63,2010-03-05,0.0,23,44
64,2010-03-06,0.0,22,48
65,2010-03-07,0.0,25,49
66,2010-03-08,0.0,26,55
67,2010-03-09,0.0,30,57
68,2010-03-10,0.0,41,56
69,2010-03-11,0.0,39,66
70,2010-03-12,0.0,45,55
71,2010-03-13,0.0,38,50
72,2010-03-14,T,37,42
73,2010-03-15,0.0,40,59
74,2010-03-16,0.0,35,64
75,2010-03-17,0.0,33,65
76,2010-03-18,0.0,36,67
77,2010-03-19,0.0,39,67
78,2010-03-20,0.0,33,46
79,2010-03-21,T,32,50
80,2010-03-22,0.0,38,45
81,2010-03-23,0.0,40,57
82,2010-03-24,0.0,33,61
83,2010-03-25,0.0,28,48
84,2010-03-26,0.0,23,41
85,2010-03-27,0.0,24,48
86,2010-03-28,0.0,38,46
87,2010-03-29,0.0,35,50
88,2010-03-30,0.0,30,56
89,2010-03-31,0.0,35,69
90,2010-04-01,0.0,48,80
91,2010-04-02,0.0,52,81
92,2010-04-03,0.0,44,76
93,2010-04-04,0.0,39,67
94,2010-04-05,0.0,49,75
95,2010-04-06,0.0,55,81
96,2010-04-07,0.0,54,72
97,2010-04-08,0.0,36,57
98,2010-04-09,T,36,49
99,2010-04-10,0.0,30,69
100,2010-04-11,0.0,47,65
101,2010-04-12,0.0,38,61
102,2010-04-13,0.0,43,57
103,2010-04-14,0.0,48,65
104,2010-04-15,0.0,46,84
105,2010-04-16,0.0,45,71
106,2010-04-17,0.0,38,48
107,2010-04-18,0.0,35,52
108,2010-04-19,0.0,36,64
109,2010-04-20,0.0,39,63
110,2010-04-21,0.0,41,72
111,2010-04-22,0.0,37,60
112,2010-04-23,0.0,38,61
113,2010-04-24,0.0,48,62
114,2010-04-25,0.0,49,53
115,2010-04-26,0.0,46,65
116,2010-04-27,0.0,37,55
117,2010-04-28,0.0,36,61
118,2010-04-29,0.0,37,65
119,2010-04-30,0.0,53,83
120,2010-05-01,0.0,63,77
121,2010-05-02,0.0,62,76
122,2010-05-03,0.0,56,75
123,2010-05-04,0.0,50,74
124,2010-05-05,0.0,54,80
125,2010-05-06,0.0,51,66
126,2010-05-07,0.0,49,60
127,2010-05-08,0.0,40,52
128,2010-05-09,0.0,33,56
129,2010-05-10,0.0,37,56
130,2010-05-11,0.0,44,49
131,2010-05-12,0.0,45,52
132,2010-05-13,0.0,45,67
133,2010-05-14,0.0,51,69
134,2010-05-15,0.0,48,67
135,2010-05-16,0.0,46,66
136,2010-05-17,0.0,49,67
137,2010-05-18,0.0,49,59
138,2010-05-19,0.0,46,75
139,2010-05-20,0.0,52,81
140,2010-05-21,0.0,61,72
141,2010-05-22,0.0,60,74
142,2010-05-23,0.0,58,80
143,2010-05-24,0.0,61,83
144,2010-05-25,0.0,63,82
145,2010-05-26,0.0,64,88
146,2010-05-27,0.0,68,86
147,2010-05-28,0.0,63,87
148,2010-05-29,0.0,61,86
149,2010-05-30,0.0,60,85
150,2010-05-31,0.0,65,86
151,2010-06-01,0.0,65,82
152,2010-06-02,0.0,65,77
153,2010-06-03,0.0,63,78
154,2010-06-04,0.0,61,77
155,2010-06-05,0.0,62,79
156,2010-06-06,0.0,58,69
157,2010-06-07,0.0,50,71
158,2010-06-08,0.0,51,69
159,2010-06-09,0.0,59,81
160,2010-06-10,0.0,62,77
161,2010-06-11,0.0,62,79
162,2010-06-12,0.0,70,87
163,2010-06-13,0.0,68,78
164,2010-06-14,0.0,67,78
165,2010-06-15,0.0,66,79
166,2010-06-16,0.0,68,82
167,2010-06-17,0.0,64,77
168,2010-06-18,0.0,60,89
169,2010-06-19,0.0,67,86
170,2010-06-20,0.0,65,83
171,2010-06-21,0.0,64,82
172,2010-06-22,0.0,67,87
173,2010-06-23,0.0,65,85
174,2010-06-24,0.0,67,82
175,2010-06-25,0.0,60,81
176,2010-06-26,0.0,63,87
177,2010-06-27,0.0,69,84
178,2010-06-28,0.0,69,85
179,2010-06-29,0.0,58,72
180,2010-06-30,0.0,51,73
181,2010-07-01,0.0,53,76
182,2010-07-02,0.0,53,78
183,2010-07-03,0.0,60,85
184,2010-07-04,0.0,62,91
185,2010-07-05,0.0,74,93
186,2010-07-06,0.0,71,92
187,2010-07-07,0.0,72,94
188,2010-07-08,0.0,73,93
189,2010-07-09,0.0,70,83
190,2010-07-10,0.0,64,87
191,2010-07-11,0.0,67,86
192,2010-07-12,0.0,69,84
193,2010-07-13,0.0,69,83
194,2010-07-14,0.0,67,87
195,2010-07-15,0.0,71,92
196,2010-07-16,0.0,68,87
197,2010-07-17,0.0,68,90
198,2010-07-18,0.0,65,90
199,2010-07-19,0.0,71,83
200,2010-07-20,0.0,65,83
201,2010-07-21,0.0,71,88
202,2010-07-22,0.0,65,84
203,2010-07-23,T,70,91
204,2010-07-24,0.0,73,88
205,2010-07-25,0.0,68,82
206,2010-07-26,0.0,64,84
207,2010-07-27,0.0,67,84
208,2010-07-28,0.0,70,91
