field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.1,-16,1
1,2010-01-02,0.0,-21,-2
2,2010-01-03,T,-26,6
3,2010-01-04,0.0,-12,9
4,2010-01-05,0.0,-10,15
5,2010-01-06,0.0,-4,20
6,2010-01-07,0.3,-2,7
7,2010-01-08,0.0,-7,10
8,2010-01-09,0.0,-18,12
9,2010-01-10,0.5,2,14
10,2010-01-11,T,4,20
11,2010-01-12,0.0,7,25
12,2010-01-13,0.0,14,24
13,2010-01-14,0.0,15,27
14,2010-01-15,0.0,8,27
15,2010-01-16,0.0,20,35
16,2010-01-17,0.0,23,36
17,2010-01-18,0.0,20,30
18,2010-01-19,T,19,23
19,2010-01-20,0.0,17,24
20,2010-01-21,T,15,29
21,2010-01-22,T,27,31
22,2010-01-23,1.3,29,33
23,2010-01-24,7.8,32,33
24,2010-01-25,4.6,10,32
25,2010-01-26,T,-5,10
26,2010-01-27,0.0,-7,3
27,2010-01-28,0.0,-13,1
28,2010-01-29,0.0,-15,10
29,2010-01-30,0.0,-11,13
30,2010-01-31,T,-3,8
31,2010-02-01,0.0,-11,11
32,2010-02-02,0.3,-2,18
33,2010-02-03,0.0,-10,17
34,2010-02-04,0.0,6,25
35,2010-02-05,0.2,21,27
36,2010-02-06,T,16,23
37,2010-02-07,0.2,12,23
38,2010-02-08,5.0,18,24
39,2010-02-09,0.2,6,20
40,2010-02-10,0.0,-1,26
41,2010-02-11,0.0,-12,27
42,2010-02-12,0.0,-13,29
43,2010-02-13,0.0,-5,30
44,2010-02-14,2.2,7,22
45,2010-02-15,T,19,25
46,2010-02-16,0.0,11,31
47,2010-02-17,0.0,16,37
48,2010-02-18,0.0,8,36
49,2010-02-19,0.0,3,35
50,2010-02-20,0.0,5,33
51,2010-02-21,0.0,6,36
52,2010-02-22,0.0,10,30
53,2010-02-23,T,3,21
54,2010-02-24,0.1,-6,16
55,2010-02-25,0.3,-9,21
56,2010-02-26,0.0,-6,34
57,2010-02-27,0.0,12,39
58,2010-02-28,0.0,14,34
59,2010-03-01,0.0,5,38
60,2010-03-02,0.0,8,40
61,2010-03-03,0.0,18,42
62,2010-03-04,0.0,21,35
63,2010-03-05,0.0,21,44
64,2010-03-06,0.0,27,44
65,2010-03-07,0.0,34,48
66,2010-03-08,0.0,28,37
67,2010-03-09,0.0,34,45
68,2010-03-10,0.0,34,39
69,2010-03-11,0.0,35,40
70,2010-03-12,0.0,35,39
71,2010-03-13,0.0,34,42
72,2010-03-14,0.0,37,55
73,2010-03-15,0.0,39,60
74,2010-03-16,0.0,40,54
75,2010-03-17,0.0,33,57
76,2010-03-18,0.0,36,57
77,2010-03-19,T,22,39
78,2010-03-20,0.0,14,36
79,2010-03-21,0.0,23,53
80,2010-03-22,0.0,28,47
81,2010-03-23,0.0,31,56
82,2010-03-24,0.0,23,51
83,2010-03-25,0.0,10,29
84,2010-03-26,0.0,15,41
85,2010-03-27,0.0,34,45
86,2010-03-28,0.0,25,46
87,2010-03-29,0.0,27,54
88,2010-03-30,0.0,38,63
89,2010-03-31,0.0,41,71
90,2010-04-01,0.0,39,62
91,2010-04-02,0.0,41,61
92,2010-04-03,0.0,37,54
93,2010-04-04,0.0,35,51
94,2010-04-05,0.0,33,61
95,2010-04-06,0.0,40,58
96,2010-04-07,T,31,46
97,2010-04-08,0.0,25,48
98,2010-04-09,0.0,18,53
99,2010-04-10,0.0,38,60
100,2010-04-11,0.0,29,64
101,2010-04-12,0.0,38,57
102,2010-04-13,0.0,37,54
103,2010-04-14,0.0,43,61
104,2010-04-15,0.0,43,73
105,2010-04-16,0.0,39,56
106,2010-04-17,0.0,35,62
107,2010-04-18,0.0,32,56
108,2010-04-19,0.0,33,61
