field1,field2,field3,field4,field5
,0,1.0,2,3
0,2010-01-01,1.1,18,35
1,2010-01-02,2.5,10,18
2,2010-01-03,0.3,5,13
3,2010-01-04,1.6,12,19
4,2010-01-05,4.3,16,20
5,2010-01-06,1.7,17,20
6,2010-01-07,2.6,18,28
7,2010-01-08,2.1,7,25
8,2010-01-09,2.9,12,19
9,2010-01-10,0.3,-6,18
10,2010-01-11,0.3,-8,30
11,2010-01-12,0.9,19,22
12,2010-01-13,0.0,6,31
13,2010-01-14,0.0,2,47
14,2010-01-15,0.0,13,42
15,2010-01-16,0.0,31,50
16,2010-01-17,0.0,33,46
17,2010-01-18,0.0,27,44
18,2010-01-19,0.0,28,46
19,2010-01-20,0.0,32,39
20,2010-01-21,0.0,32,44
21,2010-01-22,0.0,37,45
22,2010-01-23,0.0,36,48
23,2010-01-24,0.0,41,56
24,2010-01-25,0.2,30,57
25,2010-01-26,1.2,24,32
26,2010-01-27,T,24,34
27,2010-01-28,0.2,16,37
28,2010-01-29,0.0,11,19
29,2010-01-30,4.5,6,21
30,2010-01-31,0.0,-8,30
31,2010-02-01,0.0,3,38
32,2010-02-02,1.7,14,35
33,2010-02-03,0.2,29,35
34,2010-02-04,0.0,18,36
35,2010-02-05,2.0,26,35
36,2010-02-06,4.8,9,32
37,2010-02-07,T,11,26
38,2010-02-08,T,9,30
39,2010-02-09,0.3,11,37
40,2010-02-10,3.1,10,33
41,2010-02-11,4.1,21,24
42,2010-02-12,0.3,15,25
43,2010-02-13,0.6,19,22
44,2010-02-14,T,2,28
45,2010-02-15,1.2,2,37
46,2010-02-16,6.1,18,22
47,2010-02-17,3.0,21,26
48,2010-02-18,0.5,24,28
49,2010-02-19,T,9,35
50,2010-02-20,0.0,-1,41
51,2010-02-21,0.0,17,49
52,2010-02-22,0.0,23,46
53,2010-02-23,T,31,38
54,2010-02-24,T,22,34
55,2010-02-25,4.3,19,27
56,2010-02-26,5.6,20,25
57,2010-02-27,4.4,24,28
58,2010-02-28,1.6,26,32
59,2010-03-01,0.2,29,35
60,2010-03-02,T,21,35
61,2010-03-03,2.7,29,31
62,2010-03-04,T,26,36
63,2010-03-05,0.0,4,38
64,2010-03-06,0.0,5,40
65,2010-03-07,0.0,7,49
66,2010-03-08,0.0,11,50
67,2010-03-09,0.0,15,61
68,2010-03-10,0.0,30,65
69,2010-03-11,0.0,32,63
70,2010-03-12,0.0,38,58
71,2010-03-13,0.0,43,53
72,2010-03-14,0.0,40,44
73,2010-03-15,0.0,37,42
74,2010-03-16,0.0,30,50
75,2010-03-17,0.0,29,61
76,2010-03-18,0.0,26,62
77,2010-03-19,0.0,25,64
78,2010-03-20,0.0,26,70
79,2010-03-21,0.0,31,69
80,2010-03-22,0.0,40,70
81,2010-03-23,T,35,41
82,2010-03-24,0.0,32,60
83,2010-03-25,0.0,34,66
84,2010-03-26,T,25,49
85,2010-03-27,0.0,21,60
86,2010-03-28,0.0,41,50
87,2010-03-29,0.0,37,54
88,2010-03-30,0.0,37,53
89,2010-03-31,0.0,25,65
90,2010-04-01,0.0,30,84
91,2010-04-02,0.0,36,89
92,2010-04-03,0.0,47,83
93,2010-04-04,0.0,39,71
94,2010-04-05,0.0,36,80
95,2010-04-06,0.0,53,86
96,2010-04-07,0.0,47,85
97,2010-04-08,0.0,42,76
98,2010-04-09,0.0,38,45
99,2010-04-10,0.0,27,63
100,2010-04-11,0.0,28,71
101,2010-04-12,0.0,34,69
102,2010-04-13,0.0,40,60
103,2010-04-14,0.0,34,69
104,2010-04-15,0.0,33,77
105,2010-04-16,0.0,43,75
106,2010-04-17,0.0,34,54
107,2010-04-18,0.0,29,48
108,2010-04-19,0.0,32,59
109,2010-04-20,0.0,29,66
110,2010-04-21,0.0,38,65
111,2010-04-22,0.0,31,67
112,2010-04-23,0.0,37,70
113,2010-04-24,0.0,50,71
114,2010-04-25,0.0,55,78
115,2010-04-26,0.0,48,58
116,2010-04-27,0.0,43,55
117,2010-04-28,0.0,26,54
118,2010-04-29,0.0,27,66
119,2010-04-30,0.0,34,82
120,2010-05-01,0.0,43,84
121,2010-05-02,0.0,59,80
122,2010-05-03,0.0,59,75
123,2010-05-04,0.0,45,73
124,2010-05-05,0.0,40,79
125,2010-05-06,0.0,42,72
126,2010-05-07,0.0,37,83
127,2010-05-08,0.0,42,76
128,2010-05-09,0.0,31,54
129,2010-05-10,0.0,27,60
130,2010-05-11,0.0,35,61
131,2010-05-12,0.0,54,71
132,2010-05-13,0.0,56,79
133,2010-05-14,0.0,65,82
134,2010-05-15,0.0,52,73
135,2010-05-16,0.0,52,73
136,2010-05-17,0.0,51,62
137,2010-05-18,0.0,49,67
138,2010-05-19,0.0,49,62
139,2010-05-20,0.0,49,74
140,2010-05-21,0.0,46,77
141,2010-05-22,0.0,56,72
142,2010-05-23,0.0,54,75
143,2010-05-24,0.0,54,76
144,2010-05-25,0.0,53,80
145,2010-05-26,0.0,50,82
146,2010-05-27,0.0,57,84
147,2010-05-28,0.0,54,83
148,2010-05-29,0.0,54,82
149,2010-05-30,0.0,55,83
150,2010-05-31,0.0,59,82
151,2010-06-01,0.0,59,79
152,2010-06-02,0.0,58,83
153,2010-06-03,0.0,57,80
154,2010-06-04,0.0,59,84
155,2010-06-05,0.0,62,80
156,2010-06-06,0.0,57,78
157,2010-06-07,0.0,51,69
158,2010-06-08,0.0,47,72
159,2010-06-09,0.0,55,71
160,2010-06-10,0.0,55,78
161,2010-06-11,0.0,51,82
162,2010-06-12,0.0,58,80
163,2010-06-13,0.0,69,79
164,2010-06-14,0.0,65,82
165,2010-06-15,0.0,67,86
166,2010-06-16,0.0,65,82
167,2010-06-17,0.0,58,77
168,2010-06-18,0.0,57,83
169,2010-06-19,0.0,57,86
170,2010-06-20,0.0,62,82
171,2010-06-21,0.0,58,85
172,2010-06-22,0.0,59,87
173,2010-06-23,0.0,66,86
174,2010-06-24,0.0,65,86
175,2010-06-25,0.0,59,81
176,2010-06-26,0.0,55,83
177,2010-06-27,0.0,64,88
178,2010-06-28,0.0,72,84
179,2010-06-29,0.0,64,81
180,2010-06-30,0.0,52,74
181,2010-07-01,0.0,44,72
182,2010-07-02,0.0,43,77
183,2010-07-03,0.0,46,85
184,2010-07-04,0.0,50,86
185,2010-07-05,0.0,56,89
186,2010-07-06,0.0,59,91
187,2010-07-07,0.0,60,91
188,2010-07-08,0.0,61,90
189,2010-07-09,0.0,61,89
190,2010-07-10,0.0,57,81
191,2010-07-11,0.0,53,84
192,2010-07-12,0.0,57,79
193,2010-07-13,0.0,63,81
194,2010-07-14,0.0,63,80
195,2010-07-15,0.0,62,86
196,2010-07-16,0.0,62,86
197,2010-07-17,0.0,65,85
198,2010-07-18,0.0,67,85
199,2010-07-19,0.0,65,83
200,2010-07-20,0.0,65,82
201,2010-07-21,0.0,68,80
202,2010-07-22,0.0,66,86
203,2010-07-23,0.0,65,88
204,2010-07-24,0.0,68,89
205,2010-07-25,0.0,67,87
206,2010-07-26,0.0,58,83
207,2010-07-27,0.0,57,86
208,2010-07-28,0.0,59,87
209,2010-07-29,0.0,61,81
210,2010-07-30,0.0,56,77
211,2010-07-31,0.0,58,80
212,2010-08-01,0.0,60,80
213,2010-08-02,0.0,57,82
214,2010-08-03,0.0,59,81
215,2010-08-04,0.0,66,88
216,2010-08-05,0.0,65,83
217,2010-08-06,0.0,61,80
218,2010-08-07,0.0,58,80
219,2010-08-08,0.0,58,84
220,2010-08-09,0.0,61,87
221,2010-08-10,0.0,61,88
222,2010-08-11,0.0,69,87
223,2010-08-12,0.0,69,84
224,2010-08-13,0.0,66,88
225,2010-08-14,0.0,67,79
226,2010-08-15,0.0,69,86
227,2010-08-16,0.0,67,86
228,2010-08-17,0.0,63,84
229,2010-08-18,0.0,59,72
230,2010-08-19,0.0,59,84
231,2010-08-20,0.0,55,87
232,2010-08-21,0.0,58,83
233,2010-08-22,0.0,67,80
234,2010-08-23,0.0,61,74
235,2010-08-24,0.0,60,74
236,2010-08-25,0.0,59,75
237,2010-08-26,0.0,54,78
238,2010-08-27,0.0,51,79
239,2010-08-28,0.0,53,85
240,2010-08-29,0.0,57,87
241,2010-08-30,0.0,57,89
242,2010-08-31,0.0,57,89
243,2010-09-01,0.0,56,88
244,2010-09-02,0.0,56,89
245,2010-09-03,0.0,56,86
246,2010-09-04,0.0,51,68
247,2010-09-05,0.0,43,70
248,2010-09-06,0.0,42,82
249,2010-09-07,0.0,49,86
250,2010-09-08,0.0,50,78
251,2010-09-09,0.0,43,69
252,2010-09-10,0.0,42,71
253,2010-09-11,0.0,42,78
254,2010-09-12,0.0,48,73
255,2010-09-13,0.0,43,78
256,2010-09-14,0.0,48,76
257,2010-09-15,0.0,42,80
258,2010-09-16,0.0,51,75
259,2010-09-17,0.0,48,71
260,2010-09-18,0.0,50,80
261,2010-09-19,0.0,48,82
262,2010-09-20,0.0,49,76
263,2010-09-21,0.0,46,83
264,2010-09-22,0.0,55,86
265,2010-09-23,0.0,58,87
266,2010-09-24,0.0,55,86
267,2010-09-25,0.0,53,76
268,2010-09-26,0.0,50,68
269,2010-09-27,0.0,57,72
270,2010-09-28,0.0,48,63
271,2010-09-29,0.0,48,64
272,2010-09-30,0.0,56,62
273,2010-10-01,0.0,41,63
274,2010-10-02,0.0,39,69
275,2010-10-03,0.0,44,53
276,2010-10-04,0.0,45,54
277,2010-10-05,0.0,42,46
278,2010-10-06,0.0,40,56
279,2010-10-07,0.0,40,66
280,2010-10-08,0.0,35,72
281,2010-10-09,0.0,36,76
282,2010-10-10,0.0,40,79
283,2010-10-11,0.0,46,79
284,2010-10-12,0.0,44,76
285,2010-10-13,0.0,45,73
286,2010-10-14,0.0,38,59
287,2010-10-15,0.0,36,53
288,2010-10-16,0.0,33,59
289,2010-10-17,0.0,34,70
290,2010-10-18,0.0,38,68
291,2010-10-19,0.0,36,57
292,2010-10-20,0.0,35,61
293,2010-10-21,0.0,35,60
294,2010-10-22,0.0,29,54
295,2010-10-23,0.0,28,73
296,2010-10-24,0.0,38,76
297,2010-10-25,0.0,42,70
298,2010-10-26,0.0,44,79
299,2010-10-27,0.0,42,71
300,2010-10-28,0.0,41,65
301,2010-10-29,0.0,26,44
302,2010-10-30,0.0,24,63
303,2010-10-31,0.0,28,59
304,2010-11-01,0.0,24,52
305,2010-11-02,0.0,22,59
306,2010-11-03,0.0,29,60
307,2010-11-04,0.0,39,47
308,2010-11-05,T,34,41
309,2010-11-06,T,24,37
310,2010-11-07,0.0,24,45
311,2010-11-08,0.0,21,56
312,2010-11-09,0.0,23,62
313,2010-11-10,0.0,24,64
314,2010-11-11,0.0,28,69
315,2010-11-12,0.0,23,73
316,2010-11-13,0.0,24,70
317,2010-11-14,0.0,29,65
318,2010-11-15,0.0,43,51
319,2010-11-16,0.0,44,60
320,2010-11-17,0.0,42,56
321,2010-11-18,0.0,38,45
322,2010-11-19,0.0,27,50
323,2010-11-20,0.0,26,57
324,2010-11-21,0.0,28,62
325,2010-11-22,0.0,34,70
326,2010-11-23,0.0,32,63
327,2010-11-24,0.0,22,43
328,2010-11-25,0.0,40,64
329,2010-11-26,T,28,64
330,2010-11-27,T,27,33
331,2010-11-28,0.0,20,47
332,2010-11-29,0.0,17,57
333,2010-11-30,0.0,49,62
334,2010-12-01,0.8,26,53
335,2010-12-02,0.2,26,29
336,2010-12-03,0.3,24,30
337,2010-12-04,0.4,15,30
338,2010-12-05,5.0,21,25
339,2010-12-06,4.4,16,23
340,2010-12-07,2.0,13,18
341,2010-12-08,1.0,17,21
342,2010-12-09,0.2,12,28
343,2010-12-10,0.0,17,40
344,2010-12-11,0.0,18,47
345,2010-12-12,0.2,23,45
346,2010-12-13,3.8,9,23
347,2010-12-14,0.6,5,14
348,2010-12-15,0.3,1,19
349,2010-12-16,4.2,-1,25
350,2010-12-17,T,23,26
351,2010-12-18,0.0,15,27
352,2010-12-19,T,20,23
353,2010-12-20,0.3,19,24
354,2010-12-21,0.0,22,31
355,2010-12-22,1.2,24,32
356,2010-12-23,2.2,24,26
