field1,field2,field3,field4,field5
,0,1.0,2,3
0,2010-01-01,1.1,23,33
1,2010-01-02,2.5,14,23
2,2010-01-03,4.7,15,23
3,2010-01-04,0.2,19,22
4,2010-01-05,6.4,21,27
5,2010-01-06,1.2,26,27
6,2010-01-07,2.1,24,27
7,2010-01-08,5.4,19,25
8,2010-01-09,0.1,0,21
9,2010-01-10,0.2,-2,24
10,2010-01-11,0.9,16,20
11,2010-01-12,0.2,19,26
12,2010-01-13,0.0,20,29
13,2010-01-14,0.0,26,41
14,2010-01-15,0.0,33,40
15,2010-01-16,0.0,28,38
16,2010-01-17,0.0,30,39
17,2010-01-18,0.0,29,34
18,2010-01-19,0.1,29,32
19,2010-01-20,T,20,31
20,2010-01-21,0.0,15,37
21,2010-01-22,0.0,26,38
22,2010-01-23,0.0,19,45
23,2010-01-24,0.0,39,46
24,2010-01-25,0.1,32,48
25,2010-01-26,1.8,25,33
26,2010-01-27,1.7,21,30
27,2010-01-28,3.0,14,29
28,2010-01-29,0.1,12,17
29,2010-01-30,0.1,5,15
30,2010-01-31,T,5,25
31,2010-02-01,T,16,24
32,2010-02-02,0.8,14,30
33,2010-02-03,0.6,23,29
34,2010-02-04,0.0,12,31
35,2010-02-05,0.0,21,33
36,2010-02-06,T,20,27
37,2010-02-07,0.0,16,23
38,2010-02-08,0.0,9,28
39,2010-02-09,1.6,20,29
40,2010-02-10,8.4,16,30
41,2010-02-11,0.2,19,25
42,2010-02-12,0.5,17,25
43,2010-02-13,1.1,18,27
44,2010-02-14,1.6,24,29
45,2010-02-15,0.5,16,30
46,2010-02-16,2.4,22,27
47,2010-02-17,0.5,22,31
48,2010-02-18,0.7,29,32
49,2010-02-19,0.0,27,31
50,2010-02-20,0.0,19,33
51,2010-02-21,0.0,17,39
52,2010-02-22,T,26,39
53,2010-02-23,0.2,29,35
54,2010-02-24,0.0,26,32
55,2010-02-25,1.7,20,27
56,2010-02-26,4.8,22,27
57,2010-02-27,4.3,21,32
58,2010-02-28,0.7,29,34
59,2010-03-01,0.0,29,34
60,2010-03-02,0.0,27,31
61,2010-03-03,0.0,22,35
62,2010-03-04,0.0,12,34
63,2010-03-05,0.0,13,34
64,2010-03-06,0.0,12,33
65,2010-03-07,0.0,24,42
66,2010-03-08,0.0,28,44
67,2010-03-09,0.0,30,51
68,2010-03-10,0.0,35,60
69,2010-03-11,0.0,41,59
70,2010-03-12,0.0,51,62
71,2010-03-13,T,35,53
72,2010-03-14,T,33,41
73,2010-03-15,T,32,42
74,2010-03-16,0.0,28,52
75,2010-03-17,0.0,29,51
76,2010-03-18,0.0,34,59
77,2010-03-19,0.0,40,59
78,2010-03-20,0.0,34,54
79,2010-03-21,0.0,33,45
80,2010-03-22,0.0,35,38
81,2010-03-23,0.0,34,39
82,2010-03-24,0.0,29,50
83,2010-03-25,0.2,32,48
84,2010-03-26,0.0,22,32
