field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,-27,-5
1,2010-01-02,0.0,-33,-9
2,2010-01-03,0.0,-28,-2
3,2010-01-04,0.0,-12,5
4,2010-01-05,0.0,3,10
5,2010-01-06,2.9,2,10
6,2010-01-07,0.2,-18,2
7,2010-01-08,T,-19,-8
8,2010-01-09,0.0,-21,2
9,2010-01-10,0.0,1,17
10,2010-01-11,T,7,17
11,2010-01-12,0.0,10,22
12,2010-01-13,0.0,14,24
13,2010-01-14,0.0,16,32
14,2010-01-15,0.0,20,32
15,2010-01-16,0.0,20,35
16,2010-01-17,0.0,18,35
17,2010-01-18,0.0,5,24
18,2010-01-19,T,14,22
19,2010-01-20,T,16,25
20,2010-01-21,0.6,23,28
21,2010-01-22,0.2,27,36
22,2010-01-23,4.4,33,36
23,2010-01-24,T,22,34
24,2010-01-25,2.2,1,22
25,2010-01-26,0.0,-9,7
26,2010-01-27,T,-5,7
27,2010-01-28,0.0,-11,1
28,2010-01-29,0.0,-9,8
29,2010-01-30,0.0,-11,4
30,2010-01-31,0.0,-6,4
31,2010-02-01,0.5,-6,10
32,2010-02-02,0.9,-12,8
33,2010-02-03,T,-12,17
34,2010-02-04,T,15,26
35,2010-02-05,2.0,26,33
36,2010-02-06,0.7,20,29
37,2010-02-07,4.5,1,24
38,2010-02-08,1.1,2,24
39,2010-02-09,0.0,-11,6
40,2010-02-10,0.0,-18,8
41,2010-02-11,T,-10,18
42,2010-02-12,T,14,19
43,2010-02-13,T,6,24
44,2010-02-14,0.0,2,14
45,2010-02-15,0.0,7,18
46,2010-02-16,0.0,-4,19
47,2010-02-17,0.0,-8,22
48,2010-02-18,T,-10,18
49,2010-02-19,T,14,23
50,2010-02-20,0.4,6,25
51,2010-02-21,0.2,3,22
52,2010-02-22,T,3,20
53,2010-02-23,T,-11,17
54,2010-02-24,0.0,-19,10
55,2010-02-25,0.0,1,19
56,2010-02-26,0.0,16,24
57,2010-02-27,0.0,7,26
58,2010-02-28,0.0,-2,21
59,2010-03-01,0.0,-2,31
60,2010-03-02,0.0,7,26
61,2010-03-03,0.0,22,28
62,2010-03-04,0.0,24,38
63,2010-03-05,0.0,25,36
64,2010-03-06,0.0,28,37
65,2010-03-07,0.0,33,37
66,2010-03-08,0.0,34,36
67,2010-03-09,0.0,34,39
68,2010-03-10,0.0,34,37
69,2010-03-11,0.0,35,40
70,2010-03-12,0.0,34,37
71,2010-03-13,0.0,34,41
72,2010-03-14,0.0,34,38
73,2010-03-15,0.0,34,40
74,2010-03-16,0.0,31,45
75,2010-03-17,0.0,26,46
76,2010-03-18,0.0,30,47
77,2010-03-19,T,22,31
78,2010-03-20,0.0,19,39
79,2010-03-21,0.0,30,53
80,2010-03-22,0.0,36,50
81,2010-03-23,0.0,30,41
82,2010-03-24,0.0,22,52
83,2010-03-25,0.0,14,28
84,2010-03-26,0.0,26,53
85,2010-03-27,T,29,44
86,2010-03-28,0.0,23,53
87,2010-03-29,0.0,37,65
88,2010-03-30,0.0,46,68
89,2010-03-31,0.0,42,66
90,2010-04-01,0.0,45,60
91,2010-04-02,0.0,37,57
92,2010-04-03,0.0,36,59
93,2010-04-04,0.0,32,62
94,2010-04-05,0.0,35,62
95,2010-04-06,0.0,32,63
96,2010-04-07,0.0,30,52
97,2010-04-08,0.0,24,55
98,2010-04-09,0.0,37,61
99,2010-04-10,0.0,30,63
100,2010-04-11,0.0,27,67
101,2010-04-12,0.0,43,64
102,2010-04-13,0.0,47,69
103,2010-04-14,0.0,54,76
104,2010-04-15,0.0,43,59
105,2010-04-16,0.0,37,61
106,2010-04-17,0.0,27,66
107,2010-04-18,0.0,34,69
108,2010-04-19,0.0,38,73
109,2010-04-20,0.0,35,76
110,2010-04-21,0.0,33,65
111,2010-04-22,0.0,38,69
112,2010-04-23,0.0,42,77
113,2010-04-24,0.0,50,66
114,2010-04-25,0.0,48,63
115,2010-04-26,0.0,46,64
116,2010-04-27,0.0,34,68
117,2010-04-28,0.0,47,71
118,2010-04-29,0.0,49,63
119,2010-04-30,0.0,47,59
120,2010-05-01,0.0,42,54
121,2010-05-02,0.0,38,49
122,2010-05-03,0.0,39,51
123,2010-05-04,0.0,41,63
124,2010-05-05,0.0,37,49
125,2010-05-06,0.0,36,50
126,2010-05-07,T,37,42
127,2010-05-08,0.0,34,53
128,2010-05-09,0.0,32,58
129,2010-05-10,0.0,43,58
130,2010-05-11,0.0,42,47
131,2010-05-12,0.0,41,53
132,2010-05-13,0.0,43,47
133,2010-05-14,0.0,43,75
134,2010-05-15,0.0,45,76
135,2010-05-16,0.0,50,73
136,2010-05-17,0.0,53,78
137,2010-05-18,0.0,52,80
138,2010-05-19,0.0,59,81
139,2010-05-20,0.0,51,83
140,2010-05-21,0.0,58,79
141,2010-05-22,0.0,59,77
142,2010-05-23,0.0,63,78
143,2010-05-24,0.0,58,90
144,2010-05-25,0.0,56,76
145,2010-05-26,0.0,46,78
146,2010-05-27,0.0,56,87
147,2010-05-28,0.0,66,93
148,2010-05-29,0.0,63,95
149,2010-05-30,0.0,50,69
150,2010-05-31,0.0,47,79
151,2010-06-01,0.0,48,66
152,2010-06-02,0.0,42,72
153,2010-06-03,0.0,46,79
154,2010-06-04,0.0,56,81
155,2010-06-05,0.0,55,78
