field1,field2,field3,field4,field5
,0,1.0,2,3
0,2010-01-01,0.4,4,43
1,2010-01-02,0.0,30,47
2,2010-01-03,0.0,22,43
3,2010-01-04,3.0,14,30
4,2010-01-05,2.6,5,14
5,2010-01-06,1.3,-12,10
6,2010-01-07,0.0,-14,20
7,2010-01-08,0.0,18,36
8,2010-01-09,0.0,31,42
9,2010-01-10,0.0,36,45
10,2010-01-11,0.0,37,53
11,2010-01-12,0.0,40,56
12,2010-01-13,0.0,37,51
13,2010-01-14,0.0,38,47
14,2010-01-15,0.0,41,54
15,2010-01-16,0.0,28,49
16,2010-01-17,0.0,24,52
17,2010-01-18,0.0,38,52
18,2010-01-19,0.0,33,50
19,2010-01-20,0.0,28,47
20,2010-01-21,0.0,23,37
21,2010-01-22,3.3,20,25
22,2010-01-23,7.0,19,21
23,2010-01-24,2.9,11,21
24,2010-01-25,0.0,6,18
25,2010-01-26,0.1,1,15
26,2010-01-27,0.0,-5,12
27,2010-01-28,0.0,-2,34
28,2010-01-29,0.0,27,40
29,2010-01-30,0.2,18,27
30,2010-01-31,0.1,15,24
31,2010-02-01,0.0,15,35
32,2010-02-02,T,25,37
33,2010-02-03,0.0,15,39
34,2010-02-04,0.0,13,33
35,2010-02-05,0.6,3,19
36,2010-02-06,1.2,19,26
37,2010-02-07,T,19,24
38,2010-02-08,T,-5,21
39,2010-02-09,0.0,-6,31
40,2010-02-10,0.0,14,37
41,2010-02-11,0.0,21,38
42,2010-02-12,0.0,34,42
43,2010-02-13,T,18,42
44,2010-02-14,T,14,26
45,2010-02-15,1.0,20,36
46,2010-02-16,0.0,21,41
47,2010-02-17,0.8,25,41
48,2010-02-18,0.5,24,34
49,2010-02-19,1.5,17,27
50,2010-02-20,2.9,14,23
51,2010-02-21,T,-3,21
52,2010-02-22,0.0,15,34
53,2010-02-23,0.0,20,42
54,2010-02-24,0.0,32,42
55,2010-02-25,0.0,28,45
56,2010-02-26,0.0,26,46
57,2010-02-27,0.0,33,53
58,2010-02-28,0.0,30,53
59,2010-03-01,0.0,29,57
60,2010-03-02,0.0,36,57
61,2010-03-03,0.0,34,59
62,2010-03-04,0.0,33,56
63,2010-03-05,0.0,32,54
64,2010-03-06,0.0,26,59
65,2010-03-07,0.0,34,58
66,2010-03-08,0.0,31,60
67,2010-03-09,0.6,25,33
68,2010-03-10,0.0,15,41
69,2010-03-11,0.0,22,48
70,2010-03-12,0.0,37,61
71,2010-03-13,0.0,30,49
72,2010-03-14,0.0,20,50
73,2010-03-15,0.0,34,62
74,2010-03-16,0.0,30,68
75,2010-03-17,0.0,32,61
76,2010-03-18,1.0,27,48
