field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,5,18
1,2010-01-02,0.0,-4,9
2,2010-01-03,0.0,1,16
3,2010-01-04,T,10,22
4,2010-01-05,T,12,24
5,2010-01-06,T,18,24
6,2010-01-07,4.9,21,26
7,2010-01-08,T,8,23
8,2010-01-09,T,4,18
9,2010-01-10,0.3,3,19
10,2010-01-11,0.1,16,27
11,2010-01-12,0.0,18,24
12,2010-01-13,0.0,14,25
13,2010-01-14,T,17,35
14,2010-01-15,0.0,26,30
15,2010-01-16,0.0,18,26
16,2010-01-17,0.0,15,28
17,2010-01-18,0.0,11,28
18,2010-01-19,0.0,6,30
19,2010-01-20,0.0,8,27
20,2010-01-21,0.0,16,31
21,2010-01-22,0.0,18,32
22,2010-01-23,0.0,26,37
23,2010-01-24,0.0,34,39
24,2010-01-25,T,26,34
25,2010-01-26,0.2,13,28
26,2010-01-27,T,4,15
27,2010-01-28,0.0,1,8
28,2010-01-29,0.0,-3,13
29,2010-01-30,0.0,0,20
30,2010-01-31,0.0,6,22
31,2010-02-01,T,3,19
32,2010-02-02,2.0,17,25
33,2010-02-03,0.0,7,26
34,2010-02-04,0.0,7,29
35,2010-02-05,0.1,24,31
36,2010-02-06,T,15,24
37,2010-02-07,T,14,27
38,2010-02-08,0.2,18,28
39,2010-02-09,5.2,21,25
40,2010-02-10,0.5,12,29
41,2010-02-11,T,4,22
42,2010-02-12,0.0,-1,27
43,2010-02-13,0.0,12,31
44,2010-02-14,T,11,28
45,2010-02-15,1.9,14,29
46,2010-02-16,0.0,18,31
47,2010-02-17,0.0,24,38
48,2010-02-18,0.0,19,37
49,2010-02-19,0.0,13,36
50,2010-02-20,0.6,18,35
51,2010-02-21,0.0,22,31
52,2010-02-22,0.6,17,33
53,2010-02-23,3.0,17,34
54,2010-02-24,1.5,18,29
55,2010-02-25,0.0,8,29
56,2010-02-26,0.2,14,37
57,2010-02-27,0.0,28,38
58,2010-02-28,1.0,28,33
59,2010-03-01,0.0,21,36
60,2010-03-02,0.0,20,36
61,2010-03-03,0.0,16,39
62,2010-03-04,0.0,18,39
63,2010-03-05,0.0,14,38
64,2010-03-06,0.0,21,42
65,2010-03-07,0.0,22,45
66,2010-03-08,0.0,28,51
67,2010-03-09,0.0,28,47
68,2010-03-10,0.0,34,43
69,2010-03-11,0.0,34,41
70,2010-03-12,0.0,36,42
71,2010-03-13,0.0,37,44
72,2010-03-14,0.0,36,55
73,2010-03-15,0.0,34,57
74,2010-03-16,0.0,31,59
75,2010-03-17,0.0,28,62
76,2010-03-18,0.0,38,62
77,2010-03-19,0.0,31,50
78,2010-03-20,0.0,26,38
79,2010-03-21,0.0,27,49
80,2010-03-22,0.0,26,49
81,2010-03-23,0.0,27,54
82,2010-03-24,0.0,29,57
83,2010-03-25,0.0,21,40
84,2010-03-26,0.0,16,39
85,2010-03-27,0.0,29,47
86,2010-03-28,0.0,29,47
87,2010-03-29,0.0,25,47
88,2010-03-30,0.0,28,58
89,2010-03-31,0.0,47,73
90,2010-04-01,0.0,47,75
91,2010-04-02,0.0,56,77
92,2010-04-03,0.0,47,57
93,2010-04-04,0.0,43,70
94,2010-04-05,0.0,42,66
95,2010-04-06,0.0,45,50
96,2010-04-07,2.1,31,47
97,2010-04-08,3.7,29,36
98,2010-04-09,0.0,27,53
99,2010-04-10,0.0,39,63
100,2010-04-11,0.0,37,66
101,2010-04-12,0.0,37,63
102,2010-04-13,0.0,44,56
103,2010-04-14,0.0,43,72
104,2010-04-15,0.0,58,79
105,2010-04-16,0.0,39,61
106,2010-04-17,0.0,35,58
107,2010-04-18,0.0,33,54
108,2010-04-19,0.0,32,59
109,2010-04-20,0.0,35,66
110,2010-04-21,0.0,35,49
111,2010-04-22,0.0,33,56
112,2010-04-23,0.0,32,64
113,2010-04-24,0.0,47,54
114,2010-04-25,0.0,45,52
115,2010-04-26,0.0,39,61
116,2010-04-27,0.0,37,58
117,2010-04-28,0.0,32,60
118,2010-04-29,0.0,39,64
119,2010-04-30,0.0,56,79
120,2010-05-01,0.0,56,70
121,2010-05-02,0.0,52,72
122,2010-05-03,0.0,47,65
123,2010-05-04,0.0,43,73
124,2010-05-05,0.0,48,67
125,2010-05-06,0.0,44,55
126,2010-05-07,0.7,33,45
127,2010-05-08,0.3,33,49
128,2010-05-09,0.0,31,57
129,2010-05-10,0.0,32,56
130,2010-05-11,0.0,40,48
131,2010-05-12,0.0,44,57
132,2010-05-13,0.0,46,56
133,2010-05-14,0.0,45,62
134,2010-05-15,0.0,38,66
135,2010-05-16,0.0,41,66
136,2010-05-17,0.0,49,68
137,2010-05-18,0.0,42,75
138,2010-05-19,0.0,44,80
139,2010-05-20,0.0,48,81
140,2010-05-21,0.0,55,62
141,2010-05-22,0.0,57,73
142,2010-05-23,0.0,57,88
143,2010-05-24,0.0,68,90
144,2010-05-25,0.0,64,85
145,2010-05-26,0.0,60,86
146,2010-05-27,0.0,53,80
147,2010-05-28,0.0,48,80
148,2010-05-29,0.0,54,83
149,2010-05-30,0.0,55,87
150,2010-05-31,0.0,58,78
151,2010-06-01,0.0,51,82
