field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.0,27,38
1,2010-01-02,0.0,19,28
2,2010-01-03,T,17,25
3,2010-01-04,T,23,29
4,2010-01-05,T,23,30
5,2010-01-06,T,27,35
6,2010-01-07,0.1,27,35
7,2010-01-08,1.0,21,30
8,2010-01-09,0.0,20,31
9,2010-01-10,0.0,15,29
10,2010-01-11,T,17,34
11,2010-01-12,0.0,25,34
12,2010-01-13,0.0,22,38
13,2010-01-14,0.0,19,45
14,2010-01-15,0.0,22,53
15,2010-01-16,0.0,29,51
16,2010-01-17,0.0,29,38
17,2010-01-18,0.0,31,51
18,2010-01-19,0.0,28,47
19,2010-01-20,0.0,25,41
20,2010-01-21,0.0,22,40
21,2010-01-22,T,27,41
22,2010-01-23,0.0,22,42
23,2010-01-24,0.0,28,51
24,2010-01-25,0.0,40,61
25,2010-01-26,T,31,43
26,2010-01-27,0.0,29,39
27,2010-01-28,0.0,18,44
28,2010-01-29,0.0,16,23
29,2010-01-30,0.0,16,20
30,2010-01-31,0.0,13,33
31,2010-02-01,0.0,17,35
32,2010-02-02,2.7,20,34
33,2010-02-03,0.4,26,38
34,2010-02-04,0.0,26,39
35,2010-02-05,6.2,26,37
36,2010-02-06,11.8,18,30
37,2010-02-07,0.0,16,30
38,2010-02-08,0.0,20,33
39,2010-02-09,3.4,15,34
40,2010-02-10,12.3,22,30
41,2010-02-11,0.0,26,34
42,2010-02-12,0.0,18,35
43,2010-02-13,0.0,23,30
44,2010-02-14,0.0,26,35
45,2010-02-15,0.7,14,34
46,2010-02-16,T,25,34
47,2010-02-17,0.2,23,33
48,2010-02-18,T,32,41
49,2010-02-19,0.0,35,42
50,2010-02-20,0.0,30,40
51,2010-02-21,0.0,27,46
52,2010-02-22,0.3,26,38
53,2010-02-23,0.0,33,39
54,2010-02-24,0.0,36,42
55,2010-02-25,0.4,28,36
56,2010-02-26,3.5,25,32
57,2010-02-27,T,27,40
58,2010-02-28,0.2,30,41
59,2010-03-01,0.0,33,44
60,2010-03-02,0.0,32,43
61,2010-03-03,0.0,35,42
62,2010-03-04,0.0,32,46
63,2010-03-05,0.0,33,48
64,2010-03-06,0.0,25,53
65,2010-03-07,0.0,36,57
66,2010-03-08,0.0,37,59
67,2010-03-09,0.0,31,62
68,2010-03-10,0.0,34,61
69,2010-03-11,0.0,42,65
70,2010-03-12,0.0,45,54
71,2010-03-13,0.0,44,50
72,2010-03-14,0.0,45,49
73,2010-03-15,0.0,43,48
74,2010-03-16,0.0,41,63
75,2010-03-17,0.0,33,64
76,2010-03-18,0.0,34,67
77,2010-03-19,0.0,36,70
78,2010-03-20,0.0,37,73
79,2010-03-21,0.0,41,74
80,2010-03-22,0.0,54,62
81,2010-03-23,0.0,46,58
82,2010-03-24,0.0,43,64
83,2010-03-25,0.0,39,66
84,2010-03-26,0.0,32,52
85,2010-03-27,0.0,24,48
86,2010-03-28,0.0,36,50
87,2010-03-29,0.0,46,61
88,2010-03-30,0.0,42,47
89,2010-03-31,0.0,44,70
90,2010-04-01,0.0,40,74
91,2010-04-02,0.0,44,75
92,2010-04-03,0.0,46,71
93,2010-04-04,0.0,48,74
94,2010-04-05,0.0,47,81
95,2010-04-06,0.0,56,89
96,2010-04-07,0.0,55,87
97,2010-04-08,0.0,55,83
98,2010-04-09,0.0,42,56
99,2010-04-10,0.0,42,63
100,2010-04-11,0.0,40,74
101,2010-04-12,0.0,42,67
102,2010-04-13,0.0,39,50
103,2010-04-14,0.0,37,63
104,2010-04-15,0.0,40,74
105,2010-04-16,0.0,52,81
106,2010-04-17,0.0,43,59
107,2010-04-18,0.0,40,54
108,2010-04-19,0.0,42,66
109,2010-04-20,0.0,41,66
110,2010-04-21,0.0,43,60
111,2010-04-22,0.0,44,72
112,2010-04-23,0.0,43,68
113,2010-04-24,0.0,40,65
114,2010-04-25,0.0,47,52
115,2010-04-26,0.0,49,56
116,2010-04-27,0.0,40,56
117,2010-04-28,0.0,40,60
118,2010-04-29,0.0,43,69
119,2010-04-30,0.0,44,85
120,2010-05-01,0.0,54,88
121,2010-05-02,0.0,66,83
122,2010-05-03,0.0,63,80
123,2010-05-04,0.0,53,77
124,2010-05-05,0.0,51,80
125,2010-05-06,0.0,59,76
126,2010-05-07,0.0,48,72
127,2010-05-08,0.0,48,69
128,2010-05-09,0.0,44,54
129,2010-05-10,0.0,37,62
130,2010-05-11,0.0,38,54
131,2010-05-12,0.0,46,55
132,2010-05-13,0.0,49,62
133,2010-05-14,0.0,56,83
134,2010-05-15,0.0,55,74
135,2010-05-16,0.0,56,69
136,2010-05-17,0.0,54,63
137,2010-05-18,0.0,49,55
138,2010-05-19,0.0,50,65
139,2010-05-20,0.0,56,81
140,2010-05-21,0.0,56,84
141,2010-05-22,0.0,63,76
142,2010-05-23,0.0,64,73
143,2010-05-24,0.0,63,78
144,2010-05-25,0.0,65,81
145,2010-05-26,0.0,63,88
146,2010-05-27,0.0,67,89
147,2010-05-28,0.0,62,72
148,2010-05-29,0.0,65,81
149,2010-05-30,0.0,66,85
150,2010-05-31,0.0,66,90
151,2010-06-01,0.0,72,83
152,2010-06-02,0.0,65,86
153,2010-06-03,0.0,68,86
154,2010-06-04,0.0,67,88
155,2010-06-05,0.0,68,84
156,2010-06-06,0.0,63,82
157,2010-06-07,0.0,55,75
158,2010-06-08,0.0,56,74
159,2010-06-09,0.0,58,63
160,2010-06-10,0.0,62,84
161,2010-06-11,0.0,58,79
162,2010-06-12,0.0,65,89
163,2010-06-13,0.0,70,87
164,2010-06-14,0.0,68,82
165,2010-06-15,0.0,67,77
166,2010-06-16,0.0,66,77
167,2010-06-17,0.0,63,80
168,2010-06-18,0.0,60,82
169,2010-06-19,0.0,63,89
170,2010-06-20,0.0,71,88
171,2010-06-21,0.0,70,86
172,2010-06-22,0.0,70,87
173,2010-06-23,0.0,71,92
174,2010-06-24,0.0,75,92
175,2010-06-25,0.0,69,84
176,2010-06-26,0.0,66,88
177,2010-06-27,0.0,69,93
178,2010-06-28,0.0,79,89
179,2010-06-29,0.0,68,86
180,2010-06-30,0.0,56,78
181,2010-07-01,0.0,57,78
182,2010-07-02,0.0,56,81
183,2010-07-03,0.0,58,88
184,2010-07-04,0.0,62,94
185,2010-07-05,0.0,67,97
186,2010-07-06,0.0,73,100
187,2010-07-07,0.0,79,99
188,2010-07-08,0.0,76,97
189,2010-07-09,0.0,73,91
190,2010-07-10,0.0,70,80
191,2010-07-11,0.0,68,89
192,2010-07-12,0.0,65,88
193,2010-07-13,0.0,70,83
194,2010-07-14,0.0,70,85
195,2010-07-15,0.0,72,91
196,2010-07-16,0.0,74,93
197,2010-07-17,0.0,73,91
198,2010-07-18,0.0,74,91
199,2010-07-19,0.0,72,91
200,2010-07-20,0.0,71,82
201,2010-07-21,0.0,73,89
202,2010-07-22,0.0,72,89
203,2010-07-23,0.0,72,96
204,2010-07-24,0.0,81,95
205,2010-07-25,0.0,73,92
206,2010-07-26,0.0,66,85
207,2010-07-27,0.0,67,86
208,2010-07-28,0.0,70,90
209,2010-07-29,0.0,73,90
210,2010-07-30,0.0,64,83
211,2010-07-31,0.0,61,83
212,2010-08-01,0.0,68,81
213,2010-08-02,0.0,66,80
214,2010-08-03,0.0,73,85
215,2010-08-04,0.0,76,91
216,2010-08-05,0.0,74,92
217,2010-08-06,0.0,71,86
218,2010-08-07,0.0,64,84
219,2010-08-08,0.0,67,88
220,2010-08-09,0.0,69,92
221,2010-08-10,0.0,76,95
222,2010-08-11,0.0,75,94
223,2010-08-12,0.0,70,83
224,2010-08-13,0.0,68,75
225,2010-08-14,0.0,66,79
