field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,27,34
1,2010-01-02,0.5,16,33
2,2010-01-03,0.5,13,20
3,2010-01-04,0.0,18,31
4,2010-01-05,0.0,18,27
5,2010-01-06,0.0,21,29
6,2010-01-07,0.0,26,37
7,2010-01-08,0.7,21,29
8,2010-01-09,0.0,12,27
9,2010-01-10,0.0,7,27
10,2010-01-11,0.0,12,34
11,2010-01-12,0.0,16,33
12,2010-01-13,0.0,12,30
13,2010-01-14,0.0,28,40
14,2010-01-15,0.0,27,48
15,2010-01-16,0.0,26,48
16,2010-01-17,T,23,38
17,2010-01-18,T,33,43
18,2010-01-19,0.0,33,39
19,2010-01-20,T,29,41
20,2010-01-21,0.0,23,44
21,2010-01-22,0.0,20,41
22,2010-01-23,0.0,19,39
23,2010-01-24,0.0,17,34
24,2010-01-25,0.0,33,57
25,2010-01-26,0.0,28,45
26,2010-01-27,0.0,26,42
27,2010-01-28,4.7,17,34
28,2010-01-29,T,8,18
29,2010-01-30,0.0,1,19
30,2010-01-31,0.0,5,28
31,2010-02-01,0.0,16,34
32,2010-02-02,T,16,30
33,2010-02-03,0.8,23,34
34,2010-02-04,0.0,23,34
35,2010-02-05,0.0,15,36
36,2010-02-06,0.0,15,28
37,2010-02-07,0.0,7,31
38,2010-02-08,0.0,19,32
39,2010-02-09,0.0,20,40
40,2010-02-10,1.7,29,35
41,2010-02-11,0.0,24,39
42,2010-02-12,0.0,20,36
43,2010-02-13,0.0,17,33
44,2010-02-14,0.0,27,37
45,2010-02-15,T,30,42
46,2010-02-16,4.2,29,31
47,2010-02-17,T,26,35
48,2010-02-18,0.0,29,43
49,2010-02-19,0.0,32,41
50,2010-02-20,0.0,35,45
51,2010-02-21,0.0,27,41
52,2010-02-22,0.0,23,47
53,2010-02-23,0.8,33,37
54,2010-02-24,2.6,33,37
55,2010-02-25,0.0,35,44
56,2010-02-26,0.6,32,40
57,2010-02-27,0.6,30,38
58,2010-02-28,0.1,31,40
59,2010-03-01,0.0,35,50
60,2010-03-02,0.0,33,50
61,2010-03-03,T,33,40
62,2010-03-04,T,35,47
63,2010-03-05,0.0,32,49
64,2010-03-06,0.0,24,58
65,2010-03-07,0.0,29,58
