field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,9,20
1,2010-01-02,T,2,18
2,2010-01-03,T,1,20
3,2010-01-04,T,8,20
4,2010-01-05,0.2,8,20
5,2010-01-06,T,11,24
6,2010-01-07,4.1,9,25
7,2010-01-08,0.6,9,24
8,2010-01-09,T,10,21
9,2010-01-10,T,6,20
10,2010-01-11,T,17,26
11,2010-01-12,T,18,31
12,2010-01-13,0.0,14,39
13,2010-01-14,0.0,26,46
14,2010-01-15,0.0,34,42
15,2010-01-16,0.0,31,39
16,2010-01-17,0.0,27,39
17,2010-01-18,0.0,27,33
18,2010-01-19,0.0,30,36
19,2010-01-20,0.0,28,34
20,2010-01-21,0.0,32,39
21,2010-01-22,0.0,34,40
22,2010-01-23,0.0,37,49
23,2010-01-24,0.0,38,55
24,2010-01-25,1.6,25,38
25,2010-01-26,0.3,18,25
26,2010-01-27,0.9,16,32
27,2010-01-28,0.1,7,32
28,2010-01-29,T,9,19
29,2010-01-30,T,15,26
30,2010-01-31,0.0,8,29
31,2010-02-01,0.0,18,37
32,2010-02-02,T,31,39
33,2010-02-03,T,23,32
34,2010-02-04,0.0,24,38
35,2010-02-05,5.3,30,35
36,2010-02-06,0.8,15,30
37,2010-02-07,0.0,12,29
38,2010-02-08,0.0,12,27
39,2010-02-09,3.6,11,28
40,2010-02-10,0.4,11,26
41,2010-02-11,T,14,27
42,2010-02-12,T,5,28
43,2010-02-13,0.0,14,29
44,2010-02-14,0.0,8,31
45,2010-02-15,6.3,20,26
46,2010-02-16,0.1,21,26
47,2010-02-17,T,16,30
48,2010-02-18,0.0,21,33
49,2010-02-19,0.0,13,36
50,2010-02-20,0.2,29,38
51,2010-02-21,0.0,35,41
52,2010-02-22,T,32,37
53,2010-02-23,T,25,33
54,2010-02-24,0.5,20,27
55,2010-02-25,T,20,34
56,2010-02-26,T,19,35
57,2010-02-27,0.3,25,32
58,2010-02-28,T,31,38
59,2010-03-01,0.0,31,40
60,2010-03-02,0.0,29,43
61,2010-03-03,0.0,26,38
62,2010-03-04,0.0,23,44
63,2010-03-05,0.0,23,48
64,2010-03-06,0.0,23,48
65,2010-03-07,0.0,28,56
66,2010-03-08,0.0,34,60
67,2010-03-09,0.0,37,61
68,2010-03-10,0.0,49,72
69,2010-03-11,0.0,50,65
70,2010-03-12,0.0,44,56
71,2010-03-13,0.0,43,50
72,2010-03-14,0.0,39,48
73,2010-03-15,0.0,41,47
74,2010-03-16,0.0,34,61
75,2010-03-17,0.0,38,63
76,2010-03-18,0.0,36,66
77,2010-03-19,0.0,38,67
78,2010-03-20,0.0,43,69
79,2010-03-21,0.0,40,54
80,2010-03-22,0.0,39,45
81,2010-03-23,0.0,34,61
82,2010-03-24,0.0,41,65
83,2010-03-25,0.0,36,55
84,2010-03-26,0.0,29,46
85,2010-03-27,0.0,29,59
86,2010-03-28,0.0,39,51
87,2010-03-29,0.0,35,55
88,2010-03-30,0.0,36,62
89,2010-03-31,0.0,42,79
90,2010-04-01,0.0,56,82
91,2010-04-02,0.0,59,81
92,2010-04-03,0.0,50,68
93,2010-04-04,0.0,47,76
94,2010-04-05,0.0,62,78
95,2010-04-06,0.0,63,83
96,2010-04-07,0.0,54,74
97,2010-04-08,0.0,37,54
98,2010-04-09,0.0,34,57
99,2010-04-10,0.0,36,71
100,2010-04-11,0.0,48,75
101,2010-04-12,0.0,52,73
102,2010-04-13,0.0,51,80
103,2010-04-14,0.0,53,82
104,2010-04-15,0.0,56,83
105,2010-04-16,0.0,51,76
106,2010-04-17,0.0,38,60
107,2010-04-18,0.0,37,61
108,2010-04-19,0.0,41,64
109,2010-04-20,0.0,48,67
110,2010-04-21,0.0,43,70
111,2010-04-22,0.0,46,73
112,2010-04-23,0.0,56,60
113,2010-04-24,0.0,57,71
114,2010-04-25,0.0,54,60
115,2010-04-26,0.0,47,64
116,2010-04-27,0.0,42,59
117,2010-04-28,0.0,32,63
118,2010-04-29,0.0,44,76
119,2010-04-30,0.0,63,79
120,2010-05-01,0.0,63,74
121,2010-05-02,0.0,62,73
122,2010-05-03,0.0,53,76
123,2010-05-04,0.0,52,77
124,2010-05-05,0.0,56,82
125,2010-05-06,0.0,50,72
126,2010-05-07,0.0,52,82
127,2010-05-08,0.0,41,53
128,2010-05-09,0.0,37,59
129,2010-05-10,0.0,42,62
130,2010-05-11,0.0,49,78
131,2010-05-12,0.0,55,70
132,2010-05-13,0.0,60,83
133,2010-05-14,0.0,58,73
134,2010-05-15,0.0,53,68
135,2010-05-16,0.0,58,63
136,2010-05-17,0.0,52,58
137,2010-05-18,0.0,54,58
138,2010-05-19,0.0,54,61
139,2010-05-20,0.0,51,69
140,2010-05-21,0.0,60,71
141,2010-05-22,0.0,57,78
142,2010-05-23,0.0,60,88
143,2010-05-24,0.0,69,88
144,2010-05-25,0.0,67,86
145,2010-05-26,0.0,69,89
146,2010-05-27,0.0,66,89
147,2010-05-28,0.0,62,87
148,2010-05-29,0.0,66,88
149,2010-05-30,0.0,68,89
150,2010-05-31,0.0,67,86
151,2010-06-01,0.0,66,83
152,2010-06-02,0.0,66,83
153,2010-06-03,0.0,69,83
154,2010-06-04,0.0,69,88
155,2010-06-05,0.0,75,86
156,2010-06-06,0.0,62,79
157,2010-06-07,0.0,58,78
158,2010-06-08,0.0,65,76
159,2010-06-09,0.0,67,83
160,2010-06-10,0.0,61,85
161,2010-06-11,0.0,70,90
162,2010-06-12,0.0,71,89
163,2010-06-13,0.0,70,86
164,2010-06-14,0.0,70,87
165,2010-06-15,0.0,68,87
166,2010-06-16,0.0,70,83
167,2010-06-17,0.0,63,84
168,2010-06-18,0.0,67,90
169,2010-06-19,0.0,67,86
170,2010-06-20,0.0,68,90
171,2010-06-21,0.0,69,84
172,2010-06-22,0.0,68,83
173,2010-06-23,0.0,72,91
174,2010-06-24,0.0,69,82
175,2010-06-25,0.0,65,84
176,2010-06-26,0.0,67,92
177,2010-06-27,0.0,72,89
178,2010-06-28,0.0,69,86
179,2010-06-29,0.0,65,79
180,2010-06-30,0.0,56,78
181,2010-07-01,0.0,59,79
182,2010-07-02,0.0,60,80
183,2010-07-03,0.0,60,86
184,2010-07-04,0.0,69,91
185,2010-07-05,0.0,72,89
186,2010-07-06,0.0,69,92
187,2010-07-07,0.0,73,93
188,2010-07-08,0.0,74,92
189,2010-07-09,0.0,71,86
190,2010-07-10,0.0,66,86
191,2010-07-11,0.0,66,87
192,2010-07-12,0.0,69,87
193,2010-07-13,0.0,69,83
194,2010-07-14,0.0,70,90
195,2010-07-15,0.0,73,93
196,2010-07-16,0.0,72,89
197,2010-07-17,0.0,71,92
198,2010-07-18,0.0,69,85
199,2010-07-19,0.0,71,88
200,2010-07-20,0.0,69,81
201,2010-07-21,0.0,72,87
202,2010-07-22,0.0,71,89
203,2010-07-23,0.0,78,93
204,2010-07-24,0.0,77,93
205,2010-07-25,0.0,73,89
206,2010-07-26,0.0,70,86
207,2010-07-27,0.0,71,90
208,2010-07-28,0.0,73,92
209,2010-07-29,0.0,72,85
210,2010-07-30,0.0,67,82
211,2010-07-31,0.0,69,79
212,2010-08-01,0.0,67,85
213,2010-08-02,0.0,69,90
214,2010-08-03,0.0,72,92
215,2010-08-04,0.0,75,97
216,2010-08-05,0.0,72,89
217,2010-08-06,0.0,64,84
218,2010-08-07,0.0,65,85
219,2010-08-08,0.0,66,88
220,2010-08-09,0.0,70,95
221,2010-08-10,0.0,78,97
222,2010-08-11,0.0,76,98
223,2010-08-12,0.0,75,96
224,2010-08-13,0.0,74,97
225,2010-08-14,0.0,75,92
226,2010-08-15,0.0,73,96
227,2010-08-16,0.0,63,86
228,2010-08-17,0.0,63,88
229,2010-08-18,0.0,71,88
230,2010-08-19,0.0,67,93
231,2010-08-20,0.0,70,95
232,2010-08-21,0.0,72,87
233,2010-08-22,0.0,70,88
234,2010-08-23,0.0,66,87
235,2010-08-24,0.0,66,84
236,2010-08-25,0.0,65,86
237,2010-08-26,0.0,59,80
238,2010-08-27,0.0,58,85
239,2010-08-28,0.0,61,91
240,2010-08-29,0.0,71,96
241,2010-08-30,0.0,71,91
242,2010-08-31,0.0,70,92
243,2010-09-01,0.0,71,91
244,2010-09-02,0.0,70,85
245,2010-09-03,0.0,64,80
246,2010-09-04,0.0,53,74
247,2010-09-05,0.0,48,80
248,2010-09-06,0.0,57,90
249,2010-09-07,0.0,62,88
250,2010-09-08,0.0,54,81
251,2010-09-09,0.0,53,78
252,2010-09-10,0.0,59,82
253,2010-09-11,0.0,61,81
254,2010-09-12,0.0,54,85
255,2010-09-13,0.0,58,91
256,2010-09-14,0.0,63,83
257,2010-09-15,0.0,60,89
258,2010-09-16,0.0,59,84
259,2010-09-17,0.0,52,78
260,2010-09-18,0.0,55,88
261,2010-09-19,0.0,66,84
262,2010-09-20,0.0,67,89
263,2010-09-21,0.0,67,96
264,2010-09-22,0.0,67,80
265,2010-09-23,0.0,65,94
266,2010-09-24,0.0,62,86
267,2010-09-25,0.0,54,74
268,2010-09-26,0.0,52,65
269,2010-09-27,0.0,48,71
270,2010-09-28,0.0,50,72
271,2010-09-29,0.0,48,79
272,2010-09-30,0.0,50,80
273,2010-10-01,0.0,46,73
274,2010-10-02,0.0,47,58
275,2010-10-03,0.0,42,59
276,2010-10-04,0.0,37,65
277,2010-10-05,0.0,37,68
278,2010-10-06,0.0,42,75
279,2010-10-07,0.0,51,80
280,2010-10-08,0.0,45,83
281,2010-10-09,0.0,49,86
282,2010-10-10,0.0,55,88
283,2010-10-11,0.0,56,86
284,2010-10-12,0.0,53,83
285,2010-10-13,0.0,50,78
286,2010-10-14,0.0,42,67
287,2010-10-15,0.0,48,66
288,2010-10-16,0.0,38,70
289,2010-10-17,0.0,50,75
290,2010-10-18,0.0,48,66
291,2010-10-19,0.0,39,64
292,2010-10-20,0.0,38,70
293,2010-10-21,0.0,42,61
294,2010-10-22,0.0,35,68
295,2010-10-23,0.0,49,74
296,2010-10-24,0.0,61,74
297,2010-10-25,0.0,62,73
298,2010-10-26,0.0,54,75
299,2010-10-27,0.0,50,72
300,2010-10-28,0.0,40,57
301,2010-10-29,0.0,36,53
302,2010-10-30,0.0,35,63
303,2010-10-31,0.0,41,55
304,2010-11-01,0.0,35,57
305,2010-11-02,0.0,36,52
306,2010-11-03,0.0,31,59
307,2010-11-04,0.0,40,55
308,2010-11-05,T,31,47
309,2010-11-06,0.0,27,46
310,2010-11-07,0.0,30,59
311,2010-11-08,0.0,39,70
312,2010-11-09,0.0,40,72
313,2010-11-10,0.0,42,72
314,2010-11-11,0.0,45,74
315,2010-11-12,0.0,45,71
316,2010-11-13,0.0,42,70
317,2010-11-14,0.0,36,50
318,2010-11-15,0.0,31,51
319,2010-11-16,0.0,32,44
320,2010-11-17,0.0,34,51
321,2010-11-18,0.0,30,46
322,2010-11-19,0.0,26,45
323,2010-11-20,0.0,35,45
324,2010-11-21,0.0,38,66
325,2010-11-22,0.0,58,69
326,2010-11-23,0.0,30,58
327,2010-11-24,T,30,40
328,2010-11-25,T,29,57
329,2010-11-26,0.0,21,36
330,2010-11-27,0.0,27,40
331,2010-11-28,0.0,23,46
332,2010-11-29,0.0,32,57
333,2010-11-30,T,29,56
334,2010-12-01,0.2,26,29
335,2010-12-02,0.3,23,36
336,2010-12-03,0.0,27,37
337,2010-12-04,3.0,23,33
