field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,-34,-3
1,2010-01-02,0.0,-37,-8
2,2010-01-03,0.0,-37,-5
3,2010-01-04,0.0,-38,2
4,2010-01-05,0.0,-32,8
5,2010-01-06,0.0,-20,7
6,2010-01-07,0.9,-1,4
7,2010-01-08,0.0,-27,4
8,2010-01-09,0.0,-28,13
9,2010-01-10,0.7,6,16
10,2010-01-11,0.0,-5,15
11,2010-01-12,0.0,2,34
12,2010-01-13,0.0,11,36
13,2010-01-14,T,-2,27
14,2010-01-15,0.0,0,39
15,2010-01-16,0.0,27,43
16,2010-01-17,0.0,22,33
17,2010-01-18,T,21,25
18,2010-01-19,0.0,3,22
19,2010-01-20,0.0,16,29
20,2010-01-21,0.0,7,30
21,2010-01-22,0.3,28,34
22,2010-01-23,0.9,31,34
23,2010-01-24,5.1,32,34
24,2010-01-25,2.7,3,32
25,2010-01-26,T,-7,3
26,2010-01-27,T,-8,10
27,2010-01-28,0.0,-16,15
28,2010-01-29,0.0,-22,12
29,2010-01-30,T,-22,11
30,2010-01-31,T,-12,3
31,2010-02-01,T,-22,7
32,2010-02-02,T,-17,11
33,2010-02-03,0.3,-22,16
34,2010-02-04,T,13,21
35,2010-02-05,T,8,23
36,2010-02-06,T,-5,23
37,2010-02-07,1.0,7,23
38,2010-02-08,0.8,6,20
39,2010-02-09,0.0,-6,17
40,2010-02-10,0.0,-21,18
41,2010-02-11,0.0,-18,23
42,2010-02-12,0.0,-19,26
43,2010-02-13,0.0,-15,25
44,2010-02-14,0.0,8,25
45,2010-02-15,1.5,15,27
46,2010-02-16,0.0,2,32
47,2010-02-17,0.0,-9,36
48,2010-02-18,0.0,-10,33
49,2010-02-19,T,-7,23
50,2010-02-20,0.0,-4,30
51,2010-02-21,T,0,28
52,2010-02-22,0.5,-8,23
53,2010-02-23,1.0,-8,16
54,2010-02-24,0.0,-27,15
55,2010-02-25,0.0,-14,24
56,2010-02-26,0.0,-12,30
57,2010-02-27,0.0,-10,36
58,2010-02-28,0.0,4,37
59,2010-03-01,0.0,-4,36
60,2010-03-02,0.0,-1,40
61,2010-03-03,0.0,7,37
62,2010-03-04,0.0,9,38
63,2010-03-05,0.0,14,45
64,2010-03-06,0.0,24,47
65,2010-03-07,0.0,21,47
66,2010-03-08,0.0,31,39
67,2010-03-09,0.0,34,40
68,2010-03-10,0.0,30,50
69,2010-03-11,0.0,36,43
70,2010-03-12,0.0,31,44
71,2010-03-13,0.0,29,45
72,2010-03-14,0.0,38,54
73,2010-03-15,0.0,37,51
74,2010-03-16,0.0,29,50
75,2010-03-17,0.0,25,54
76,2010-03-18,0.0,28,57
77,2010-03-19,0.2,17,33
78,2010-03-20,0.0,8,35
79,2010-03-21,0.0,24,48
80,2010-03-22,0.0,29,49
81,2010-03-23,0.0,23,49
82,2010-03-24,T,11,46
83,2010-03-25,0.0,5,23
84,2010-03-26,0.0,8,50
85,2010-03-27,0.0,23,45
86,2010-03-28,0.0,19,49
87,2010-03-29,0.0,28,60
88,2010-03-30,0.0,45,67
89,2010-03-31,0.0,40,66
90,2010-04-01,0.0,30,57
91,2010-04-02,0.0,42,72
92,2010-04-03,0.0,26,47
93,2010-04-04,0.0,23,58
94,2010-04-05,0.0,33,60
95,2010-04-06,0.0,24,55
96,2010-04-07,0.0,26,41
97,2010-04-08,0.0,20,47
98,2010-04-09,0.0,16,60
99,2010-04-10,0.0,23,57
100,2010-04-11,0.0,21,60
101,2010-04-12,0.0,38,54
102,2010-04-13,0.0,37,61
103,2010-04-14,0.0,46,68
104,2010-04-15,0.0,40,60
105,2010-04-16,0.0,34,56
106,2010-04-17,0.0,27,63
107,2010-04-18,0.0,24,67
108,2010-04-19,0.0,27,70
109,2010-04-20,0.0,27,62
110,2010-04-21,0.0,25,52
111,2010-04-22,0.0,28,65
112,2010-04-23,0.0,31,72
113,2010-04-24,0.0,41,68
114,2010-04-25,0.0,47,61
115,2010-04-26,0.0,38,64
116,2010-04-27,0.0,28,61
117,2010-04-28,0.0,30,65
118,2010-04-29,0.0,45,54
119,2010-04-30,0.0,45,54
120,2010-05-01,0.0,42,55
121,2010-05-02,0.0,41,50
122,2010-05-03,0.0,39,46
123,2010-05-04,0.0,39,61
124,2010-05-05,0.0,37,48
125,2010-05-06,T,33,45
126,2010-05-07,T,36,45
127,2010-05-08,0.0,26,50
128,2010-05-09,0.0,22,57
129,2010-05-10,0.0,31,62
130,2010-05-11,0.0,37,51
131,2010-05-12,0.0,41,59
132,2010-05-13,T,33,48
133,2010-05-14,T,33,59
134,2010-05-15,0.0,37,76
135,2010-05-16,0.0,42,76
136,2010-05-17,0.0,40,77
137,2010-05-18,0.0,39,80
138,2010-05-19,0.0,42,82
139,2010-05-20,0.0,38,83
140,2010-05-21,0.0,44,78
141,2010-05-22,0.0,45,73
142,2010-05-23,0.0,51,85
143,2010-05-24,0.0,50,72
144,2010-05-25,0.0,61,86
145,2010-05-26,0.0,44,72
146,2010-05-27,0.0,38,74
147,2010-05-28,0.0,53,68
148,2010-05-29,0.0,51,85
149,2010-05-30,0.0,42,75
150,2010-05-31,0.0,39,75
151,2010-06-01,0.0,38,65
152,2010-06-02,0.0,35,69
153,2010-06-03,0.0,37,74
154,2010-06-04,0.0,54,70
155,2010-06-05,0.0,49,67
156,2010-06-06,0.0,42,64
157,2010-06-07,0.0,38,73
158,2010-06-08,0.0,49,68
159,2010-06-09,0.0,50,62
160,2010-06-10,0.0,48,65
161,2010-06-11,0.0,53,58
162,2010-06-12,0.0,54,62
163,2010-06-13,0.0,46,68
164,2010-06-14,0.0,42,70
165,2010-06-15,0.0,55,67
166,2010-06-16,0.0,54,75
167,2010-06-17,0.0,49,76
168,2010-06-18,0.0,57,76
169,2010-06-19,0.0,43,66
170,2010-06-20,0.0,45,78
171,2010-06-21,0.0,49,75
172,2010-06-22,0.0,56,78
173,2010-06-23,0.0,49,74
174,2010-06-24,0.0,43,77
175,2010-06-25,0.0,56,73
176,2010-06-26,0.0,52,76
177,2010-06-27,0.0,56,78
178,2010-06-28,0.0,48,67
179,2010-06-29,0.0,36,68
180,2010-06-30,0.0,36,73
181,2010-07-01,0.0,54,86
182,2010-07-02,0.0,66,87
183,2010-07-03,0.0,65,87
184,2010-07-04,0.0,56,78
185,2010-07-05,0.0,53,81
186,2010-07-06,0.0,55,78
187,2010-07-07,0.0,57,73
188,2010-07-08,0.0,49,76
189,2010-07-09,0.0,47,80
190,2010-07-10,0.0,51,86
191,2010-07-11,0.0,51,73
