field1,field2,field3,field4,field5
,0,1.0,2,3
0,2010-01-01,0.0,10,26
1,2010-01-02,0.0,14,41
2,2010-01-03,0.0,14,32
3,2010-01-04,0.0,9,22
4,2010-01-05,0.0,12,38
5,2010-01-06,1.3,-9,34
6,2010-01-07,0.0,-16,4
7,2010-01-08,0.0,-14,7
8,2010-01-09,0.0,0,18
9,2010-01-10,0.0,-1,22
10,2010-01-11,0.0,2,23
11,2010-01-12,0.0,4,28
12,2010-01-13,0.0,11,33
13,2010-01-14,0.0,12,35
14,2010-01-15,0.0,12,29
15,2010-01-16,0.0,16,31
16,2010-01-17,0.0,10,31
17,2010-01-18,0.0,13,31
18,2010-01-19,0.0,13,43
19,2010-01-20,0.0,11,29
20,2010-01-21,0.0,8,29
21,2010-01-22,4.2,14,31
22,2010-01-23,0.0,16,34
23,2010-01-24,0.0,3,25
24,2010-01-25,0.0,7,27
25,2010-01-26,0.0,5,26
26,2010-01-27,0.0,1,26
27,2010-01-28,0.0,10,26
28,2010-01-29,0.0,6,24
29,2010-01-30,0.0,10,30
30,2010-01-31,0.0,7,25
31,2010-02-01,0.0,12,38
32,2010-02-02,0.0,11,28
33,2010-02-03,0.0,11,29
34,2010-02-04,0.0,13,37
35,2010-02-05,0.0,14,28
36,2010-02-06,0.0,12,35
37,2010-02-07,0.1,21,32
38,2010-02-08,T,17,24
39,2010-02-09,0.0,9,24
40,2010-02-10,0.0,6,26
41,2010-02-11,0.0,13,34
42,2010-02-12,0.0,17,42
43,2010-02-13,0.0,24,41
44,2010-02-14,1.4,9,27
45,2010-02-15,0.0,9,25
46,2010-02-16,0.0,14,35
47,2010-02-17,T,21,37
48,2010-02-18,8.2,20,30
49,2010-02-19,3.1,19,25
50,2010-02-20,8.2,16,22
51,2010-02-21,1.5,-1,20
52,2010-02-22,0.0,-5,18
53,2010-02-23,0.0,1,20
54,2010-02-24,0.0,4,27
55,2010-02-25,0.0,18,38
56,2010-02-26,0.0,15,36
57,2010-02-27,0.0,18,35
58,2010-02-28,0.0,18,42
59,2010-03-01,0.0,25,45
60,2010-03-02,0.0,21,42
61,2010-03-03,0.0,26,47
62,2010-03-04,0.0,23,41
63,2010-03-05,2.5,32,41
64,2010-03-06,0.0,27,46
65,2010-03-07,0.0,24,43
66,2010-03-08,0.0,28,48
67,2010-03-09,0.0,25,45
68,2010-03-10,1.7,28,34
69,2010-03-11,0.0,21,43
70,2010-03-12,0.0,21,50
71,2010-03-13,0.0,26,43
72,2010-03-14,1.2,31,37
73,2010-03-15,0.0,25,52
74,2010-03-16,0.0,30,58
75,2010-03-17,0.0,30,64
76,2010-03-18,4.8,28,47
77,2010-03-19,8.1,18,29
78,2010-03-20,0.0,8,37
79,2010-03-21,0.0,21,51
80,2010-03-22,T,33,52
81,2010-03-23,0.8,25,39
82,2010-03-24,0.0,20,48
83,2010-03-25,0.0,28,54
84,2010-03-26,T,27,50
85,2010-03-27,0.0,28,50
86,2010-03-28,0.0,25,59
87,2010-03-29,0.0,33,63
88,2010-03-30,0.0,35,61
89,2010-03-31,4.6,27,36
90,2010-04-01,6.9,26,31
91,2010-04-02,T,24,38
92,2010-04-03,T,22,37
93,2010-04-04,0.0,20,44
94,2010-04-05,M,28,46
95,2010-04-06,9.2,30,39
96,2010-04-07,2.3,25,42
97,2010-04-08,0.0,21,56
98,2010-04-09,0.0,30,45
99,2010-04-10,0.0,25,49
100,2010-04-11,0.0,29,60
101,2010-04-12,0.0,38,67
102,2010-04-13,0.0,37,50
103,2010-04-14,0.0,32,60
104,2010-04-15,0.0,32,61
105,2010-04-16,0.0,33,61
106,2010-04-17,0.0,39,60
107,2010-04-18,0.0,35,69
108,2010-04-19,0.0,36,72
109,2010-04-20,0.0,42,69
110,2010-04-21,0.0,43,69
111,2010-04-22,0.0,42,51
112,2010-04-23,0.0,37,46
113,2010-04-24,0.0,32,62
114,2010-04-25,T,31,48
115,2010-04-26,0.0,29,52
116,2010-04-27,0.0,31,69
117,2010-04-28,0.0,36,62
118,2010-04-29,0.0,29,50
119,2010-04-30,0.0,27,47
120,2010-05-01,0.0,27,54
121,2010-05-02,2.5,32,54
122,2010-05-03,0.0,31,65
123,2010-05-04,0.0,30,49
124,2010-05-05,T,23,46
125,2010-05-06,2.0,28,40
126,2010-05-07,0.0,19,47
127,2010-05-08,0.0,27,51
128,2010-05-09,0.0,30,64
129,2010-05-10,0.0,37,47
130,2010-05-11,8.6,32,38
131,2010-05-12,3.4,31,37
132,2010-05-13,T,31,44
133,2010-05-14,0.0,29,54
134,2010-05-15,0.0,33,63
135,2010-05-16,0.0,37,69
136,2010-05-17,0.0,41,75
137,2010-05-18,0.0,45,72
138,2010-05-19,0.0,47,60
139,2010-05-20,0.0,43,68
140,2010-05-21,0.0,36,55
141,2010-05-22,0.0,40,56
142,2010-05-23,0.0,39,54
143,2010-05-24,0.0,41,52
144,2010-05-25,0.0,39,63
145,2010-05-26,0.0,38,68
146,2010-05-27,0.0,44,79
147,2010-05-28,0.0,49,82
148,2010-05-29,0.0,39,63
149,2010-05-30,0.0,34,67
150,2010-05-31,0.0,43,71
151,2010-06-01,0.0,46,65
152,2010-06-02,0.0,43,72
153,2010-06-03,0.0,51,73
154,2010-06-04,0.0,48,77
155,2010-06-05,0.0,50,74
156,2010-06-06,0.0,51,74
157,2010-06-07,0.0,47,74
158,2010-06-08,0.0,47,74
159,2010-06-09,0.0,50,75
160,2010-06-10,0.0,49,70
161,2010-06-11,0.0,43,56
162,2010-06-12,0.0,37,44
163,2010-06-13,0.0,41,51
164,2010-06-14,0.0,43,68
165,2010-06-15,0.0,44,78
166,2010-06-16,0.0,49,80
167,2010-06-17,0.0,44,64
168,2010-06-18,0.0,38,74
169,2010-06-19,0.0,49,75
170,2010-06-20,0.0,46,80
171,2010-06-21,0.0,52,82
172,2010-06-22,0.0,49,75
173,2010-06-23,0.0,42,79
174,2010-06-24,0.0,49,85
175,2010-06-25,0.0,54,88
176,2010-06-26,0.0,59,77
177,2010-06-27,M,M,M
178,2010-06-28,0.0,58,87
179,2010-06-29,0.0,55,93
180,2010-06-30,0.0,61,89
181,2010-07-01,0.0,56,88
182,2010-07-02,0.0,61,89
183,2010-07-03,0.0,55,85
184,2010-07-04,0.0,51,75
185,2010-07-05,0.0,48,81
186,2010-07-06,0.0,44,59
187,2010-07-07,0.0,41,72
188,2010-07-08,0.0,45,81
189,2010-07-09,0.0,52,87
190,2010-07-10,0.0,56,85
191,2010-07-11,0.0,51,80
192,2010-07-12,0.0,50,89
193,2010-07-13,0.0,58,89
194,2010-07-14,0.0,55,83
195,2010-07-15,0.0,50,88
196,2010-07-16,0.0,52,95
197,2010-07-17,0.0,67,88
198,2010-07-18,0.0,56,92
199,2010-07-19,0.0,59,92
200,2010-07-20,0.0,54,87
201,2010-07-21,0.0,58,77
202,2010-07-22,0.0,56,88
203,2010-07-23,0.0,58,90
204,2010-07-24,0.0,50,87
205,2010-07-25,0.0,54,94
206,2010-07-26,0.0,60,97
207,2010-07-27,0.0,66,91
208,2010-07-28,0.0,65,90
209,2010-07-29,0.0,60,88
210,2010-07-30,0.0,64,93
211,2010-07-31,0.0,60,90
212,2010-08-01,0.0,61,88
213,2010-08-02,0.0,58,93
214,2010-08-03,0.0,59,87
215,2010-08-04,0.0,53,80
216,2010-08-05,0.0,55,84
217,2010-08-06,0.0,56,90
218,2010-08-07,0.0,56,87
219,2010-08-08,0.0,61,89
220,2010-08-09,0.0,55,88
221,2010-08-10,0.0,53,88
222,2010-08-11,0.0,57,89
223,2010-08-12,0.0,55,84
224,2010-08-13,0.0,49,85
225,2010-08-14,0.0,48,73
226,2010-08-15,0.0,50,79
227,2010-08-16,0.0,54,78
228,2010-08-17,0.0,55,90
229,2010-08-18,0.0,58,95
230,2010-08-19,0.0,64,83
231,2010-08-20,0.0,54,88
232,2010-08-21,0.0,59,94
233,2010-08-22,0.0,56,95
234,2010-08-23,0.0,46,76
235,2010-08-24,0.0,45,81
236,2010-08-25,0.0,49,90
237,2010-08-26,0.0,55,95
238,2010-08-27,0.0,59,91
239,2010-08-28,0.0,54,85
240,2010-08-29,0.0,53,81
241,2010-08-30,0.0,49,73
242,2010-08-31,0.0,38,72
243,2010-09-01,0.0,47,76
244,2010-09-02,0.0,48,69
245,2010-09-03,0.0,42,83
246,2010-09-04,0.0,50,90
247,2010-09-05,0.0,45,83
248,2010-09-06,0.0,36,66
249,2010-09-07,0.0,38,76
250,2010-09-08,0.0,50,82
251,2010-09-09,0.0,49,76
252,2010-09-10,0.0,39,68
253,2010-09-11,0.0,37,75
254,2010-09-12,0.0,43,80
255,2010-09-13,0.0,48,80
256,2010-09-14,0.0,48,84
257,2010-09-15,0.0,46,78
258,2010-09-16,0.0,43,83
259,2010-09-17,0.0,43,84
260,2010-09-18,0.0,38,72
261,2010-09-19,0.0,42,90
262,2010-09-20,0.0,54,79
263,2010-09-21,0.0,45,77
264,2010-09-22,0.0,43,74
265,2010-09-23,0.0,45,73
266,2010-09-24,0.0,42,79
267,2010-09-25,0.0,44,83
268,2010-09-26,0.0,49,88
269,2010-09-27,0.0,51,83
270,2010-09-28,0.0,47,89
271,2010-09-29,0.0,51,79
272,2010-09-30,0.0,46,78
273,2010-10-01,0.0,48,76
274,2010-10-02,0.0,43,82
275,2010-10-03,0.0,47,86
276,2010-10-04,0.0,48,79
277,2010-10-05,0.0,47,74
278,2010-10-06,0.0,50,67
279,2010-10-07,0.0,43,72
280,2010-10-08,0.0,41,63
281,2010-10-09,0.0,36,58
282,2010-10-10,0.0,42,67
283,2010-10-11,0.0,40,72
284,2010-10-12,0.0,43,63
285,2010-10-13,0.0,36,66
286,2010-10-14,0.0,36,74
287,2010-10-15,0.0,41,75
288,2010-10-16,0.0,37,58
289,2010-10-17,0.0,38,67
290,2010-10-18,0.0,34,63
291,2010-10-19,0.0,38,65
292,2010-10-20,0.0,36,67
293,2010-10-21,0.0,37,70
294,2010-10-22,0.0,37,67
295,2010-10-23,0.0,41,65
296,2010-10-24,0.0,34,65
297,2010-10-25,0.0,30,50
298,2010-10-26,0.0,27,47
299,2010-10-27,0.0,23,49
300,2010-10-28,0.0,21,54
301,2010-10-29,0.0,27,67
302,2010-10-30,0.0,34,57
303,2010-10-31,0.0,34,56
304,2010-11-01,0.0,29,58
305,2010-11-02,0.0,34,69
306,2010-11-03,0.0,35,58
307,2010-11-04,0.0,28,58
308,2010-11-05,0.0,28,69
309,2010-11-06,0.0,39,70
310,2010-11-07,0.0,39,65
311,2010-11-08,0.0,34,61
312,2010-11-09,1.3,27,37
313,2010-11-10,0.0,24,35
314,2010-11-11,0.0,23,37
315,2010-11-12,0.0,17,41
316,2010-11-13,0.0,21,39
317,2010-11-14,0.0,16,45
318,2010-11-15,0.0,24,47
319,2010-11-16,0.5,22,48
320,2010-11-17,0.0,15,33
321,2010-11-18,0.0,19,58
322,2010-11-19,0.0,27,50
323,2010-11-20,0.0,23,46
324,2010-11-21,0.0,20,31
325,2010-11-22,0.1,14,35
326,2010-11-23,T,22,34
327,2010-11-24,0.0,0,22
328,2010-11-25,0.0,-1,29
329,2010-11-26,0.0,11,41
330,2010-11-27,0.0,14,33
331,2010-11-28,3.8,20,33
332,2010-11-29,1.9,5,26
333,2010-11-30,0.0,2,23
334,2010-12-01,0.0,13,40
335,2010-12-02,0.0,16,51
336,2010-12-03,0.0,28,51
337,2010-12-04,0.0,26,33
338,2010-12-05,0.0,22,35
339,2010-12-06,0.0,18,33
340,2010-12-07,0.0,24,46
341,2010-12-08,0.0,19,36
342,2010-12-09,0.0,27,46
343,2010-12-10,T,23,47
344,2010-12-11,0.0,16,38
345,2010-12-12,0.0,17,50
346,2010-12-13,0.0,28,56
347,2010-12-14,0.0,27,54
348,2010-12-15,0.5,12,44
349,2010-12-16,0.0,7,29
350,2010-12-17,0.0,1,22
351,2010-12-18,0.0,2,22
352,2010-12-19,T,8,25
353,2010-12-20,0.4,23,37
354,2010-12-21,0.0,20,34
355,2010-12-22,0.0,16,35
356,2010-12-23,0.0,17,44
357,2010-12-24,0.0,15,40
358,2010-12-25,0.0,12,33
359,2010-12-26,0.0,7,36
360,2010-12-27,0.0,16,40
361,2010-12-28,0.0,12,38
362,2010-12-29,T,20,38
363,2010-12-30,8.3,0,24
364,2010-12-31,0.5,-13,2
365,2011-01-01,0.0,-13,11
366,2011-01-02,0.0,-12,24
367,2011-01-03,0.0,-4,15
368,2011-01-04,0.0,-9,16
