field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,-1,15
1,2010-01-02,0.0,-5,7
2,2010-01-03,T,-8,12
3,2010-01-04,0.0,1,17
4,2010-01-05,T,7,19
5,2010-01-06,T,1,18
6,2010-01-07,6.3,17,26
7,2010-01-08,T,-5,23
8,2010-01-09,0.0,-11,15
9,2010-01-10,T,-5,17
10,2010-01-11,T,12,26
11,2010-01-12,0.0,2,26
12,2010-01-13,0.0,15,34
13,2010-01-14,0.0,25,37
14,2010-01-15,T,24,28
15,2010-01-16,T,22,26
16,2010-01-17,T,20,28
17,2010-01-18,0.0,18,33
18,2010-01-19,0.0,7,29
19,2010-01-20,T,17,30
20,2010-01-21,T,30,31
21,2010-01-22,0.0,27,33
22,2010-01-23,0.0,32,38
23,2010-01-24,0.0,30,38
24,2010-01-25,0.1,19,31
25,2010-01-26,T,5,22
26,2010-01-27,T,4,22
27,2010-01-28,T,0,10
28,2010-01-29,0.0,-4,12
29,2010-01-30,T,1,21
30,2010-01-31,0.0,6,23
31,2010-02-01,0.6,4,23
32,2010-02-02,2.5,23,32
33,2010-02-03,T,11,27
34,2010-02-04,T,7,31
35,2010-02-05,0.1,27,33
36,2010-02-06,T,16,27
37,2010-02-07,T,17,28
38,2010-02-08,0.8,15,27
39,2010-02-09,4.8,24,26
40,2010-02-10,T,12,28
41,2010-02-11,0.0,-1,26
42,2010-02-12,0.0,-1,27
43,2010-02-13,0.0,-2,29
44,2010-02-14,T,3,28
45,2010-02-15,1.2,16,27
46,2010-02-16,0.1,24,32
47,2010-02-17,0.0,28,34
48,2010-02-18,0.0,13,37
49,2010-02-19,T,6,37
50,2010-02-20,1.5,27,33
51,2010-02-21,0.4,28,34
52,2010-02-22,1.0,29,34
53,2010-02-23,1.3,21,33
54,2010-02-24,0.9,18,25
55,2010-02-25,T,8,27
56,2010-02-26,0.0,13,33
57,2010-02-27,T,26,38
58,2010-02-28,T,31,35
59,2010-03-01,T,20,36
60,2010-03-02,0.0,15,32
61,2010-03-03,0.0,9,37
62,2010-03-04,0.0,11,40
63,2010-03-05,0.0,13,40
64,2010-03-06,0.0,13,40
65,2010-03-07,0.0,22,46
66,2010-03-08,0.0,23,40
67,2010-03-09,0.0,35,44
68,2010-03-10,0.0,36,51
69,2010-03-11,0.0,38,51
70,2010-03-12,0.0,40,50
71,2010-03-13,0.0,39,43
72,2010-03-14,0.0,39,57
73,2010-03-15,0.0,34,58
74,2010-03-16,0.0,29,63
75,2010-03-17,0.0,27,65
76,2010-03-18,0.0,39,65
77,2010-03-19,1.1,32,55
78,2010-03-20,0.7,27,37
79,2010-03-21,0.0,26,50
80,2010-03-22,0.0,24,55
81,2010-03-23,0.0,24,59
82,2010-03-24,0.0,31,57
83,2010-03-25,0.0,22,45
84,2010-03-26,0.0,19,44
85,2010-03-27,0.0,32,49
86,2010-03-28,0.0,28,54
87,2010-03-29,0.0,23,52
88,2010-03-30,0.0,35,66
89,2010-03-31,0.0,49,75
90,2010-04-01,0.0,46,81
91,2010-04-02,0.0,55,76
92,2010-04-03,0.0,46,60
93,2010-04-04,0.0,43,66
94,2010-04-05,0.0,39,69
95,2010-04-06,0.0,47,56
96,2010-04-07,0.6,33,50
97,2010-04-08,0.3,26,40
98,2010-04-09,0.0,25,58
99,2010-04-10,0.0,44,65
100,2010-04-11,0.0,41,67
101,2010-04-12,0.0,37,62
102,2010-04-13,0.0,46,62
103,2010-04-14,0.0,44,80
104,2010-04-15,0.0,53,79
105,2010-04-16,0.0,43,61
106,2010-04-17,0.0,38,61
107,2010-04-18,0.0,29,60
108,2010-04-19,0.0,32,61
109,2010-04-20,0.0,35,66
110,2010-04-21,0.0,37,64
111,2010-04-22,0.0,32,64
112,2010-04-23,0.0,35,65
113,2010-04-24,0.0,48,54
114,2010-04-25,0.0,47,51
115,2010-04-26,0.0,40,64
116,2010-04-27,0.0,36,57
117,2010-04-28,0.0,31,62
118,2010-04-29,0.0,50,77
119,2010-04-30,0.0,60,75
120,2010-05-01,0.0,55,70
121,2010-05-02,0.0,54,71
122,2010-05-03,0.0,50,66
123,2010-05-04,0.0,45,80
124,2010-05-05,0.0,50,67
125,2010-05-06,0.0,43,62
126,2010-05-07,0.0,41,48
127,2010-05-08,0.0,35,48
128,2010-05-09,0.0,31,57
129,2010-05-10,0.0,33,60
130,2010-05-11,0.0,41,48
131,2010-05-12,0.0,44,49
132,2010-05-13,0.0,47,66
133,2010-05-14,0.0,47,66
134,2010-05-15,0.0,41,66
135,2010-05-16,0.0,40,65
136,2010-05-17,0.0,47,68
137,2010-05-18,0.0,45,73
138,2010-05-19,0.0,42,78
139,2010-05-20,0.0,45,77
140,2010-05-21,0.0,56,67
141,2010-05-22,0.0,53,76
142,2010-05-23,0.0,65,89
143,2010-05-24,0.0,72,91
144,2010-05-25,0.0,63,87
145,2010-05-26,0.0,61,84
146,2010-05-27,0.0,56,80
147,2010-05-28,0.0,50,83
148,2010-05-29,0.0,55,86
149,2010-05-30,0.0,60,89
150,2010-05-31,0.0,54,78
151,2010-06-01,0.0,50,84
152,2010-06-02,0.0,56,80
153,2010-06-03,0.0,53,74
154,2010-06-04,0.0,56,80
155,2010-06-05,0.0,56,81
156,2010-06-06,0.0,54,74
157,2010-06-07,0.0,55,73
158,2010-06-08,0.0,52,66
159,2010-06-09,0.0,58,79
160,2010-06-10,0.0,53,73
161,2010-06-11,0.0,57,86
162,2010-06-12,0.0,64,74
163,2010-06-13,0.0,62,72
164,2010-06-14,0.0,59,69
165,2010-06-15,0.0,59,72
166,2010-06-16,0.0,60,78
167,2010-06-17,0.0,59,84
168,2010-06-18,0.0,66,83
169,2010-06-19,0.0,61,80
170,2010-06-20,0.0,60,80
171,2010-06-21,0.0,63,81
172,2010-06-22,0.0,67,86
173,2010-06-23,0.0,65,83
174,2010-06-24,0.0,62,81
175,2010-06-25,0.0,60,83
176,2010-06-26,0.0,67,85
177,2010-06-27,0.0,67,82
178,2010-06-28,0.0,59,77
179,2010-06-29,0.0,53,74
180,2010-06-30,0.0,50,75
181,2010-07-01,0.0,59,79
182,2010-07-02,0.0,63,82
183,2010-07-03,0.0,64,86
184,2010-07-04,0.0,71,86
185,2010-07-05,0.0,71,81
186,2010-07-06,0.0,72,84
187,2010-07-07,0.0,70,84
188,2010-07-08,0.0,66,84
189,2010-07-09,0.0,63,84
190,2010-07-10,0.0,65,86
191,2010-07-11,0.0,65,82
192,2010-07-12,0.0,64,78
193,2010-07-13,0.0,64,84
194,2010-07-14,0.0,67,90
195,2010-07-15,0.0,69,82
196,2010-07-16,0.0,69,87
197,2010-07-17,0.0,72,88
198,2010-07-18,0.0,70,86
199,2010-07-19,0.0,64,83
200,2010-07-20,0.0,61,85
201,2010-07-21,0.0,65,85
202,2010-07-22,0.0,64,86
203,2010-07-23,0.0,72,84
204,2010-07-24,0.0,69,83
205,2010-07-25,0.0,63,83
206,2010-07-26,0.0,60,83
207,2010-07-27,0.0,65,88
208,2010-07-28,0.0,63,84
209,2010-07-29,0.0,60,82
210,2010-07-30,0.0,61,74
211,2010-07-31,0.0,65,82
212,2010-08-01,0.0,61,85
213,2010-08-02,0.0,72,82
214,2010-08-03,0.0,69,88
215,2010-08-04,0.0,72,85
216,2010-08-05,0.0,66,79
217,2010-08-06,0.0,61,81
218,2010-08-07,0.0,59,83
219,2010-08-08,0.0,69,85
220,2010-08-09,0.0,70,88
221,2010-08-10,0.0,68,88
222,2010-08-11,0.0,72,86
223,2010-08-12,0.0,69,92
224,2010-08-13,0.0,68,80
225,2010-08-14,0.0,68,84
226,2010-08-15,0.0,67,78
227,2010-08-16,0.0,61,78
228,2010-08-17,0.0,59,73
229,2010-08-18,0.0,61,79
230,2010-08-19,0.0,66,85
231,2010-08-20,0.0,70,89
232,2010-08-21,0.0,68,83
233,2010-08-22,0.0,63,84
234,2010-08-23,0.0,58,84
235,2010-08-24,0.0,59,79
236,2010-08-25,0.0,53,74
237,2010-08-26,0.0,48,76
238,2010-08-27,0.0,58,84
239,2010-08-28,0.0,61,84
240,2010-08-29,0.0,61,90
241,2010-08-30,0.0,71,85
242,2010-08-31,0.0,69,81
243,2010-09-01,0.0,66,77
244,2010-09-02,0.0,63,80
245,2010-09-03,0.0,54,63
246,2010-09-04,0.0,47,65
247,2010-09-05,0.0,45,73
248,2010-09-06,0.0,62,77
249,2010-09-07,0.0,52,75
250,2010-09-08,0.0,48,67
251,2010-09-09,0.0,48,65
252,2010-09-10,0.0,49,73
253,2010-09-11,0.0,57,72
254,2010-09-12,0.0,50,80
255,2010-09-13,0.0,50,74
256,2010-09-14,0.0,46,74
257,2010-09-15,0.0,50,76
258,2010-09-16,0.0,49,66
259,2010-09-17,0.0,48,74
260,2010-09-18,0.0,48,68
261,2010-09-19,0.0,48,58
262,2010-09-20,0.0,54,73
263,2010-09-21,0.0,64,78
264,2010-09-22,0.0,57,73
265,2010-09-23,0.0,65,86
266,2010-09-24,0.0,56,71
267,2010-09-25,0.0,43,60
268,2010-09-26,0.0,40,61
269,2010-09-27,0.0,35,65
270,2010-09-28,0.0,43,71
271,2010-09-29,0.0,44,74
272,2010-09-30,0.0,44,69
273,2010-10-01,0.0,41,72
274,2010-10-02,0.0,38,55
275,2010-10-03,0.0,33,57
276,2010-10-04,0.0,30,61
277,2010-10-05,0.0,32,68
278,2010-10-06,0.0,37,77
279,2010-10-07,0.0,42,75
280,2010-10-08,0.0,40,80
281,2010-10-09,0.0,53,85
282,2010-10-10,0.0,47,82
283,2010-10-11,0.0,48,81
284,2010-10-12,0.0,46,76
285,2010-10-13,0.0,40,65
286,2010-10-14,0.0,36,66
287,2010-10-15,0.0,37,62
288,2010-10-16,0.0,37,71
289,2010-10-17,0.0,36,62
290,2010-10-18,0.0,34,60
291,2010-10-19,0.0,32,60
292,2010-10-20,0.0,39,70
293,2010-10-21,0.0,30,54
294,2010-10-22,0.0,27,63
295,2010-10-23,0.0,54,64
296,2010-10-24,0.0,58,63
297,2010-10-25,0.0,55,68
298,2010-10-26,0.0,48,67
299,2010-10-27,0.0,41,55
300,2010-10-28,0.0,32,45
301,2010-10-29,0.0,27,50
302,2010-10-30,0.0,32,64
303,2010-10-31,0.0,27,50
304,2010-11-01,0.0,25,53
305,2010-11-02,0.0,27,52
306,2010-11-03,0.0,39,58
307,2010-11-04,0.0,31,48
308,2010-11-05,0.0,23,41
309,2010-11-06,0.0,22,47
310,2010-11-07,0.0,37,58
311,2010-11-08,0.0,35,66
312,2010-11-09,0.0,34,68
313,2010-11-10,0.0,36,67
314,2010-11-11,0.0,44,58
315,2010-11-12,0.0,41,49
316,2010-11-13,0.0,37,50
317,2010-11-14,0.0,34,41
318,2010-11-15,0.0,29,51
319,2010-11-16,0.0,32,50
320,2010-11-17,0.0,31,42
321,2010-11-18,0.0,29,35
322,2010-11-19,0.0,30,42
323,2010-11-20,0.0,24,35
324,2010-11-21,0.0,31,55
325,2010-11-22,0.0,32,64
326,2010-11-23,0.0,17,32
327,2010-11-24,T,17,38
328,2010-11-25,T,16,38
329,2010-11-26,0.0,16,31
330,2010-11-27,0.0,18,33
331,2010-11-28,0.0,20,47
332,2010-11-29,0.0,35,48
333,2010-11-30,T,23,47
334,2010-12-01,0.2,20,25
335,2010-12-02,0.0,16,30
336,2010-12-03,0.3,11,24
337,2010-12-04,3.9,23,29
338,2010-12-05,T,10,24
339,2010-12-06,T,6,19
340,2010-12-07,0.0,10,20
341,2010-12-08,0.0,4,23
342,2010-12-09,1.9,3,30
343,2010-12-10,0.0,23,35
344,2010-12-11,4.1,25,37
345,2010-12-12,4.8,8,26
346,2010-12-13,0.0,-5,11
347,2010-12-14,0.0,-9,14
348,2010-12-15,0.0,-10,16
349,2010-12-16,0.0,8,20
350,2010-12-17,0.0,11,23
351,2010-12-18,0.0,8,18
352,2010-12-19,0.0,2,20
353,2010-12-20,3.1,1,28
354,2010-12-21,0.3,21,32
355,2010-12-22,0.2,15,33
356,2010-12-23,0.0,18,27
357,2010-12-24,2.0,23,28
358,2010-12-25,T,20,30
359,2010-12-26,0.0,15,26
360,2010-12-27,T,10,24
361,2010-12-28,T,16,28
362,2010-12-29,0.0,15,37
363,2010-12-30,0.0,34,44
364,2010-12-31,0.0,35,48
365,2011-01-01,T,9,35
366,2011-01-02,T,8,28
367,2011-01-03,0.1,22,31
368,2011-01-04,0.2,7,29
369,2011-01-05,0.7,4,24
370,2011-01-06,0.0,15,23
371,2011-01-07,0.3,9,18
372,2011-01-08,0.0,7,21
373,2011-01-09,0.0,1,27
374,2011-01-10,1.0,9,28
375,2011-01-11,2.4,19,26
376,2011-01-12,0.5,19,27
377,2011-01-13,0.3,10,24
378,2011-01-14,1.7,17,22
379,2011-01-15,0.3,9,22
380,2011-01-16,0.0,1,15
381,2011-01-17,4.8,15,31
382,2011-01-18,T,12,29
383,2011-01-19,T,2,19
384,2011-01-20,0.0,0,17
385,2011-01-21,0.3,-11,6
386,2011-01-22,0.5,-3,12
387,2011-01-23,T,-15,16
388,2011-01-24,T,15,23
389,2011-01-25,0.0,17,28
390,2011-01-26,0.2,15,22
391,2011-01-27,2.1,16,26
392,2011-01-28,0.1,19,29
393,2011-01-29,0.2,25,34
394,2011-01-30,T,15,26
395,2011-01-31,4.4,17,20
396,2011-02-01,8.3,14,19
397,2011-02-02,6.0,3,19
398,2011-02-03,0.0,-7,18
399,2011-02-04,0.0,8,25
400,2011-02-05,T,15,28
401,2011-02-06,1.5,20,31
402,2011-02-07,0.5,12,25
403,2011-02-08,0.1,0,11
404,2011-02-09,0.0,-4,11
405,2011-02-10,0.0,-13,13
406,2011-02-11,0.3,-9,30
407,2011-02-12,T,13,34
408,2011-02-13,0.0,29,46
409,2011-02-14,0.0,25,43
410,2011-02-15,0.0,27,40
411,2011-02-16,0.0,29,44
412,2011-02-17,0.0,38,52
413,2011-02-18,0.0,26,42
414,2011-02-19,0.0,17,34
415,2011-02-20,2.1,24,33
416,2011-02-21,1.3,21,31
417,2011-02-22,1.0,14,26
418,2011-02-23,T,24,31
419,2011-02-24,0.0,29,33
420,2011-02-25,0.3,18,29
421,2011-02-26,2.4,9,18
422,2011-02-27,T,9,30
423,2011-02-28,0.0,16,32
424,2011-03-01,0.0,18,42
425,2011-03-02,0.0,15,32
426,2011-03-03,0.0,18,41
427,2011-03-04,0.3,33,41
428,2011-03-05,0.6,17,33
429,2011-03-06,0.0,13,30
430,2011-03-07,0.3,23,33
431,2011-03-08,T,31,41
432,2011-03-09,5.1,32,34
433,2011-03-10,0.0,29,41
434,2011-03-11,0.0,18,43
435,2011-03-12,0.0,26,40
436,2011-03-13,0.0,24,40
437,2011-03-14,0.0,19,45
438,2011-03-15,0.0,22,51
439,2011-03-16,0.0,29,59
440,2011-03-17,0.0,43,60
441,2011-03-18,0.0,28,50
442,2011-03-19,0.0,23,53
443,2011-03-20,T,37,43
444,2011-03-21,0.0,39,49
445,2011-03-22,0.1,33,40
446,2011-03-23,T,23,34
447,2011-03-24,0.0,18,33
448,2011-03-25,T,19,32
449,2011-03-26,T,17,31
450,2011-03-27,0.0,17,35
451,2011-03-28,0.0,15,39
452,2011-03-29,0.0,20,44
453,2011-03-30,0.0,19,47
454,2011-03-31,0.0,20,49
455,2011-04-01,0.6,33,40
456,2011-04-02,0.0,34,53
457,2011-04-03,0.0,38,48
458,2011-04-04,0.0,36,48
459,2011-04-05,0.0,31,52
460,2011-04-06,0.0,39,57
461,2011-04-07,0.0,36,56
462,2011-04-08,0.0,42,54
463,2011-04-09,0.0,47,64
464,2011-04-10,0.0,51,81
465,2011-04-11,0.0,44,63
466,2011-04-12,0.0,32,62
467,2011-04-13,0.0,36,72
468,2011-04-14,0.0,37,51
469,2011-04-15,0.0,35,46
470,2011-04-16,0.1,34,38
471,2011-04-17,0.0,35,52
472,2011-04-18,T,33,48
473,2011-04-19,1.3,32,36
474,2011-04-20,T,32,41
475,2011-04-21,0.0,26,53
476,2011-04-22,0.0,40,42
477,2011-04-23,0.0,42,57
478,2011-04-24,0.0,42,57
479,2011-04-25,0.0,39,64
480,2011-04-26,0.0,45,58
481,2011-04-27,0.0,41,46
482,2011-04-28,0.0,37,43
483,2011-04-29,0.0,31,63
484,2011-04-30,0.0,47,70
485,2011-05-01,0.0,36,56
486,2011-05-02,0.0,31,54
487,2011-05-03,0.0,30,44
488,2011-05-04,0.0,27,60
489,2011-05-05,0.0,40,59
490,2011-05-06,0.0,36,69
491,2011-05-07,0.0,41,65
492,2011-05-08,0.0,36,70
493,2011-05-09,0.0,47,67
494,2011-05-10,0.0,59,86
495,2011-05-11,T,58,85
496,2011-05-12,0.0,56,84
497,2011-05-13,0.0,51,66
498,2011-05-14,0.0,47,52
499,2011-05-15,0.0,41,61
500,2011-05-16,0.0,36,60
501,2011-05-17,0.0,35,65
502,2011-05-18,0.0,43,60
503,2011-05-19,0.0,51,72
504,2011-05-20,0.0,47,77
505,2011-05-21,0.0,57,74
506,2011-05-22,0.0,58,85
507,2011-05-23,0.0,57,75
508,2011-05-24,0.0,49,65
509,2011-05-25,0.0,48,51
510,2011-05-26,0.0,38,61
511,2011-05-27,0.0,35,64
512,2011-05-28,0.0,51,69
513,2011-05-29,0.0,48,67
514,2011-05-30,0.0,56,88
515,2011-05-31,0.0,68,82
516,2011-06-01,0.0,58,78
517,2011-06-02,0.0,55,73
518,2011-06-03,0.0,58,91
519,2011-06-04,0.0,61,89
520,2011-06-05,0.0,57,88
521,2011-06-06,0.0,60,94
522,2011-06-07,0.0,76,96
523,2011-06-08,0.0,65,87
524,2011-06-09,0.0,54,66
525,2011-06-10,0.0,50,65
526,2011-06-11,0.0,52,62
527,2011-06-12,0.0,45,69
528,2011-06-13,0.0,52,74
529,2011-06-14,0.0,50,77
530,2011-06-15,0.0,56,67
531,2011-06-16,0.0,55,80
532,2011-06-17,0.0,58,81
533,2011-06-18,0.0,61,82
534,2011-06-19,0.0,62,80
535,2011-06-20,0.0,63,80
536,2011-06-21,T,65,87
537,2011-06-22,0.0,65,71
538,2011-06-23,0.0,59,66
539,2011-06-24,0.0,56,71
540,2011-06-25,0.0,50,75
541,2011-06-26,0.0,53,80
542,2011-06-27,0.0,65,82
543,2011-06-28,0.0,57,78
544,2011-06-29,0.0,53,82
545,2011-06-30,0.0,63,89
546,2011-07-01,0.0,74,91
547,2011-07-02,0.0,68,87
548,2011-07-03,0.0,61,81
549,2011-07-04,0.0,57,87
550,2011-07-05,0.0,62,89
551,2011-07-06,0.0,62,87
552,2011-07-07,0.0,58,83
553,2011-07-08,0.0,56,88
554,2011-07-09,0.0,66,89
555,2011-07-10,0.0,72,89
556,2011-07-11,0.0,70,87
557,2011-07-12,0.0,59,83
558,2011-07-13,0.0,58,77
559,2011-07-14,0.0,53,81
560,2011-07-15,0.0,67,82
561,2011-07-16,0.0,70,88
562,2011-07-17,0.0,72,96
563,2011-07-18,0.0,77,93
564,2011-07-19,0.0,71,95
565,2011-07-20,0.0,74,97
566,2011-07-21,0.0,74,88
567,2011-07-22,0.0,69,87
568,2011-07-23,0.0,74,90
569,2011-07-24,0.0,70,85
570,2011-07-25,0.0,64,88
571,2011-07-26,0.0,65,87
572,2011-07-27,0.0,61,76
573,2011-07-28,0.0,71,81
574,2011-07-29,0.0,65,89
575,2011-07-30,0.0,63,90
576,2011-07-31,0.0,66,91
577,2011-08-01,0.0,72,89
578,2011-08-02,0.0,77,92
579,2011-08-03,0.0,67,89
580,2011-08-04,0.0,63,86
581,2011-08-05,0.0,62,86
582,2011-08-06,0.0,67,89
583,2011-08-07,0.0,65,85
584,2011-08-08,0.0,60,77
585,2011-08-09,0.0,63,79
586,2011-08-10,0.0,54,77
587,2011-08-11,0.0,51,82
588,2011-08-12,0.0,58,81
589,2011-08-13,0.0,60,76
590,2011-08-14,0.0,56,78
591,2011-08-15,0.0,52,83
592,2011-08-16,0.0,58,82
593,2011-08-17,0.0,60,84
594,2011-08-18,0.0,51,83
595,2011-08-19,0.0,55,88
596,2011-08-20,0.0,63,81
597,2011-08-21,0.0,55,78
598,2011-08-22,0.0,53,84
599,2011-08-23,0.0,65,79
600,2011-08-24,0.0,67,88
601,2011-08-25,0.0,60,82
602,2011-08-26,0.0,61,82
603,2011-08-27,0.0,59,84
604,2011-08-28,0.0,52,78
605,2011-08-29,0.0,49,80
606,2011-08-30,0.0,58,71
607,2011-08-31,0.0,63,84
608,2011-09-01,0.0,61,92
609,2011-09-02,0.0,71,86
610,2011-09-03,0.0,66,75
611,2011-09-04,0.0,51,68
612,2011-09-05,0.0,44,65
613,2011-09-06,0.0,39,69
614,2011-09-07,0.0,40,73
615,2011-09-08,0.0,46,79
616,2011-09-09,0.0,52,77
617,2011-09-10,0.0,52,83
618,2011-09-11,0.0,51,84
619,2011-09-12,0.0,58,84
620,2011-09-13,0.0,50,72
621,2011-09-14,0.0,40,61
622,2011-09-15,0.0,36,60
623,2011-09-16,0.0,39,59
624,2011-09-17,0.0,44,69
625,2011-09-18,0.0,55,60
626,2011-09-19,0.0,48,71
627,2011-09-20,0.0,44,76
628,2011-09-21,0.0,54,66
629,2011-09-22,0.0,41,61
630,2011-09-23,0.0,37,56
631,2011-09-24,0.0,38,62
632,2011-09-25,0.0,46,62
633,2011-09-26,0.0,51,65
634,2011-09-27,0.0,50,66
635,2011-09-28,0.0,48,70
636,2011-09-29,0.0,48,69
637,2011-09-30,0.0,39,60
638,2011-10-01,0.0,34,60
639,2011-10-02,0.0,30,68
640,2011-10-03,0.0,40,75
641,2011-10-04,0.0,40,76
642,2011-10-05,0.0,42,80
643,2011-10-06,0.0,45,80
644,2011-10-07,0.0,57,82
645,2011-10-08,0.0,56,81
