field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,-9,6
1,2010-01-02,0.0,-15,1
2,2010-01-03,0.0,-14,7
3,2010-01-04,0.0,-10,7
4,2010-01-05,0.0,-9,10
5,2010-01-06,0.0,-4,16
6,2010-01-07,2.2,4,16
7,2010-01-08,0.0,-6,8
8,2010-01-09,0.0,-14,6
9,2010-01-10,0.0,-6,15
10,2010-01-11,T,8,22
11,2010-01-12,T,2,22
12,2010-01-13,T,19,28
13,2010-01-14,0.0,15,31
14,2010-01-15,0.0,12,28
15,2010-01-16,0.0,15,35
16,2010-01-17,0.0,20,34
17,2010-01-18,0.0,13,34
18,2010-01-19,T,13,23
19,2010-01-20,T,19,28
20,2010-01-21,T,25,30
21,2010-01-22,0.0,28,33
22,2010-01-23,T,32,36
23,2010-01-24,T,32,35
24,2010-01-25,0.9,16,34
25,2010-01-26,T,3,16
26,2010-01-27,T,2,11
27,2010-01-28,T,-2,7
28,2010-01-29,0.0,-5,9
29,2010-01-30,0.0,1,17
30,2010-01-31,0.0,3,16
31,2010-02-01,2.6,8,16
32,2010-02-02,0.5,8,21
33,2010-02-03,0.0,1,21
34,2010-02-04,1.0,19,29
35,2010-02-05,1.3,28,33
36,2010-02-06,0.0,19,28
37,2010-02-07,0.8,15,24
38,2010-02-08,4.7,22,25
39,2010-02-09,0.4,15,26
40,2010-02-10,0.0,3,24
41,2010-02-11,0.0,0,25
42,2010-02-12,T,3,25
43,2010-02-13,0.2,10,23
44,2010-02-14,1.6,5,24
45,2010-02-15,0.7,22,30
46,2010-02-16,0.0,17,34
47,2010-02-17,0.0,16,35
48,2010-02-18,0.0,10,37
49,2010-02-19,0.0,7,31
50,2010-02-20,T,18,35
51,2010-02-21,0.0,13,31
52,2010-02-22,0.0,14,32
53,2010-02-23,0.1,9,23
54,2010-02-24,0.0,1,20
55,2010-02-25,0.0,3,26
56,2010-02-26,0.0,5,32
57,2010-02-27,0.0,9,38
58,2010-02-28,0.0,16,38
59,2010-03-01,0.0,19,38
60,2010-03-02,0.0,19,42
61,2010-03-03,0.0,20,41
62,2010-03-04,0.0,20,39
63,2010-03-05,0.0,23,42
64,2010-03-06,0.0,24,41
65,2010-03-07,0.0,35,47
66,2010-03-08,0.0,34,37
67,2010-03-09,0.0,33,39
68,2010-03-10,0.0,35,42
69,2010-03-11,0.0,35,47
70,2010-03-12,0.0,38,43
71,2010-03-13,0.0,38,45
72,2010-03-14,0.0,40,64
73,2010-03-15,0.0,41,60
74,2010-03-16,0.0,40,50
75,2010-03-17,0.0,34,58
76,2010-03-18,0.0,39,64
77,2010-03-19,0.0,29,45
78,2010-03-20,0.0,23,39
79,2010-03-21,0.0,24,50
80,2010-03-22,0.0,30,55
81,2010-03-23,0.0,37,61
82,2010-03-24,0.0,31,55
83,2010-03-25,0.0,24,42
84,2010-03-26,0.0,25,51
85,2010-03-27,0.0,40,52
86,2010-03-28,0.0,33,52
87,2010-03-29,0.0,32,59
88,2010-03-30,0.0,46,75
89,2010-03-31,0.0,50,76
90,2010-04-01,0.0,50,81
91,2010-04-02,0.0,44,72
92,2010-04-03,0.0,39,61
93,2010-04-04,0.0,50,67
94,2010-04-05,0.0,43,60
95,2010-04-06,0.0,44,52
96,2010-04-07,0.0,39,56
97,2010-04-08,0.0,33,52
98,2010-04-09,0.0,32,67
99,2010-04-10,0.0,44,63
100,2010-04-11,0.0,38,69
101,2010-04-12,0.0,47,68
102,2010-04-13,0.0,46,69
103,2010-04-14,0.0,53,74
104,2010-04-15,0.0,54,71
105,2010-04-16,0.0,46,61
106,2010-04-17,0.0,40,65
107,2010-04-18,0.0,38,67
108,2010-04-19,0.0,45,69
109,2010-04-20,0.0,50,71
110,2010-04-21,0.0,42,61
111,2010-04-22,0.0,34,66
112,2010-04-23,0.0,48,69
113,2010-04-24,0.0,50,60
114,2010-04-25,0.0,47,61
115,2010-04-26,0.0,44,63
116,2010-04-27,0.0,39,60
117,2010-04-28,0.0,40,69
118,2010-04-29,0.0,56,73
119,2010-04-30,0.0,55,69
120,2010-05-01,0.0,49,64
121,2010-05-02,0.0,48,64
122,2010-05-03,0.0,46,57
123,2010-05-04,0.0,41,79
124,2010-05-05,0.0,47,55
125,2010-05-06,0.0,41,54
126,2010-05-07,T,34,48
127,2010-05-08,T,34,52
128,2010-05-09,0.0,32,58
129,2010-05-10,0.0,44,58
130,2010-05-11,0.0,41,46
131,2010-05-12,0.0,42,51
132,2010-05-13,0.0,46,53
133,2010-05-14,0.0,46,71
134,2010-05-15,0.0,45,74
135,2010-05-16,0.0,54,74
136,2010-05-17,0.0,53,76
137,2010-05-18,0.0,54,75
138,2010-05-19,0.0,50,79
139,2010-05-20,0.0,53,82
140,2010-05-21,0.0,59,65
141,2010-05-22,0.0,57,82
142,2010-05-23,0.0,73,88
143,2010-05-24,0.0,72,95
144,2010-05-25,0.0,66,89
145,2010-05-26,0.0,60,80
146,2010-05-27,0.0,56,81
147,2010-05-28,0.0,61,85
148,2010-05-29,0.0,64,91
149,2010-05-30,0.0,59,81
150,2010-05-31,0.0,51,78
151,2010-06-01,0.0,62,82
152,2010-06-02,0.0,58,73
153,2010-06-03,0.0,52,78
154,2010-06-04,0.0,63,83
155,2010-06-05,0.0,59,70
156,2010-06-06,0.0,57,78
157,2010-06-07,0.0,56,75
158,2010-06-08,0.0,60,70
159,2010-06-09,0.0,59,73
160,2010-06-10,0.0,57,66
161,2010-06-11,0.0,60,76
162,2010-06-12,0.0,54,62
163,2010-06-13,0.0,59,67
164,2010-06-14,0.0,61,69
165,2010-06-15,0.0,61,76
166,2010-06-16,0.0,60,80
167,2010-06-17,0.0,66,89
168,2010-06-18,0.0,64,86
169,2010-06-19,0.0,64,76
170,2010-06-20,0.0,61,82
171,2010-06-21,0.0,69,79
172,2010-06-22,0.0,67,91
173,2010-06-23,0.0,64,80
174,2010-06-24,0.0,60,82
175,2010-06-25,T,65,86
176,2010-06-26,0.0,66,84
177,2010-06-27,0.0,68,84
178,2010-06-28,0.0,63,75
179,2010-06-29,0.0,58,74
180,2010-06-30,0.0,57,79
181,2010-07-01,0.0,63,86
182,2010-07-02,0.0,68,88
183,2010-07-03,0.0,74,92
184,2010-07-04,0.0,73,85
185,2010-07-05,0.0,70,85
186,2010-07-06,0.0,70,88
187,2010-07-07,0.0,68,87
188,2010-07-08,0.0,63,85
189,2010-07-09,0.0,67,87
190,2010-07-10,0.0,69,86
191,2010-07-11,0.0,66,83
192,2010-07-12,0.0,61,79
193,2010-07-13,0.0,63,85
194,2010-07-14,0.0,71,93
195,2010-07-15,0.0,65,85
196,2010-07-16,0.0,70,90
197,2010-07-17,0.0,67,92
198,2010-07-18,0.0,68,84
199,2010-07-19,0.0,64,80
200,2010-07-20,0.0,65,86
201,2010-07-21,0.0,66,88
202,2010-07-22,0.0,68,77
203,2010-07-23,0.0,68,86
204,2010-07-24,0.0,64,83
205,2010-07-25,0.0,64,83
206,2010-07-26,0.0,67,86
207,2010-07-27,0.0,72,94
208,2010-07-28,0.0,67,83
209,2010-07-29,0.0,65,82
210,2010-07-30,0.0,67,74
211,2010-07-31,0.0,68,86
212,2010-08-01,0.0,70,87
213,2010-08-02,0.0,76,86
214,2010-08-03,0.0,74,95
215,2010-08-04,0.0,71,90
216,2010-08-05,0.0,66,82
217,2010-08-06,0.0,63,85
218,2010-08-07,0.0,68,89
219,2010-08-08,0.0,75,96
220,2010-08-09,0.0,76,95
221,2010-08-10,0.0,71,90
222,2010-08-11,0.0,72,93
223,2010-08-12,0.0,72,92
224,2010-08-13,0.0,68,88
225,2010-08-14,0.0,65,86
226,2010-08-15,0.0,63,77
227,2010-08-16,0.0,58,79
228,2010-08-17,0.0,58,78
229,2010-08-18,0.0,66,78
230,2010-08-19,0.0,71,80
231,2010-08-20,0.0,74,86
232,2010-08-21,0.0,69,85
233,2010-08-22,0.0,65,88
234,2010-08-23,0.0,72,88
235,2010-08-24,0.0,63,78
236,2010-08-25,0.0,58,73
237,2010-08-26,0.0,56,79
238,2010-08-27,0.0,63,88
239,2010-08-28,0.0,67,89
240,2010-08-29,0.0,68,94
241,2010-08-30,0.0,77,92
242,2010-08-31,0.0,68,86
243,2010-09-01,0.0,60,77
244,2010-09-02,0.0,59,73
245,2010-09-03,0.0,51,61
246,2010-09-04,0.0,48,69
247,2010-09-05,0.0,50,73
248,2010-09-06,0.0,59,71
249,2010-09-07,0.0,52,63
250,2010-09-08,0.0,46,69
251,2010-09-09,0.0,52,65
252,2010-09-10,0.0,58,71
253,2010-09-11,0.0,56,73
254,2010-09-12,0.0,54,79
255,2010-09-13,0.0,54,74
256,2010-09-14,0.0,53,68
257,2010-09-15,0.0,52,66
258,2010-09-16,0.0,50,56
259,2010-09-17,0.0,53,64
260,2010-09-18,0.0,45,60
261,2010-09-19,0.0,50,64
262,2010-09-20,0.0,52,80
263,2010-09-21,T,53,77
264,2010-09-22,0.0,48,65
265,2010-09-23,0.0,57,74
266,2010-09-24,0.0,50,61
267,2010-09-25,0.0,45,61
268,2010-09-26,0.0,41,65
269,2010-09-27,0.0,45,75
270,2010-09-28,0.0,54,66
271,2010-09-29,0.0,52,74
272,2010-09-30,0.0,49,72
273,2010-10-01,0.0,47,70
274,2010-10-02,0.0,41,56
275,2010-10-03,0.0,38,59
276,2010-10-04,0.0,41,65
277,2010-10-05,0.0,45,74
278,2010-10-06,0.0,54,71
279,2010-10-07,0.0,46,74
280,2010-10-08,0.0,57,87
281,2010-10-09,0.0,58,83
282,2010-10-10,0.0,54,81
283,2010-10-11,0.0,54,80
284,2010-10-12,0.0,52,72
285,2010-10-13,0.0,47,66
286,2010-10-14,0.0,45,69
287,2010-10-15,0.0,43,61
288,2010-10-16,0.0,46,66
289,2010-10-17,0.0,40,59
290,2010-10-18,0.0,39,56
291,2010-10-19,0.0,40,60
292,2010-10-20,0.0,43,68
293,2010-10-21,0.0,40,53
294,2010-10-22,0.0,36,68
295,2010-10-23,0.0,52,65
296,2010-10-24,0.0,53,61
297,2010-10-25,0.0,52,61
298,2010-10-26,0.0,42,63
299,2010-10-27,T,35,42
300,2010-10-28,0.0,30,42
301,2010-10-29,0.0,28,53
302,2010-10-30,0.0,35,52
303,2010-10-31,0.0,30,49
304,2010-11-01,0.0,31,52
305,2010-11-02,0.0,34,56
306,2010-11-03,0.0,44,56
307,2010-11-04,0.0,33,46
308,2010-11-05,0.0,27,45
309,2010-11-06,0.0,31,57
310,2010-11-07,0.0,36,61
311,2010-11-08,0.0,43,63
312,2010-11-09,0.0,43,69
313,2010-11-10,0.0,45,68
314,2010-11-11,0.0,37,52
315,2010-11-12,T,36,43
316,2010-11-13,7.7,33,36
317,2010-11-14,0.3,33,35
318,2010-11-15,0.0,27,39
319,2010-11-16,0.1,30,35
320,2010-11-17,0.0,30,37
321,2010-11-18,T,27,31
322,2010-11-19,0.0,23,39
323,2010-11-20,0.0,18,29
324,2010-11-21,0.0,27,34
325,2010-11-22,0.1,14,31
326,2010-11-23,0.0,12,24
327,2010-11-24,1.1,20,33
328,2010-11-25,T,6,27
329,2010-11-26,0.0,11,26
