field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,2.5,17,25
1,2010-01-02,0.3,7,17
2,2010-01-03,T,8,25
3,2010-01-04,0.6,24,29
4,2010-01-05,T,23,30
5,2010-01-06,T,27,31
6,2010-01-07,4.6,21,28
7,2010-01-08,T,18,25
8,2010-01-09,T,9,27
9,2010-01-10,0.0,20,26
10,2010-01-11,0.6,21,32
11,2010-01-12,T,21,32
12,2010-01-13,0.0,30,35
13,2010-01-14,0.0,34,38
14,2010-01-15,0.0,32,34
15,2010-01-16,0.0,29,34
16,2010-01-17,0.0,29,32
17,2010-01-18,0.0,31,35
18,2010-01-19,0.0,25,35
19,2010-01-20,0.0,19,28
20,2010-01-21,0.0,20,31
21,2010-01-22,0.0,25,36
22,2010-01-23,0.0,32,38
23,2010-01-24,0.0,36,47
24,2010-01-25,0.2,30,36
25,2010-01-26,1.4,24,31
26,2010-01-27,0.1,17,26
27,2010-01-28,0.6,11,23
28,2010-01-29,0.6,6,20
29,2010-01-30,T,2,23
30,2010-01-31,T,20,26
31,2010-02-01,T,20,30
32,2010-02-02,1.5,23,29
33,2010-02-03,0.5,12,31
34,2010-02-04,0.0,7,30
35,2010-02-05,0.0,24,35
36,2010-02-06,0.0,16,27
37,2010-02-07,0.0,14,29
38,2010-02-08,0.0,13,31
39,2010-02-09,6.7,21,28
40,2010-02-10,0.5,21,29
41,2010-02-11,T,26,28
42,2010-02-12,T,17,31
43,2010-02-13,T,9,32
44,2010-02-14,T,25,31
45,2010-02-15,0.9,18,30
46,2010-02-16,2.3,25,32
47,2010-02-17,0.1,29,35
48,2010-02-18,0.0,19,35
49,2010-02-19,0.0,16,35
50,2010-02-20,T,20,39
51,2010-02-21,T,32,38
52,2010-02-22,3.4,28,36
53,2010-02-23,2.9,22,35
54,2010-02-24,5.7,23,32
55,2010-02-25,T,17,28
56,2010-02-26,3.6,26,31
57,2010-02-27,T,29,36
58,2010-02-28,0.0,32,38
59,2010-03-01,T,28,38
60,2010-03-02,0.0,21,37
61,2010-03-03,0.0,22,42
62,2010-03-04,0.0,16,39
63,2010-03-05,0.0,19,39
64,2010-03-06,0.0,16,38
65,2010-03-07,0.0,21,43
66,2010-03-08,0.0,22,41
67,2010-03-09,0.0,26,55
68,2010-03-10,0.0,43,52
69,2010-03-11,0.0,44,59
70,2010-03-12,0.0,46,57
71,2010-03-13,0.0,44,52
72,2010-03-14,0.0,41,51
73,2010-03-15,0.0,41,56
74,2010-03-16,0.0,29,61
75,2010-03-17,0.0,29,59
76,2010-03-18,0.0,30,55
77,2010-03-19,0.0,41,52
78,2010-03-20,0.4,30,41
79,2010-03-21,0.0,33,47
80,2010-03-22,0.0,30,57
81,2010-03-23,0.0,30,48
82,2010-03-24,0.0,26,53
83,2010-03-25,0.0,23,45
84,2010-03-26,0.0,19,36
85,2010-03-27,0.0,25,52
86,2010-03-28,0.0,36,59
87,2010-03-29,0.0,29,46
88,2010-03-30,0.0,27,54
89,2010-03-31,0.0,44,76
90,2010-04-01,0.0,57,78
91,2010-04-02,0.0,57,78
92,2010-04-03,0.0,44,63
93,2010-04-04,0.0,40,70
94,2010-04-05,0.0,43,61
95,2010-04-06,0.0,50,59
96,2010-04-07,0.0,43,55
97,2010-04-08,T,32,47
98,2010-04-09,T,30,44
99,2010-04-10,0.0,30,58
100,2010-04-11,0.0,40,62
101,2010-04-12,0.0,39,65
102,2010-04-13,0.0,46,58
103,2010-04-14,0.0,46,74
104,2010-04-15,0.0,56,76
105,2010-04-16,0.0,41,62
106,2010-04-17,0.0,38,51
107,2010-04-18,0.0,31,53
108,2010-04-19,0.0,32,55
109,2010-04-20,0.0,35,60
110,2010-04-21,0.0,33,59
111,2010-04-22,0.0,35,56
112,2010-04-23,0.0,34,68
113,2010-04-24,0.0,46,61
114,2010-04-25,0.0,50,56
115,2010-04-26,0.0,47,69
116,2010-04-27,0.0,38,55
117,2010-04-28,0.0,30,54
118,2010-04-29,0.0,35,72
119,2010-04-30,0.0,56,78
120,2010-05-01,0.0,59,71
121,2010-05-02,0.0,52,65
122,2010-05-03,0.0,48,67
123,2010-05-04,0.0,43,74
124,2010-05-05,0.0,50,63
125,2010-05-06,0.0,46,58
126,2010-05-07,0.0,44,50
127,2010-05-08,0.0,38,46
128,2010-05-09,0.0,28,51
129,2010-05-10,0.0,29,60
130,2010-05-11,0.0,41,50
131,2010-05-12,0.0,43,55
132,2010-05-13,0.0,46,63
133,2010-05-14,0.0,47,59
134,2010-05-15,0.0,41,61
135,2010-05-16,0.0,43,69
136,2010-05-17,0.0,50,70
137,2010-05-18,0.0,45,70
138,2010-05-19,0.0,43,78
139,2010-05-20,0.0,43,74
140,2010-05-21,0.0,57,70
141,2010-05-22,0.0,56,72
142,2010-05-23,0.0,56,86
143,2010-05-24,0.0,69,89
144,2010-05-25,0.0,64,85
145,2010-05-26,0.0,65,87
146,2010-05-27,0.0,64,84
147,2010-05-28,0.0,57,82
148,2010-05-29,0.0,62,83
149,2010-05-30,0.0,61,86
150,2010-05-31,0.0,60,79
151,2010-06-01,0.0,52,81
152,2010-06-02,0.0,59,73
153,2010-06-03,0.0,52,75
154,2010-06-04,0.0,50,75
155,2010-06-05,0.0,60,81
156,2010-06-06,0.0,55,67
157,2010-06-07,0.0,46,67
158,2010-06-08,0.0,49,66
159,2010-06-09,0.0,60,73
160,2010-06-10,0.0,54,72
161,2010-06-11,0.0,62,85
162,2010-06-12,0.0,59,76
163,2010-06-13,0.0,58,72
164,2010-06-14,0.0,62,75
165,2010-06-15,0.0,65,78
166,2010-06-16,0.0,62,72
167,2010-06-17,0.0,59,79
168,2010-06-18,0.0,68,84
169,2010-06-19,0.0,65,80
170,2010-06-20,0.0,59,79
171,2010-06-21,0.0,59,84
172,2010-06-22,0.0,67,81
173,2010-06-23,0.0,69,80
174,2010-06-24,0.0,63,77
175,2010-06-25,0.0,55,80
176,2010-06-26,0.0,67,80
177,2010-06-27,0.0,67,76
178,2010-06-28,0.0,60,79
179,2010-06-29,0.0,52,70
180,2010-06-30,0.0,50,71
181,2010-07-01,0.0,49,74
182,2010-07-02,0.0,57,78
183,2010-07-03,0.0,60,82
184,2010-07-04,0.0,70,89
185,2010-07-05,0.0,76,88
186,2010-07-06,0.0,75,88
187,2010-07-07,0.0,72,90
188,2010-07-08,0.0,73,81
189,2010-07-09,0.0,67,86
190,2010-07-10,0.0,64,85
191,2010-07-11,0.0,67,85
192,2010-07-12,0.0,68,80
193,2010-07-13,0.0,69,85
194,2010-07-14,0.0,66,86
195,2010-07-15,0.0,68,84
196,2010-07-16,0.0,72,85
197,2010-07-17,0.0,72,84
198,2010-07-18,0.0,71,83
199,2010-07-19,0.0,68,82
200,2010-07-20,0.0,64,83
201,2010-07-21,0.0,69,83
202,2010-07-22,0.0,65,76
203,2010-07-23,0.0,74,84
204,2010-07-24,0.0,72,80
205,2010-07-25,0.0,66,84
206,2010-07-26,0.0,60,82
207,2010-07-27,0.0,64,85
208,2010-07-28,0.0,70,82
209,2010-07-29,0.0,61,80
210,2010-07-30,0.0,60,81
211,2010-07-31,0.0,69,80
212,2010-08-01,0.0,66,81
213,2010-08-02,0.0,66,84
214,2010-08-03,0.0,71,85
215,2010-08-04,0.0,68,85
216,2010-08-05,0.0,69,82
217,2010-08-06,0.0,61,79
218,2010-08-07,0.0,61,83
219,2010-08-08,0.0,76,84
220,2010-08-09,0.0,73,83
221,2010-08-10,0.0,68,90
222,2010-08-11,0.0,73,86
223,2010-08-12,0.0,71,88
224,2010-08-13,0.0,72,89
225,2010-08-14,0.0,75,83
226,2010-08-15,0.0,74,81
227,2010-08-16,0.0,70,78
228,2010-08-17,0.0,65,76
229,2010-08-18,0.0,61,78
230,2010-08-19,0.0,66,82
231,2010-08-20,0.0,68,92
232,2010-08-21,0.0,69,82
233,2010-08-22,0.0,65,84
234,2010-08-23,0.0,64,82
235,2010-08-24,0.0,63,79
236,2010-08-25,0.0,60,76
237,2010-08-26,0.0,50,74
238,2010-08-27,0.0,53,79
239,2010-08-28,0.0,63,83
240,2010-08-29,0.0,61,88
241,2010-08-30,0.0,75,90
242,2010-08-31,0.0,76,89
243,2010-09-01,0.0,71,82
244,2010-09-02,0.0,68,78
245,2010-09-03,0.0,59,70
246,2010-09-04,0.0,56,65
247,2010-09-05,0.0,45,71
248,2010-09-06,0.0,62,77
249,2010-09-07,0.0,59,77
250,2010-09-08,0.0,58,63
251,2010-09-09,0.0,53,68
252,2010-09-10,0.0,47,72
253,2010-09-11,0.0,55,60
254,2010-09-12,0.0,55,73
255,2010-09-13,0.0,53,73
256,2010-09-14,0.0,48,67
257,2010-09-15,0.0,48,74
258,2010-09-16,0.0,57,71
259,2010-09-17,0.0,51,67
260,2010-09-18,0.0,53,67
261,2010-09-19,0.0,48,68
262,2010-09-20,0.0,54,68
263,2010-09-21,0.0,65,80
264,2010-09-22,0.0,59,75
265,2010-09-23,0.0,60,85
266,2010-09-24,0.0,59,77
267,2010-09-25,0.0,49,60
268,2010-09-26,0.0,45,62
269,2010-09-27,0.0,45,65
270,2010-09-28,0.0,48,66
271,2010-09-29,0.0,45,69
272,2010-09-30,0.0,48,69
273,2010-10-01,0.0,42,66
274,2010-10-02,0.0,41,58
275,2010-10-03,0.0,39,58
276,2010-10-04,0.0,33,59
277,2010-10-05,0.0,34,65
278,2010-10-06,0.0,39,67
279,2010-10-07,0.0,43,66
280,2010-10-08,0.0,44,71
281,2010-10-09,0.0,53,77
282,2010-10-10,0.0,50,72
