field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,33,40
1,2010-01-02,0.2,17,34
2,2010-01-03,T,17,22
3,2010-01-04,0.0,19,30
4,2010-01-05,T,20,30
5,2010-01-06,T,26,34
6,2010-01-07,0.0,30,37
7,2010-01-08,0.6,23,33
8,2010-01-09,0.0,18,30
9,2010-01-10,0.0,14,28
10,2010-01-11,0.0,21,31
11,2010-01-12,0.0,24,35
12,2010-01-13,0.0,24,35
13,2010-01-14,0.0,30,42
14,2010-01-15,0.0,35,50
15,2010-01-16,0.0,38,49
16,2010-01-17,T,35,46
17,2010-01-18,0.0,37,50
18,2010-01-19,0.0,40,48
19,2010-01-20,0.0,34,41
20,2010-01-21,0.0,31,41
21,2010-01-22,0.0,32,44
22,2010-01-23,0.0,28,40
23,2010-01-24,0.0,32,50
24,2010-01-25,0.0,49,57
25,2010-01-26,0.0,35,49
26,2010-01-27,0.0,31,39
27,2010-01-28,1.3,20,42
28,2010-01-29,0.0,16,23
29,2010-01-30,0.0,13,20
30,2010-01-31,0.0,14,30
31,2010-02-01,0.0,25,35
32,2010-02-02,0.8,27,33
33,2010-02-03,0.2,29,39
34,2010-02-04,0.0,28,37
35,2010-02-05,0.0,29,36
36,2010-02-06,T,20,33
37,2010-02-07,0.0,17,34
38,2010-02-08,0.0,23,37
39,2010-02-09,T,28,42
40,2010-02-10,10.0,30,34
41,2010-02-11,0.0,28,37
42,2010-02-12,0.0,26,37
43,2010-02-13,0.0,24,32
44,2010-02-14,0.0,28,39
45,2010-02-15,T,27,40
46,2010-02-16,5.0,29,33
47,2010-02-17,0.0,26,35
48,2010-02-18,0.0,32,40
49,2010-02-19,0.0,35,43
50,2010-02-20,0.0,35,44
51,2010-02-21,0.0,33,46
52,2010-02-22,T,29,45
53,2010-02-23,T,35,38
54,2010-02-24,0.0,36,42
55,2010-02-25,9.4,27,38
56,2010-02-26,11.5,26,33
57,2010-02-27,T,29,38
58,2010-02-28,T,33,40
59,2010-03-01,0.0,36,48
60,2010-03-02,0.0,36,47
61,2010-03-03,T,34,41
62,2010-03-04,0.0,35,47
63,2010-03-05,0.0,34,49
64,2010-03-06,0.0,32,54
65,2010-03-07,0.0,37,57
66,2010-03-08,0.0,41,61
67,2010-03-09,0.0,44,61
68,2010-03-10,0.0,44,57
69,2010-03-11,0.0,42,53
70,2010-03-12,0.0,39,43
71,2010-03-13,0.0,38,46
72,2010-03-14,0.0,43,50
73,2010-03-15,0.0,41,46
74,2010-03-16,0.0,41,63
75,2010-03-17,0.0,43,66
76,2010-03-18,0.0,50,69
77,2010-03-19,0.0,49,72
78,2010-03-20,0.0,54,74
79,2010-03-21,0.0,51,64
80,2010-03-22,0.0,50,57
81,2010-03-23,0.0,45,53
82,2010-03-24,0.0,43,60
83,2010-03-25,0.0,48,62
84,2010-03-26,0.0,34,52
85,2010-03-27,0.0,29,44
86,2010-03-28,0.0,36,49
87,2010-03-29,0.0,48,53
88,2010-03-30,0.0,41,50
89,2010-03-31,0.0,45,57
90,2010-04-01,0.0,48,70
91,2010-04-02,0.0,48,68
92,2010-04-03,0.0,47,67
93,2010-04-04,0.0,47,76
94,2010-04-05,0.0,56,75
95,2010-04-06,0.0,58,78
96,2010-04-07,0.0,56,92
97,2010-04-08,0.0,64,80
98,2010-04-09,0.0,44,68
99,2010-04-10,0.0,42,62
100,2010-04-11,0.0,52,76
101,2010-04-12,0.0,52,67
102,2010-04-13,0.0,47,56
103,2010-04-14,0.0,45,67
104,2010-04-15,0.0,50,73
105,2010-04-16,0.0,46,57
106,2010-04-17,0.0,46,54
107,2010-04-18,0.0,42,57
108,2010-04-19,0.0,46,63
109,2010-04-20,0.0,47,70
110,2010-04-21,0.0,53,69
111,2010-04-22,0.0,51,72
112,2010-04-23,0.0,44,68
113,2010-04-24,0.0,46,68
114,2010-04-25,0.0,46,52
115,2010-04-26,0.0,48,53
116,2010-04-27,0.0,41,58
117,2010-04-28,0.0,40,56
118,2010-04-29,0.0,45,69
119,2010-04-30,0.0,56,78
120,2010-05-01,0.0,64,85
121,2010-05-02,0.0,66,88
122,2010-05-03,0.0,67,80
123,2010-05-04,0.0,62,81
124,2010-05-05,0.0,58,80
125,2010-05-06,0.0,59,78
126,2010-05-07,0.0,52,73
127,2010-05-08,0.0,49,76
128,2010-05-09,0.0,44,52
129,2010-05-10,0.0,41,61
130,2010-05-11,0.0,43,56
131,2010-05-12,0.0,44,48
132,2010-05-13,0.0,43,67
133,2010-05-14,0.0,55,80
134,2010-05-15,0.0,60,73
135,2010-05-16,0.0,54,72
136,2010-05-17,0.0,55,74
137,2010-05-18,0.0,50,62
138,2010-05-19,0.0,50,64
139,2010-05-20,0.0,55,79
140,2010-05-21,0.0,61,85
141,2010-05-22,0.0,57,74
142,2010-05-23,0.0,58,71
143,2010-05-24,0.0,60,73
144,2010-05-25,0.0,61,82
145,2010-05-26,0.0,65,92
146,2010-05-27,0.0,55,83
147,2010-05-28,0.0,56,70
148,2010-05-29,0.0,61,77
149,2010-05-30,0.0,67,84
150,2010-05-31,0.0,69,86
151,2010-06-01,0.0,66,85
152,2010-06-02,0.0,67,87
153,2010-06-03,0.0,67,87
154,2010-06-04,0.0,72,88
155,2010-06-05,0.0,76,88
156,2010-06-06,0.0,61,89
157,2010-06-07,0.0,57,75
158,2010-06-08,0.0,58,75
159,2010-06-09,0.0,57,68
160,2010-06-10,0.0,58,74
161,2010-06-11,0.0,58,71
162,2010-06-12,0.0,61,79
163,2010-06-13,0.0,65,78
164,2010-06-14,0.0,64,79
165,2010-06-15,0.0,64,81
166,2010-06-16,0.0,64,75
167,2010-06-17,0.0,65,74
168,2010-06-18,0.0,60,86
169,2010-06-19,0.0,64,81
170,2010-06-20,0.0,71,89
171,2010-06-21,0.0,71,87
172,2010-06-22,0.0,71,87
173,2010-06-23,0.0,71,89
174,2010-06-24,0.0,76,92
175,2010-06-25,0.0,71,87
176,2010-06-26,0.0,71,89
177,2010-06-27,0.0,71,91
178,2010-06-28,0.0,76,93
179,2010-06-29,0.0,70,91
180,2010-06-30,0.0,62,79
181,2010-07-01,0.0,62,77
182,2010-07-02,0.0,61,82
183,2010-07-03,0.0,65,89
184,2010-07-04,0.0,73,96
185,2010-07-05,0.0,76,99
186,2010-07-06,0.0,81,103
187,2010-07-07,0.0,80,100
188,2010-07-08,0.0,77,89
189,2010-07-09,0.0,75,90
190,2010-07-10,0.0,73,83
191,2010-07-11,0.0,71,94
192,2010-07-12,0.0,73,94
193,2010-07-13,0.0,73,83
194,2010-07-14,0.0,73,79
195,2010-07-15,0.0,72,87
196,2010-07-16,0.0,74,93
197,2010-07-17,0.0,76,94
198,2010-07-18,0.0,78,94
199,2010-07-19,0.0,72,92
200,2010-07-20,0.0,74,89
201,2010-07-21,0.0,76,93
202,2010-07-22,0.0,74,90
203,2010-07-23,0.0,73,87
204,2010-07-24,0.0,80,97
205,2010-07-25,0.0,70,93
206,2010-07-26,0.0,68,87
207,2010-07-27,0.0,70,91
208,2010-07-28,0.0,74,89
209,2010-07-29,0.0,74,89
210,2010-07-30,0.0,66,85
211,2010-07-31,0.0,66,85
212,2010-08-01,0.0,70,80
213,2010-08-02,0.0,69,85
214,2010-08-03,0.0,72,86
215,2010-08-04,0.0,75,91
216,2010-08-05,0.0,77,95
217,2010-08-06,0.0,70,90
218,2010-08-07,0.0,68,87
219,2010-08-08,0.0,73,89
220,2010-08-09,0.0,74,94
221,2010-08-10,0.0,78,92
222,2010-08-11,0.0,76,93
223,2010-08-12,0.0,68,76
224,2010-08-13,0.0,68,82
225,2010-08-14,0.0,65,82
226,2010-08-15,0.0,67,77
227,2010-08-16,0.0,69,86
228,2010-08-17,0.0,74,91
229,2010-08-18,0.0,72,86
230,2010-08-19,0.0,68,91
231,2010-08-20,0.0,73,90
232,2010-08-21,0.0,66,85
233,2010-08-22,0.0,69,80
234,2010-08-23,0.0,65,70
235,2010-08-24,0.0,64,70
236,2010-08-25,0.0,64,69
237,2010-08-26,0.0,65,82
238,2010-08-27,0.0,61,79
239,2010-08-28,0.0,62,83
240,2010-08-29,0.0,67,94
241,2010-08-30,0.0,72,92
242,2010-08-31,0.0,76,96
243,2010-09-01,0.0,76,96
244,2010-09-02,0.0,78,94
245,2010-09-03,0.0,75,85
246,2010-09-04,0.0,64,81
247,2010-09-05,0.0,61,78
248,2010-09-06,0.0,60,80
249,2010-09-07,0.0,68,89
250,2010-09-08,0.0,66,90
251,2010-09-09,0.0,61,70
252,2010-09-10,0.0,61,74
253,2010-09-11,0.0,59,79
254,2010-09-12,0.0,59,67
255,2010-09-13,0.0,59,77
256,2010-09-14,0.0,60,76
257,2010-09-15,0.0,57,72
258,2010-09-16,0.0,57,72
259,2010-09-17,0.0,59,71
260,2010-09-18,0.0,58,70
261,2010-09-19,0.0,61,81
262,2010-09-20,0.0,59,74
263,2010-09-21,0.0,54,74
264,2010-09-22,0.0,64,87
265,2010-09-23,0.0,66,81
266,2010-09-24,0.0,67,85
267,2010-09-25,0.0,67,89
268,2010-09-26,0.0,63,72
269,2010-09-27,0.0,61,72
270,2010-09-28,0.0,70,73
271,2010-09-29,0.0,63,78
272,2010-09-30,0.0,69,75
273,2010-10-01,0.0,59,74
274,2010-10-02,0.0,52,66
275,2010-10-03,0.0,50,64
276,2010-10-04,0.0,52,55
277,2010-10-05,0.0,53,61
278,2010-10-06,0.0,54,64
279,2010-10-07,0.0,53,71
280,2010-10-08,0.0,54,73
281,2010-10-09,0.0,54,72
282,2010-10-10,0.0,46,69
283,2010-10-11,0.0,57,75
284,2010-10-12,0.0,54,69
285,2010-10-13,0.0,48,64
286,2010-10-14,0.0,50,63
287,2010-10-15,0.0,49,57
288,2010-10-16,0.0,50,58
289,2010-10-17,0.0,48,69
290,2010-10-18,0.0,50,60
291,2010-10-19,0.0,47,59
292,2010-10-20,0.0,47,59
293,2010-10-21,0.0,49,62
294,2010-10-22,0.0,46,53
295,2010-10-23,0.0,44,64
296,2010-10-24,0.0,53,68
297,2010-10-25,0.0,54,74
298,2010-10-26,0.0,63,72
299,2010-10-27,0.0,65,75
300,2010-10-28,0.0,56,74
301,2010-10-29,0.0,47,57
302,2010-10-30,0.0,42,57
303,2010-10-31,0.0,42,58
304,2010-11-01,0.0,37,49
305,2010-11-02,0.0,36,50
306,2010-11-03,0.0,41,54
