field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.4,20,34
1,2010-01-02,0.7,8,20
2,2010-01-03,T,6,18
3,2010-01-04,1.5,16,23
4,2010-01-05,2.0,19,24
5,2010-01-06,0.6,22,26
6,2010-01-07,2.6,21,24
7,2010-01-08,2.7,11,23
8,2010-01-09,0.4,7,23
9,2010-01-10,0.5,2,20
10,2010-01-11,0.9,8,22
11,2010-01-12,0.3,10,26
12,2010-01-13,T,17,31
13,2010-01-14,0.0,21,42
14,2010-01-15,0.0,37,43
15,2010-01-16,0.0,33,50
16,2010-01-17,0.0,32,40
17,2010-01-18,0.0,35,40
18,2010-01-19,0.0,31,35
19,2010-01-20,0.0,25,34
20,2010-01-21,0.0,24,42
21,2010-01-22,0.0,34,39
22,2010-01-23,0.0,33,50
23,2010-01-24,0.0,39,50
24,2010-01-25,1.6,30,51
25,2010-01-26,0.9,24,31
26,2010-01-27,T,22,32
27,2010-01-28,2.3,9,32
28,2010-01-29,T,4,16
29,2010-01-30,0.0,10,21
30,2010-01-31,0.0,3,28
31,2010-02-01,0.0,12,31
32,2010-02-02,T,18,36
33,2010-02-03,0.6,30,36
34,2010-02-04,T,27,36
35,2010-02-05,11.4,30,36
36,2010-02-06,9.7,10,30
37,2010-02-07,T,-1,24
38,2010-02-08,0.0,2,29
39,2010-02-09,2.7,10,33
40,2010-02-10,5.2,12,33
41,2010-02-11,0.5,23,26
42,2010-02-12,1.2,21,29
43,2010-02-13,1.8,19,27
44,2010-02-14,0.2,14,27
45,2010-02-15,2.4,4,29
46,2010-02-16,2.9,20,27
47,2010-02-17,1.4,23,29
48,2010-02-18,T,29,35
49,2010-02-19,T,25,37
50,2010-02-20,0.0,19,40
51,2010-02-21,0.0,27,41
52,2010-02-22,0.0,36,44
53,2010-02-23,T,31,38
54,2010-02-24,T,22,37
55,2010-02-25,1.1,21,31
56,2010-02-26,5.4,22,28
57,2010-02-27,1.8,24,34
58,2010-02-28,0.4,28,35
59,2010-03-01,T,31,38
60,2010-03-02,T,28,34
61,2010-03-03,T,27,38
62,2010-03-04,0.0,18,39
63,2010-03-05,0.0,20,40
64,2010-03-06,0.0,18,41
65,2010-03-07,0.0,21,47
66,2010-03-08,0.0,23,51
67,2010-03-09,0.0,25,57
68,2010-03-10,0.0,39,65
69,2010-03-11,0.0,36,67
70,2010-03-12,0.0,50,61
71,2010-03-13,0.0,40,50
72,2010-03-14,0.0,39,46
73,2010-03-15,0.0,38,43
74,2010-03-16,0.0,35,60
75,2010-03-17,0.0,32,63
76,2010-03-18,0.0,31,65
77,2010-03-19,0.0,40,66
78,2010-03-20,0.0,41,68
79,2010-03-21,0.0,41,72
80,2010-03-22,0.0,45,70
81,2010-03-23,0.0,38,45
82,2010-03-24,0.0,35,60
83,2010-03-25,0.1,34,62
84,2010-03-26,0.4,29,43
85,2010-03-27,0.0,26,55
86,2010-03-28,0.0,40,48
87,2010-03-29,0.0,40,51
88,2010-03-30,0.0,31,54
89,2010-03-31,0.0,30,66
90,2010-04-01,0.0,45,81
91,2010-04-02,0.0,51,85
92,2010-04-03,0.0,52,84
93,2010-04-04,0.0,41,70
94,2010-04-05,0.0,52,78
95,2010-04-06,0.0,59,85
96,2010-04-07,0.0,61,80
97,2010-04-08,0.0,41,72
98,2010-04-09,T,38,43
99,2010-04-10,0.0,30,62
100,2010-04-11,0.0,48,70
101,2010-04-12,0.0,39,65
102,2010-04-13,0.0,43,55
103,2010-04-14,0.0,37,64
104,2010-04-15,0.0,39,80
105,2010-04-16,0.0,50,80
106,2010-04-17,0.0,39,51
107,2010-04-18,0.0,36,47
108,2010-04-19,0.0,32,61
109,2010-04-20,0.0,35,64
110,2010-04-21,0.0,39,67
111,2010-04-22,0.0,42,68
112,2010-04-23,0.0,42,67
113,2010-04-24,0.0,50,65
114,2010-04-25,0.0,53,76
115,2010-04-26,0.0,48,59
116,2010-04-27,0.0,38,53
117,2010-04-28,0.0,32,53
118,2010-04-29,0.0,34,65
119,2010-04-30,0.0,43,81
120,2010-05-01,0.0,59,83
121,2010-05-02,0.0,63,71
122,2010-05-03,0.0,59,76
123,2010-05-04,0.0,52,73
124,2010-05-05,0.0,47,80
125,2010-05-06,0.0,52,72
126,2010-05-07,0.0,42,83
127,2010-05-08,0.0,41,79
128,2010-05-09,0.0,35,53
129,2010-05-10,0.0,31,59
130,2010-05-11,0.0,42,60
131,2010-05-12,0.0,50,59
132,2010-05-13,0.0,45,77
133,2010-05-14,0.0,58,81
134,2010-05-15,0.0,50,71
