field1,field2,field3,field4,field5
,0,1.0,2,3
0,2010-01-01,0.0,40,53
1,2010-01-02,0.0,41,53
2,2010-01-03,0.0,40,46
3,2010-01-04,0.0,41,45
4,2010-01-05,0.0,42,47
5,2010-01-06,0.0,41,46
6,2010-01-07,0.0,39,44
7,2010-01-08,0.0,37,42
8,2010-01-09,0.0,37,44
9,2010-01-10,0.0,35,46
10,2010-01-11,0.0,40,46
11,2010-01-12,0.0,40,47
12,2010-01-13,0.0,42,51
13,2010-01-14,0.0,40,52
14,2010-01-15,0.0,45,54
15,2010-01-16,0.0,45,49
16,2010-01-17,0.0,46,55
17,2010-01-18,0.0,40,57
18,2010-01-19,0.0,44,58
19,2010-01-20,0.0,40,51
20,2010-01-21,0.0,39,56
21,2010-01-22,0.0,40,48
22,2010-01-23,0.0,38,51
23,2010-01-24,0.0,39,45
24,2010-01-25,0.0,38,47
25,2010-01-26,0.0,38,51
26,2010-01-27,0.0,38,52
27,2010-01-28,0.0,45,55
28,2010-01-29,0.0,44,50
29,2010-01-30,0.0,41,46
30,2010-01-31,0.0,39,52
31,2010-02-01,0.0,36,45
32,2010-02-02,0.0,39,53
33,2010-02-03,0.0,41,48
34,2010-02-04,0.0,43,51
35,2010-02-05,0.0,43,55
36,2010-02-06,0.0,41,53
37,2010-02-07,0.0,38,54
38,2010-02-08,0.0,32,51
39,2010-02-09,0.0,35,56
40,2010-02-10,0.0,35,43
41,2010-02-11,0.0,42,52
42,2010-02-12,0.0,41,56
43,2010-02-13,0.0,45,52
44,2010-02-14,0.0,44,56
45,2010-02-15,0.0,41,55
46,2010-02-16,0.0,41,59
47,2010-02-17,0.0,37,59
48,2010-02-18,0.0,42,60
49,2010-02-19,0.0,36,59
50,2010-02-20,0.0,31,58
51,2010-02-21,0.0,30,56
52,2010-02-22,0.0,27,55
53,2010-02-23,0.0,36,47
54,2010-02-24,0.0,41,56
55,2010-02-25,0.0,42,56
56,2010-02-26,0.0,47,54
57,2010-02-27,0.0,44,58
58,2010-02-28,0.0,42,59
59,2010-03-01,0.0,41,59
60,2010-03-02,0.0,41,54
61,2010-03-03,0.0,40,54
62,2010-03-04,0.0,37,55
63,2010-03-05,0.0,39,58
64,2010-03-06,0.0,36,66
65,2010-03-07,0.0,38,56
66,2010-03-08,0.0,37,51
67,2010-03-09,0.0,34,49
68,2010-03-10,0.0,38,50
69,2010-03-11,0.0,41,51
70,2010-03-12,0.0,39,50
71,2010-03-13,0.0,38,51
72,2010-03-14,0.0,33,58
