field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,0,9
1,2010-01-02,0.0,0,31
2,2010-01-03,T,12,32
3,2010-01-04,T,12,17
4,2010-01-05,0.2,10,18
5,2010-01-06,2.5,-5,13
6,2010-01-07,T,-11,0
7,2010-01-08,0.0,-14,14
8,2010-01-09,0.0,-4,44
9,2010-01-10,0.0,35,49
10,2010-01-11,0.0,28,44
11,2010-01-12,0.0,32,57
12,2010-01-13,0.0,36,55
13,2010-01-14,T,32,46
14,2010-01-15,0.0,35,48
15,2010-01-16,0.0,35,58
16,2010-01-17,0.0,25,42
17,2010-01-18,0.0,19,43
18,2010-01-19,0.0,27,44
19,2010-01-20,0.0,23,40
20,2010-01-21,0.0,16,40
21,2010-01-22,T,27,34
22,2010-01-23,T,22,32
23,2010-01-24,T,17,24
24,2010-01-25,T,9,25
25,2010-01-26,0.6,7,29
26,2010-01-27,0.5,12,25
27,2010-01-28,0.0,8,24
28,2010-01-29,0.0,12,38
29,2010-01-30,0.0,13,26
30,2010-01-31,T,12,22
31,2010-02-01,1.1,6,19
32,2010-02-02,0.0,12,34
33,2010-02-03,0.0,19,42
34,2010-02-04,3.3,13,23
35,2010-02-05,0.3,13,23
36,2010-02-06,0.3,17,30
37,2010-02-07,0.7,2,26
38,2010-02-08,0.0,-6,10
39,2010-02-09,0.0,-3,15
40,2010-02-10,0.0,0,32
41,2010-02-11,0.0,19,38
42,2010-02-12,T,15,37
43,2010-02-13,0.5,8,32
44,2010-02-14,0.0,7,19
45,2010-02-15,0.0,7,26
46,2010-02-16,0.0,10,33
47,2010-02-17,T,20,37
48,2010-02-18,0.4,19,27
49,2010-02-19,0.8,16,34
50,2010-02-20,T,16,27
51,2010-02-21,T,10,21
52,2010-02-22,T,10,33
53,2010-02-23,0.1,11,26
54,2010-02-24,0.0,9,38
55,2010-02-25,0.0,21,44
56,2010-02-26,0.0,29,45
57,2010-02-27,0.0,25,44
58,2010-02-28,0.0,22,27
59,2010-03-01,0.0,23,40
60,2010-03-02,0.0,23,47
61,2010-03-03,0.0,20,48
62,2010-03-04,0.0,23,55
63,2010-03-05,T,23,30
64,2010-03-06,0.7,28,31
65,2010-03-07,0.0,27,48
66,2010-03-08,0.0,30,46
67,2010-03-09,1.2,25,41
