field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.0,22,48
1,2010-01-02,0.0,21,46
2,2010-01-03,0.0,18,43
3,2010-01-04,0.0,18,44
4,2010-01-05,0.0,24,46
5,2010-01-06,0.0,23,48
6,2010-01-07,0.0,35,45
7,2010-01-08,0.0,33,48
8,2010-01-09,0.0,28,44
9,2010-01-10,0.0,34,41
10,2010-01-11,0.0,34,45
11,2010-01-12,0.0,34,55
12,2010-01-13,0.0,33,50
13,2010-01-14,0.0,26,49
14,2010-01-15,0.0,29,48
15,2010-01-16,0.0,26,50
16,2010-01-17,0.0,32,55
17,2010-01-18,T,31,43
18,2010-01-19,0.0,34,48
19,2010-01-20,0.5,31,44
20,2010-01-21,1.3,29,35
21,2010-01-22,T,20,40
22,2010-01-23,0.0,19,44
23,2010-01-24,T,22,35
24,2010-01-25,T,30,43
25,2010-01-26,0.0,34,47
26,2010-01-27,0.0,35,44
27,2010-01-28,0.0,28,47
28,2010-01-29,0.0,32,44
29,2010-01-30,T,29,48
30,2010-01-31,0.0,23,50
31,2010-02-01,0.0,32,49
32,2010-02-02,0.0,30,48
33,2010-02-03,0.0,30,51
34,2010-02-04,0.0,32,50
35,2010-02-05,0.0,38,57
36,2010-02-06,0.0,33,44
37,2010-02-07,0.0,35,44
38,2010-02-08,T,36,45
39,2010-02-09,T,33,42
40,2010-02-10,0.0,29,49
41,2010-02-11,0.0,36,53
42,2010-02-12,0.0,31,57
43,2010-02-13,0.0,29,59
44,2010-02-14,0.0,29,57
45,2010-02-15,0.0,34,62
46,2010-02-16,0.0,35,61
47,2010-02-17,0.0,32,61
48,2010-02-18,0.0,30,59
49,2010-02-19,0.0,30,54
50,2010-02-20,4.2,31,48
51,2010-02-21,10.9,20,32
52,2010-02-22,0.0,20,34
53,2010-02-23,0.0,20,38
54,2010-02-24,0.0,34,50
55,2010-02-25,0.0,27,53
56,2010-02-26,0.0,35,62
57,2010-02-27,1.0,33,49
58,2010-02-28,0.0,29,54
59,2010-03-01,0.0,34,57
60,2010-03-02,0.0,39,52
61,2010-03-03,0.0,32,49
62,2010-03-04,0.0,28,46
63,2010-03-05,0.0,28,51
64,2010-03-06,0.0,40,52
65,2010-03-07,0.0,30,58
66,2010-03-08,0.0,31,52
67,2010-03-09,T,27,47
68,2010-03-10,T,28,43
69,2010-03-11,0.0,25,60
70,2010-03-12,0.0,33,56
71,2010-03-13,T,25,43
72,2010-03-14,0.0,24,53
73,2010-03-15,0.0,26,63
74,2010-03-16,0.0,32,71
75,2010-03-17,0.0,37,69
76,2010-03-18,0.0,37,62
77,2010-03-19,0.0,31,67
78,2010-03-20,0.0,34,65
79,2010-03-21,0.0,40,66
80,2010-03-22,0.0,38,61
81,2010-03-23,0.0,34,62
82,2010-03-24,0.0,35,70
83,2010-03-25,T,36,50
84,2010-03-26,0.0,34,56
85,2010-03-27,0.0,35,62
86,2010-03-28,0.0,41,69
87,2010-03-29,0.0,48,67
88,2010-03-30,T,36,48
89,2010-03-31,T,31,47
90,2010-04-01,T,30,47
91,2010-04-02,0.0,30,54
92,2010-04-03,0.0,33,50
93,2010-04-04,0.4,29,51
