field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,1.7,20,34
1,2010-01-02,2.6,9,20
2,2010-01-03,3.9,9,13
3,2010-01-04,2.5,12,18
4,2010-01-05,2.7,15,22
5,2010-01-06,1.3,18,24
6,2010-01-07,0.1,24,28
7,2010-01-08,6.2,15,27
8,2010-01-09,1.4,1,16
9,2010-01-10,0.0,-4,25
10,2010-01-11,0.8,20,25
11,2010-01-12,0.4,17,24
12,2010-01-13,0.0,17,30
13,2010-01-14,0.0,21,43
14,2010-01-15,T,34,42
15,2010-01-16,0.0,32,40
16,2010-01-17,0.0,31,41
17,2010-01-18,0.0,31,37
18,2010-01-19,0.3,29,34
19,2010-01-20,T,24,33
20,2010-01-21,0.0,18,36
21,2010-01-22,0.0,23,39
22,2010-01-23,0.0,17,40
23,2010-01-24,0.0,33,50
24,2010-01-25,0.0,32,56
25,2010-01-26,0.3,29,33
26,2010-01-27,0.7,24,30
27,2010-01-28,6.7,11,29
28,2010-01-29,2.0,3,15
29,2010-01-30,T,-3,12
30,2010-01-31,0.2,-3,24
31,2010-02-01,0.2,16,26
32,2010-02-02,0.3,14,28
33,2010-02-03,2.5,22,30
34,2010-02-04,T,9,30
35,2010-02-05,T,19,30
36,2010-02-06,1.0,4,22
37,2010-02-07,T,3,23
38,2010-02-08,0.3,14,29
39,2010-02-09,0.1,19,27
40,2010-02-10,0.3,22,31
41,2010-02-11,T,15,28
42,2010-02-12,0.5,19,30
43,2010-02-13,0.8,15,26
44,2010-02-14,0.1,25,30
45,2010-02-15,T,25,33
46,2010-02-16,0.5,22,30
47,2010-02-17,3.0,26,31
48,2010-02-18,0.8,29,32
49,2010-02-19,T,30,35
50,2010-02-20,T,28,35
51,2010-02-21,0.0,20,34
52,2010-02-22,1.6,14,34
53,2010-02-23,0.2,31,37
54,2010-02-24,0.2,30,33
55,2010-02-25,3.2,22,30
56,2010-02-26,11.8,22,30
57,2010-02-27,2.6,28,35
58,2010-02-28,0.4,31,36
59,2010-03-01,T,33,37
60,2010-03-02,T,31,38
61,2010-03-03,0.0,29,37
62,2010-03-04,0.0,28,37
63,2010-03-05,0.0,24,36
64,2010-03-06,0.0,20,41
65,2010-03-07,0.0,30,46
66,2010-03-08,0.0,32,49
67,2010-03-09,0.0,27,52
68,2010-03-10,0.0,27,54
69,2010-03-11,0.0,41,61
70,2010-03-12,0.0,45,51
71,2010-03-13,0.0,36,47
72,2010-03-14,0.0,35,41
73,2010-03-15,0.0,36,45
74,2010-03-16,0.0,27,57
75,2010-03-17,0.0,29,62
76,2010-03-18,0.0,35,64
77,2010-03-19,0.0,39,65
78,2010-03-20,0.0,36,51
79,2010-03-21,0.0,34,44
80,2010-03-22,0.0,35,39
81,2010-03-23,T,34,39
82,2010-03-24,0.0,32,54
83,2010-03-25,0.0,33,52
84,2010-03-26,0.0,21,33
85,2010-03-27,0.0,20,46
86,2010-03-28,0.0,38,53
87,2010-03-29,0.0,37,46
88,2010-03-30,0.0,31,46
89,2010-03-31,0.0,34,61
90,2010-04-01,0.0,37,80
91,2010-04-02,0.0,51,86
92,2010-04-03,0.0,54,87
93,2010-04-04,0.0,46,65
94,2010-04-05,0.0,48,72
95,2010-04-06,0.0,49,62
96,2010-04-07,0.0,54,73
97,2010-04-08,0.0,44,78
98,2010-04-09,T,35,44
99,2010-04-10,0.0,36,56
100,2010-04-11,0.0,45,61
101,2010-04-12,0.0,35,54
102,2010-04-13,0.0,39,57
103,2010-04-14,0.0,32,63
104,2010-04-15,0.0,42,69
105,2010-04-16,0.0,46,71
106,2010-04-17,0.0,37,46
107,2010-04-18,0.0,36,56
108,2010-04-19,0.0,37,61
109,2010-04-20,0.0,35,65
110,2010-04-21,0.0,39,67
111,2010-04-22,0.0,36,52
112,2010-04-23,0.0,33,57
113,2010-04-24,0.0,35,68
114,2010-04-25,0.0,48,55
115,2010-04-26,0.0,46,56
116,2010-04-27,0.2,33,49
117,2010-04-28,0.0,39,55
118,2010-04-29,0.0,38,65
119,2010-04-30,0.0,49,77
120,2010-05-01,0.0,58,82
121,2010-05-02,0.0,58,82
122,2010-05-03,0.0,57,75
123,2010-05-04,0.0,51,68
124,2010-05-05,0.0,46,83
125,2010-05-06,0.0,42,63
126,2010-05-07,0.0,39,58
127,2010-05-08,T,33,57
128,2010-05-09,0.4,33,46
129,2010-05-10,0.0,32,55
130,2010-05-11,0.0,33,53
131,2010-05-12,0.0,38,52
132,2010-05-13,0.0,34,58
133,2010-05-14,0.0,51,73
134,2010-05-15,0.0,49,57
135,2010-05-16,0.0,47,67
136,2010-05-17,0.0,42,70
137,2010-05-18,0.0,51,61
138,2010-05-19,0.0,50,73
139,2010-05-20,0.0,49,80
140,2010-05-21,0.0,52,78
141,2010-05-22,0.0,62,80
142,2010-05-23,0.0,62,79
143,2010-05-24,0.0,59,82
144,2010-05-25,0.0,59,84
145,2010-05-26,0.0,60,88
146,2010-05-27,0.0,61,87
147,2010-05-28,0.0,58,78
148,2010-05-29,0.0,53,77
149,2010-05-30,0.0,54,84
150,2010-05-31,0.0,57,88
151,2010-06-01,0.0,58,79
152,2010-06-02,0.0,54,85
153,2010-06-03,0.0,62,76
154,2010-06-04,0.0,60,76
155,2010-06-05,0.0,63,81
156,2010-06-06,0.0,52,65
157,2010-06-07,0.0,49,68
158,2010-06-08,0.0,47,67
159,2010-06-09,0.0,52,61
160,2010-06-10,0.0,52,69
161,2010-06-11,0.0,52,76
162,2010-06-12,0.0,61,80
163,2010-06-13,0.0,60,71
164,2010-06-14,0.0,59,77
165,2010-06-15,0.0,53,75
166,2010-06-16,0.0,59,80
167,2010-06-17,0.0,57,74
168,2010-06-18,0.0,54,82
169,2010-06-19,0.0,62,87
170,2010-06-20,0.0,65,81
171,2010-06-21,0.0,62,78
172,2010-06-22,0.0,63,78
173,2010-06-23,0.0,65,85
174,2010-06-24,0.0,64,80
175,2010-06-25,0.0,61,77
176,2010-06-26,0.0,58,71
177,2010-06-27,0.0,61,81
178,2010-06-28,0.0,65,81
179,2010-06-29,0.0,50,70
180,2010-06-30,0.0,48,68
181,2010-07-01,0.0,50,71
182,2010-07-02,0.0,49,76
183,2010-07-03,0.0,54,86
184,2010-07-04,0.0,61,87
185,2010-07-05,0.0,66,92
186,2010-07-06,0.0,71,92
187,2010-07-07,0.0,67,94
188,2010-07-08,0.0,72,93
189,2010-07-09,0.0,69,85
190,2010-07-10,0.0,63,81
191,2010-07-11,0.0,59,84
192,2010-07-12,0.0,65,87
193,2010-07-13,0.0,69,82
194,2010-07-14,0.0,68,81
195,2010-07-15,0.0,64,86
196,2010-07-16,0.0,69,85
197,2010-07-17,0.0,67,89
198,2010-07-18,0.0,66,83
199,2010-07-19,0.0,66,82
200,2010-07-20,0.0,65,83
201,2010-07-21,0.0,65,83
202,2010-07-22,0.0,61,82
203,2010-07-23,0.0,65,84
204,2010-07-24,0.0,70,85
205,2010-07-25,0.0,65,78
206,2010-07-26,0.0,59,82
207,2010-07-27,0.0,62,84
208,2010-07-28,0.0,63,88
209,2010-07-29,0.0,62,75
210,2010-07-30,0.0,57,74
211,2010-07-31,0.0,58,80
212,2010-08-01,0.0,65,81
213,2010-08-02,0.0,66,83
214,2010-08-03,0.0,70,88
215,2010-08-04,0.0,69,88
216,2010-08-05,0.0,69,85
217,2010-08-06,0.0,61,74
218,2010-08-07,0.0,51,74
219,2010-08-08,0.0,58,82
220,2010-08-09,0.0,66,83
221,2010-08-10,0.0,68,85
222,2010-08-11,0.0,68,86
