,0,1,2,3
0,2010-01-01,0.0,-7,20
1,2010-01-02,T,-12,-0
2,2010-01-03,0.2,-3,14
3,2010-01-04,0.1,11,15
4,2010-01-05,0.8,13,18
5,2010-01-06,0.0,12,21
6,2010-01-07,0.0,9,27
7,2010-01-08,0.0,3,17
8,2010-01-09,T,-5,19
9,2010-01-10,0.0,10,29
10,2010-01-11,1.4,12,23
11,2010-01-12,0.0,-0,21
12,2010-01-13,0.0,21,31
13,2010-01-14,0.0,29,36
14,2010-01-15,0.2,30,34
15,2010-01-16,0.0,31,36
16,2010-01-17,0.0,26,38
17,2010-01-18,0.8,26,34
18,2010-01-19,0.5,12,26
19,2010-01-20,0.0,3,21
20,2010-01-21,0.0,7,29
21,2010-01-22,0.0,17,36
22,2010-01-23,T,21,30
23,2010-01-24,T,30,39
24,2010-01-25,T,34,38
25,2010-01-26,0.9,18,34
26,2010-01-27,0.0,10,19
27,2010-01-28,3.2,1,12
28,2010-01-29,0.4,-7,8
29,2010-01-30,0.5,6,21
30,2010-01-31,2.1,13,21
31,2010-02-01,1.2,12,22
32,2010-02-02,T,9,27
33,2010-02-03,2.1,16,23
34,2010-02-04,0.0,13,32
35,2010-02-05,0.0,14,30
36,2010-02-06,0.0,6,27
37,2010-02-07,0.0,2,26
38,2010-02-08,0.0,6,24
39,2010-02-09,0.0,9,28
40,2010-02-10,0.8,13,22
41,2010-02-11,0.0,8,23
42,2010-02-12,0.2,2,23
43,2010-02-13,0.2,17,25
44,2010-02-14,T,14,22
45,2010-02-15,0.3,18,26
46,2010-02-16,1.0,22,30
47,2010-02-17,0.2,23,33
48,2010-02-18,T,24,33
49,2010-02-19,0.0,21,31
50,2010-02-20,0.0,17,37
51,2010-02-21,0.0,17,36
52,2010-02-22,0.3,23,29
53,2010-02-23,0.2,16,32
54,2010-02-24,T,11,28
55,2010-02-25,T,7,23
56,2010-02-26,0.7,17,33
57,2010-02-27,0.0,25,39
58,2010-02-28,T,29,36
59,2010-03-01,0.0,19,31
60,2010-03-02,0.0,14,36
61,2010-03-03,0.0,19,38
62,2010-03-04,0.0,20,34
63,2010-03-05,0.0,16,41
64,2010-03-06,0.0,19,45
65,2010-03-07,0.0,27,46
66,2010-03-08,0.0,28,49
67,2010-03-09,0.0,27,55
68,2010-03-10,0.0,34,49
69,2010-03-11,0.0,41,50
70,2010-03-12,0.0,42,47
71,2010-03-13,0.0,44,62
72,2010-03-14,0.0,44,61
73,2010-03-15,0.0,36,63
74,2010-03-16,0.0,30,62
75,2010-03-17,0.0,32,58
76,2010-03-18,0.0,31,53
77,2010-03-19,0.0,30,44
78,2010-03-20,0.0,21,31
79,2010-03-21,0.0,18,46
80,2010-03-22,0.0,25,50
81,2010-03-23,0.0,32,53
82,2010-03-24,0.0,30,49
83,2010-03-25,T,18,39
84,2010-03-26,0.0,12,31
85,2010-03-27,0.0,25,47
86,2010-03-28,0.0,32,40
87,2010-03-29,0.0,27,48
88,2010-03-30,0.0,28,53
89,2010-03-31,0.0,37,62
90,2010-04-01,0.0,41,65
91,2010-04-02,0.0,50,77
92,2010-04-03,0.0,37,69
93,2010-04-04,0.0,34,66
94,2010-04-05,0.0,38,57
95,2010-04-06,0.0,43,55
96,2010-04-07,0.0,41,55
97,2010-04-08,7.2,28,41
98,2010-04-09,T,27,36
99,2010-04-10,0.0,24,45
100,2010-04-11,0.0,31,53
101,2010-04-12,0.0,31,51
102,2010-04-13,0.0,39,57
103,2010-04-14,0.0,33,60
104,2010-04-15,0.0,45,75
105,2010-04-16,0.1,35,56
106,2010-04-17,0.4,33,42
107,2010-04-18,0.0,34,53
108,2010-04-19,0.0,30,57
109,2010-04-20,0.0,32,67
110,2010-04-21,0.0,30,49
111,2010-04-22,0.0,29,53
112,2010-04-23,0.0,32,64
113,2010-04-24,0.0,38,63
114,2010-04-25,0.0,47,66
115,2010-04-26,0.0,38,62
116,2010-04-27,0.0,33,49
117,2010-04-28,0.0,32,55
118,2010-04-29,0.0,30,63
119,2010-04-30,0.0,49,65
120,2010-05-01,0.0,52,74
121,2010-05-02,0.0,50,66
122,2010-05-03,0.0,45,67
123,2010-05-04,0.0,44,60
124,2010-05-05,0.0,42,65
125,2010-05-06,0.0,35,46
126,2010-05-07,0.0,32,48
127,2010-05-08,0.4,33,41
128,2010-05-09,0.0,31,44
129,2010-05-10,0.0,31,58
130,2010-05-11,0.0,36,56
131,2010-05-12,0.0,45,63
132,2010-05-13,0.0,42,54
133,2010-05-14,0.0,43,55
134,2010-05-15,0.0,41,58
135,2010-05-16,0.0,35,71
136,2010-05-17,0.0,43,75
137,2010-05-18,0.0,43,78
138,2010-05-19,0.0,48,78
139,2010-05-20,0.0,47,82
140,2010-05-21,0.0,57,71
141,2010-05-22,0.0,57,73
142,2010-05-23,0.0,56,73
143,2010-05-24,0.0,60,85
144,2010-05-25,0.0,61,86
145,2010-05-26,0.0,53,86
146,2010-05-27,0.0,51,71
147,2010-05-28,0.0,49,79
148,2010-05-29,0.0,51,81
149,2010-05-30,0.0,57,86
150,2010-05-31,0.0,47,67
151,2010-06-01,0.0,44,79
152,2010-06-02,0.0,52,69
153,2010-06-03,0.0,50,70
154,2010-06-04,0.0,46,66
155,2010-06-05,0.0,54,68
156,2010-06-06,0.0,48,64
157,2010-06-07,0.0,43,61
158,2010-06-08,0.0,41,70
159,2010-06-09,0.0,50,60
160,2010-06-10,0.0,48,65
161,2010-06-11,0.0,49,71
162,2010-06-12,0.0,57,71
163,2010-06-13,0.0,57,75
164,2010-06-14,0.0,55,73
165,2010-06-15,0.0,54,70
166,2010-06-16,0.0,50,64
167,2010-06-17,0.0,48,77
168,2010-06-18,0.0,56,80
169,2010-06-19,0.0,53,78
170,2010-06-20,0.0,51,70
171,2010-06-21,0.0,49,79
172,2010-06-22,0.0,60,73
173,2010-06-23,0.0,61,75
174,2010-06-24,0.0,51,64
175,2010-06-25,0.0,52,67
176,2010-06-26,0.0,55,74
177,2010-06-27,0.0,53,64
178,2010-06-28,0.0,52,64
179,2010-06-29,0.0,49,58
180,2010-06-30,0.0,48,62
181,2010-07-01,0.0,47,72
182,2010-07-02,0.0,52,81
183,2010-07-03,0.0,56,82
184,2010-07-04,0.0,61,88
185,2010-07-05,0.0,67,81
186,2010-07-06,0.0,64,75
187,2010-07-07,0.0,62,85
188,2010-07-08,0.0,63,79
189,2010-07-09,0.0,58,78
190,2010-07-10,0.0,53,83
191,2010-07-11,0.0,59,85
192,2010-07-12,0.0,62,77
193,2010-07-13,0.0,60,81
194,2010-07-14,0.0,60,84
195,2010-07-15,0.0,58,76
196,2010-07-16,0.0,57,82
197,2010-07-17,0.0,57,71
198,2010-07-18,0.0,55,70
199,2010-07-19,0.0,59,77
200,2010-07-20,0.0,58,79
201,2010-07-21,0.0,61,78
202,2010-07-22,0.0,57,73
203,2010-07-23,0.0,63,76
204,2010-07-24,0.0,60,72
205,2010-07-25,0.0,58,77
206,2010-07-26,0.0,56,85
207,2010-07-27,0.0,61,84
208,2010-07-28,0.0,62,74
209,2010-07-29,0.0,58,74
210,2010-07-30,0.0,52,76
211,2010-07-31,0.0,61,71
212,2010-08-01,0.0,62,77
213,2010-08-02,0.0,65,74
214,2010-08-03,0.0,69,85
215,2010-08-04,0.0,67,81
