field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,7.1,16,22
1,2010-01-02,9.1,-4,20
2,2010-01-03,1.3,-10,24
3,2010-01-04,1.5,23,27
4,2010-01-05,T,24,29
5,2010-01-06,T,12,24
6,2010-01-07,4.0,13,21
7,2010-01-08,1.5,9,26
8,2010-01-09,T,8,25
9,2010-01-10,0.0,5,22
10,2010-01-11,0.6,14,30
11,2010-01-12,0.0,8,26
12,2010-01-13,0.0,18,33
13,2010-01-14,0.0,28,38
14,2010-01-15,0.0,32,36
15,2010-01-16,0.0,27,32
16,2010-01-17,0.0,24,31
17,2010-01-18,T,25,30
18,2010-01-19,0.0,28,33
19,2010-01-20,T,27,32
20,2010-01-21,0.0,26,36
21,2010-01-22,0.0,31,36
22,2010-01-23,0.0,33,42
23,2010-01-24,0.0,35,50
24,2010-01-25,0.6,22,35
25,2010-01-26,T,16,23
26,2010-01-27,1.5,11,24
27,2010-01-28,0.1,12,23
28,2010-01-29,0.1,4,20
29,2010-01-30,0.0,2,22
30,2010-01-31,0.0,6,27
31,2010-02-01,0.0,11,29
32,2010-02-02,1.9,24,32
33,2010-02-03,0.1,24,30
34,2010-02-04,0.0,16,33
35,2010-02-05,0.3,27,34
36,2010-02-06,0.0,19,28
37,2010-02-07,0.0,10,30
38,2010-02-08,0.0,13,29
39,2010-02-09,5.6,21,27
40,2010-02-10,0.9,21,29
41,2010-02-11,0.0,20,28
42,2010-02-12,0.0,11,29
43,2010-02-13,0.0,15,29
44,2010-02-14,0.0,11,28
45,2010-02-15,2.3,5,28
46,2010-02-16,2.6,26,31
47,2010-02-17,0.5,28,32
48,2010-02-18,T,18,36
49,2010-02-19,0.0,11,36
50,2010-02-20,0.2,20,35
51,2010-02-21,1.4,28,39
52,2010-02-22,1.4,30,33
53,2010-02-23,0.1,26,35
54,2010-02-24,T,20,27
55,2010-02-25,0.2,20,29
56,2010-02-26,0.9,26,30
57,2010-02-27,T,29,34
58,2010-02-28,T,31,36
59,2010-03-01,0.0,29,38
60,2010-03-02,0.0,19,38
61,2010-03-03,0.0,21,38
62,2010-03-04,0.0,17,40
63,2010-03-05,T,17,41
64,2010-03-06,0.0,17,46
65,2010-03-07,0.0,21,50
66,2010-03-08,0.0,27,54
67,2010-03-09,0.0,29,58
68,2010-03-10,0.0,47,64
69,2010-03-11,0.0,47,60
70,2010-03-12,0.0,50,57
71,2010-03-13,0.0,42,53
72,2010-03-14,0.0,39,45
73,2010-03-15,0.0,34,47
74,2010-03-16,0.0,25,62
75,2010-03-17,0.0,27,63
76,2010-03-18,0.0,29,64
77,2010-03-19,0.0,41,65
78,2010-03-20,0.0,33,41
79,2010-03-21,0.0,33,53
80,2010-03-22,0.0,40,58
81,2010-03-23,0.0,29,55
82,2010-03-24,0.0,29,56
83,2010-03-25,0.0,30,49
84,2010-03-26,0.0,21,44
85,2010-03-27,0.0,29,52
86,2010-03-28,0.0,35,48
87,2010-03-29,0.0,30,49
88,2010-03-30,0.0,28,60
89,2010-03-31,0.0,45,77
90,2010-04-01,0.0,54,82
91,2010-04-02,0.0,63,81
92,2010-04-03,0.0,45,64
93,2010-04-04,0.0,37,73
94,2010-04-05,0.0,47,71
95,2010-04-06,T,61,78
96,2010-04-07,0.0,45,70
97,2010-04-08,T,35,45
98,2010-04-09,0.0,29,50
99,2010-04-10,0.0,36,73
100,2010-04-11,0.0,44,64
101,2010-04-12,0.0,45,67
102,2010-04-13,0.0,48,63
103,2010-04-14,0.0,45,77
104,2010-04-15,0.0,53,83
105,2010-04-16,0.0,39,68
106,2010-04-17,0.0,32,52
107,2010-04-18,0.0,32,51
108,2010-04-19,0.0,32,62
109,2010-04-20,0.0,36,65
110,2010-04-21,0.0,35,64
111,2010-04-22,0.0,37,67
112,2010-04-23,0.0,43,64
113,2010-04-24,0.0,47,60
114,2010-04-25,0.0,49,62
115,2010-04-26,0.0,39,64
116,2010-04-27,0.0,34,55
117,2010-04-28,0.0,30,60
118,2010-04-29,0.0,43,74
119,2010-04-30,0.0,58,78
120,2010-05-01,0.0,58,75
121,2010-05-02,0.0,54,68
122,2010-05-03,0.0,51,73
123,2010-05-04,0.0,48,76
124,2010-05-05,0.0,54,68
125,2010-05-06,0.0,45,62
126,2010-05-07,0.0,48,68
127,2010-05-08,0.0,41,50
128,2010-05-09,0.0,35,53
129,2010-05-10,0.0,33,58
130,2010-05-11,0.0,42,54
131,2010-05-12,0.0,46,53
132,2010-05-13,0.0,47,80
133,2010-05-14,0.0,48,67
134,2010-05-15,0.0,42,65
135,2010-05-16,0.0,43,67
136,2010-05-17,0.0,53,61
137,2010-05-18,0.0,49,58
138,2010-05-19,0.0,43,74
139,2010-05-20,0.0,46,77
140,2010-05-21,0.0,51,68
141,2010-05-22,0.0,59,69
142,2010-05-23,0.0,57,86
143,2010-05-24,0.0,69,88
144,2010-05-25,0.0,66,85
145,2010-05-26,0.0,66,88
146,2010-05-27,0.0,60,81
147,2010-05-28,0.0,54,78
148,2010-05-29,0.0,57,88
149,2010-05-30,0.0,66,89
150,2010-05-31,0.0,62,81
151,2010-06-01,0.0,58,82
152,2010-06-02,0.0,62,79
153,2010-06-03,0.0,55,74
154,2010-06-04,0.0,54,82
155,2010-06-05,0.0,64,77
156,2010-06-06,0.0,55,70
157,2010-06-07,0.0,51,71
158,2010-06-08,0.0,49,63
159,2010-06-09,0.0,61,82
160,2010-06-10,0.0,55,78
161,2010-06-11,0.0,64,87
162,2010-06-12,0.0,61,84
163,2010-06-13,0.0,60,75
164,2010-06-14,0.0,65,78
165,2010-06-15,0.0,68,82
166,2010-06-16,0.0,65,78
167,2010-06-17,0.0,60,82
168,2010-06-18,0.0,66,90
169,2010-06-19,0.0,65,84
170,2010-06-20,0.0,61,80
171,2010-06-21,0.0,62,82
172,2010-06-22,0.0,68,85
