field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,T,33,40
1,2010-01-02,0.0,32,38
2,2010-01-03,0.0,28,42
3,2010-01-04,0.1,32,35
4,2010-01-05,0.2,28,35
5,2010-01-06,0.0,18,29
6,2010-01-07,0.0,16,26
7,2010-01-08,0.0,16,27
8,2010-01-09,0.2,23,30
9,2010-01-10,0.0,30,37
10,2010-01-11,T,30,42
11,2010-01-12,0.0,34,49
12,2010-01-13,0.0,34,42
13,2010-01-14,0.0,34,43
14,2010-01-15,0.0,38,50
15,2010-01-16,0.0,36,41
16,2010-01-17,T,36,41
17,2010-01-18,0.0,35,51
18,2010-01-19,T,35,46
19,2010-01-20,T,33,48
20,2010-01-21,0.0,32,46
21,2010-01-22,0.0,29,45
22,2010-01-23,T,30,40
23,2010-01-24,T,33,41
24,2010-01-25,0.9,32,38
25,2010-01-26,0.0,28,39
26,2010-01-27,0.0,24,39
27,2010-01-28,0.0,28,41
28,2010-01-29,0.0,31,38
29,2010-01-30,0.0,33,42
30,2010-01-31,T,33,39
31,2010-02-01,0.0,36,45
32,2010-02-02,T,33,39
33,2010-02-03,0.0,32,41
34,2010-02-04,0.0,35,47
35,2010-02-05,0.0,36,38
36,2010-02-06,0.0,32,44
37,2010-02-07,0.0,26,34
38,2010-02-08,0.0,30,39
39,2010-02-09,0.0,32,42
40,2010-02-10,0.0,33,44
41,2010-02-11,T,35,42
42,2010-02-12,0.0,37,46
43,2010-02-13,0.0,31,48
44,2010-02-14,0.0,36,43
45,2010-02-15,0.0,37,45
46,2010-02-16,0.0,30,45
47,2010-02-17,0.0,30,41
48,2010-02-18,0.0,28,45
49,2010-02-19,0.0,27,46
50,2010-02-20,0.0,28,45
51,2010-02-21,0.0,23,43
52,2010-02-22,0.0,27,45
53,2010-02-23,0.0,25,47
54,2010-02-24,0.9,32,42
55,2010-02-25,0.0,34,49
56,2010-02-26,0.0,35,48
57,2010-02-27,0.0,34,53
58,2010-02-28,0.0,29,52
59,2010-03-01,0.0,31,57
60,2010-03-02,0.0,38,55
61,2010-03-03,0.0,36,47
62,2010-03-04,0.0,32,48
63,2010-03-05,0.0,28,49
64,2010-03-06,0.0,28,54
65,2010-03-07,0.0,28,56
66,2010-03-08,0.0,29,43
67,2010-03-09,0.0,24,38
68,2010-03-10,T,22,41
69,2010-03-11,T,30,40
70,2010-03-12,T,33,54
71,2010-03-13,T,32,45
72,2010-03-14,0.0,27,50
73,2010-03-15,0.0,33,55
74,2010-03-16,0.0,37,64
75,2010-03-17,0.0,33,51
76,2010-03-18,0.0,25,52
77,2010-03-19,0.0,28,50
78,2010-03-20,0.0,27,58
79,2010-03-21,T,37,49
80,2010-03-22,T,33,52
81,2010-03-23,0.0,30,51
82,2010-03-24,0.0,32,58
83,2010-03-25,0.0,40,50
84,2010-03-26,0.0,36,52
85,2010-03-27,0.0,30,54
86,2010-03-28,0.0,39,55
87,2010-03-29,0.0,36,50
88,2010-03-30,0.0,34,48
89,2010-03-31,T,30,48
90,2010-04-01,T,29,49
91,2010-04-02,0.6,31,40
92,2010-04-03,T,30,45
93,2010-04-04,0.0,31,51
94,2010-04-05,T,34,44
95,2010-04-06,0.1,32,47
96,2010-04-07,0.0,32,51
97,2010-04-08,T,30,45
98,2010-04-09,T,27,46
99,2010-04-10,0.0,26,51
100,2010-04-11,0.0,39,53
101,2010-04-12,0.0,40,55
102,2010-04-13,0.0,41,48
103,2010-04-14,0.0,35,59
104,2010-04-15,0.0,41,69
105,2010-04-16,0.0,43,73
106,2010-04-17,0.0,48,66
107,2010-04-18,0.0,45,66
108,2010-04-19,0.0,43,75
109,2010-04-20,0.0,50,74
110,2010-04-21,0.0,46,55
111,2010-04-22,0.0,39,66
112,2010-04-23,0.0,33,60
113,2010-04-24,0.0,37,56
114,2010-04-25,0.0,31,56
115,2010-04-26,0.0,37,66
116,2010-04-27,0.0,43,62
117,2010-04-28,0.0,39,53
118,2010-04-29,0.0,39,52
119,2010-04-30,0.0,41,60
120,2010-05-01,T,38,54
121,2010-05-02,0.0,33,57
122,2010-05-03,0.0,36,55
123,2010-05-04,0.0,30,50
124,2010-05-05,0.0,29,52
125,2010-05-06,0.0,33,52
126,2010-05-07,0.0,33,57
127,2010-05-08,0.0,40,55
128,2010-05-09,0.0,35,60
129,2010-05-10,0.0,37,66
130,2010-05-11,0.0,38,69
131,2010-05-12,0.0,40,69
132,2010-05-13,0.0,44,72
133,2010-05-14,0.0,46,75
134,2010-05-15,0.0,49,79
135,2010-05-16,0.0,55,81
136,2010-05-17,0.0,57,75
137,2010-05-18,0.0,52,61
138,2010-05-19,0.0,44,70
139,2010-05-20,0.0,37,56
140,2010-05-21,0.0,33,56
141,2010-05-22,T,36,56
142,2010-05-23,0.0,35,58
143,2010-05-24,0.0,32,64
144,2010-05-25,0.0,41,69
145,2010-05-26,0.0,50,59
146,2010-05-27,0.0,46,51
147,2010-05-28,0.0,46,58
148,2010-05-29,0.0,43,57
149,2010-05-30,0.0,43,64
150,2010-05-31,0.0,51,62
151,2010-06-01,0.0,48,67
152,2010-06-02,0.0,50,59
153,2010-06-03,0.0,45,60
154,2010-06-04,0.0,46,60
155,2010-06-05,0.0,43,65
156,2010-06-06,0.0,47,63
157,2010-06-07,0.0,51,70
158,2010-06-08,0.0,46,70
159,2010-06-09,0.0,52,66
160,2010-06-10,0.0,47,59
161,2010-06-11,0.0,47,65
162,2010-06-12,0.0,47,76
163,2010-06-13,0.0,49,79
164,2010-06-14,0.0,51,70
165,2010-06-15,0.0,45,63
166,2010-06-16,0.0,46,52
167,2010-06-17,0.0,45,55
168,2010-06-18,0.0,49,69
169,2010-06-19,0.0,50,76
170,2010-06-20,0.0,53,59
171,2010-06-21,0.0,49,56
172,2010-06-22,0.0,51,73
173,2010-06-23,0.0,56,80
174,2010-06-24,0.0,55,81
175,2010-06-25,0.0,56,79
176,2010-06-26,0.0,55,79
177,2010-06-27,0.0,52,79
178,2010-06-28,0.0,57,83
179,2010-06-29,0.0,56,77
180,2010-06-30,0.0,46,67
181,2010-07-01,0.0,45,71
182,2010-07-02,0.0,50,65
183,2010-07-03,0.0,46,68
184,2010-07-04,0.0,47,71
185,2010-07-05,0.0,45,70
186,2010-07-06,0.0,48,78
187,2010-07-07,0.0,54,84
188,2010-07-08,0.0,61,89
189,2010-07-09,0.0,61,92
190,2010-07-10,0.0,63,88
191,2010-07-11,0.0,59,91
192,2010-07-12,0.0,49,78
193,2010-07-13,0.0,46,70
194,2010-07-14,0.0,47,77
195,2010-07-15,0.0,56,88
196,2010-07-16,0.0,58,87
197,2010-07-17,0.0,56,83
198,2010-07-18,0.0,54,83
199,2010-07-19,0.0,53,82
200,2010-07-20,0.0,58,85
201,2010-07-21,0.0,54,87
202,2010-07-22,0.0,58,85
203,2010-07-23,0.0,52,81
204,2010-07-24,0.0,58,89
205,2010-07-25,0.0,62,93
206,2010-07-26,0.0,64,95
207,2010-07-27,0.0,64,79
208,2010-07-28,0.0,62,91
209,2010-07-29,0.0,63,89
210,2010-07-30,0.0,63,89
211,2010-07-31,0.0,59,78
212,2010-08-01,0.0,53,79
213,2010-08-02,0.0,57,83
214,2010-08-03,0.0,60,88
215,2010-08-04,0.0,63,88
216,2010-08-05,0.0,65,92
217,2010-08-06,0.0,64,89
218,2010-08-07,0.0,60,85
219,2010-08-08,0.0,59,80
220,2010-08-09,0.0,57,82
221,2010-08-10,0.0,57,77
222,2010-08-11,0.0,59,77
223,2010-08-12,0.0,56,87
224,2010-08-13,0.0,56,81
225,2010-08-14,0.0,59,84
226,2010-08-15,0.0,59,89
227,2010-08-16,0.0,62,91
228,2010-08-17,0.0,63,93
229,2010-08-18,0.0,62,87
230,2010-08-19,0.0,58,85
231,2010-08-20,0.0,51,79
232,2010-08-21,0.0,55,79
233,2010-08-22,0.0,52,75
234,2010-08-23,0.0,44,73
235,2010-08-24,0.0,50,83
236,2010-08-25,0.0,56,93
237,2010-08-26,0.0,54,89
238,2010-08-27,0.0,46,68
239,2010-08-28,0.0,49,68
240,2010-08-29,0.0,46,70
241,2010-08-30,0.0,47,67
242,2010-08-31,0.0,45,62
243,2010-09-01,0.0,51,72
244,2010-09-02,0.0,46,75
245,2010-09-03,0.0,53,85
246,2010-09-04,0.0,51,78
247,2010-09-05,0.0,42,68
248,2010-09-06,0.0,42,66
249,2010-09-07,0.0,48,63
250,2010-09-08,0.0,50,67
251,2010-09-09,0.0,42,65
252,2010-09-10,0.0,46,64
253,2010-09-11,0.0,42,67
254,2010-09-12,0.0,46,76
255,2010-09-13,0.0,50,78
256,2010-09-14,0.0,52,79
257,2010-09-15,0.0,50,80
258,2010-09-16,0.0,56,71
259,2010-09-17,0.0,53,66
260,2010-09-18,0.0,50,63
261,2010-09-19,0.0,52,60
262,2010-09-20,0.0,50,65
263,2010-09-21,0.0,46,63
264,2010-09-22,0.0,41,65
265,2010-09-23,0.0,44,60
266,2010-09-24,0.0,48,65
267,2010-09-25,0.0,47,79
268,2010-09-26,0.0,51,74
269,2010-09-27,0.0,56,78
270,2010-09-28,0.0,54,81
271,2010-09-29,0.0,52,76
272,2010-09-30,0.0,49,79
273,2010-10-01,0.0,55,81
274,2010-10-02,0.0,51,81
275,2010-10-03,0.0,56,67
276,2010-10-04,0.0,50,60
277,2010-10-05,0.0,41,64
278,2010-10-06,0.0,43,71
279,2010-10-07,0.0,52,57
280,2010-10-08,0.0,49,57
281,2010-10-09,0.0,48,65
282,2010-10-10,0.0,45,65
283,2010-10-11,0.0,37,56
284,2010-10-12,0.0,36,59
285,2010-10-13,0.0,39,63
286,2010-10-14,0.0,41,70
287,2010-10-15,0.0,39,57
288,2010-10-16,0.0,33,55
289,2010-10-17,0.0,30,56
290,2010-10-18,0.0,32,58
291,2010-10-19,0.0,34,61
292,2010-10-20,0.0,36,62
293,2010-10-21,0.0,39,65
294,2010-10-22,0.0,38,59
295,2010-10-23,0.0,38,50
296,2010-10-24,0.0,40,50
297,2010-10-25,0.0,36,45
298,2010-10-26,0.0,35,47
299,2010-10-27,0.0,39,47
300,2010-10-28,0.0,38,44
301,2010-10-29,0.0,40,46
302,2010-10-30,0.0,38,45
303,2010-10-31,0.0,40,51
304,2010-11-01,0.0,41,54
305,2010-11-02,0.0,38,58
306,2010-11-03,0.0,36,57
307,2010-11-04,0.0,37,56
