field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.5,26,35
1,2010-01-02,5.5,11,26
2,2010-01-03,14.6,10,16
3,2010-01-04,4.9,15,19
4,2010-01-05,3.7,15,22
5,2010-01-06,1.5,19,26
6,2010-01-07,0.3,24,27
7,2010-01-08,1.7,14,26
8,2010-01-09,1.0,-2,15
9,2010-01-10,T,-9,23
10,2010-01-11,0.3,11,26
11,2010-01-12,1.2,7,23
12,2010-01-13,T,3,29
13,2010-01-14,0.0,24,41
14,2010-01-15,0.0,34,42
15,2010-01-16,0.0,27,40
16,2010-01-17,0.0,25,40
17,2010-01-18,T,31,39
18,2010-01-19,0.6,31,36
19,2010-01-20,0.8,28,36
20,2010-01-21,0.0,18,32
21,2010-01-22,0.0,13,37
22,2010-01-23,0.0,10,35
23,2010-01-24,0.0,26,48
24,2010-01-25,0.0,34,57
25,2010-01-26,1.0,30,36
26,2010-01-27,0.5,20,33
27,2010-01-28,6.7,12,31
28,2010-01-29,0.6,5,12
29,2010-01-30,0.1,-8,8
30,2010-01-31,T,-3,24
31,2010-02-01,2.9,18,26
32,2010-02-02,0.1,20,30
33,2010-02-03,3.6,22,30
34,2010-02-04,T,10,27
35,2010-02-05,T,20,30
36,2010-02-06,0.0,8,21
37,2010-02-07,T,8,23
38,2010-02-08,0.9,15,26
39,2010-02-09,0.2,20,27
40,2010-02-10,1.2,24,30
41,2010-02-11,0.2,15,27
42,2010-02-12,0.2,15,30
43,2010-02-13,1.9,10,25
44,2010-02-14,0.8,24,30
45,2010-02-15,0.5,19,33
46,2010-02-16,1.1,23,30
47,2010-02-17,1.6,27,30
48,2010-02-18,0.6,29,32
49,2010-02-19,1.7,29,34
50,2010-02-20,0.1,29,35
51,2010-02-21,T,16,29
52,2010-02-22,0.1,11,40
53,2010-02-23,0.2,33,37
54,2010-02-24,0.8,30,34
55,2010-02-25,13.6,26,33
56,2010-02-26,4.9,28,40
57,2010-02-27,0.8,27,35
58,2010-02-28,0.1,30,39
59,2010-03-01,T,32,37
60,2010-03-02,0.0,32,40
61,2010-03-03,T,30,39
62,2010-03-04,0.0,27,36
63,2010-03-05,0.0,24,36
64,2010-03-06,0.0,18,41
65,2010-03-07,0.0,29,47
66,2010-03-08,0.0,32,47
67,2010-03-09,0.0,30,49
68,2010-03-10,0.0,26,54
69,2010-03-11,0.0,40,57
70,2010-03-12,0.0,41,50
71,2010-03-13,0.0,39,44
72,2010-03-14,0.0,39,51
73,2010-03-15,0.0,36,54
74,2010-03-16,0.0,26,60
75,2010-03-17,0.0,27,60
76,2010-03-18,0.0,40,66
77,2010-03-19,0.0,35,64
78,2010-03-20,0.0,37,56
79,2010-03-21,0.0,34,57
80,2010-03-22,0.0,36,47
81,2010-03-23,T,34,48
82,2010-03-24,T,34,52
83,2010-03-25,0.0,31,55
84,2010-03-26,0.0,21,33
85,2010-03-27,0.0,18,44
86,2010-03-28,0.0,34,48
87,2010-03-29,0.0,40,50
88,2010-03-30,0.0,33,44
89,2010-03-31,0.0,38,53
90,2010-04-01,0.0,31,75
91,2010-04-02,0.0,47,87
92,2010-04-03,0.0,56,87
93,2010-04-04,0.0,42,66
94,2010-04-05,0.0,39,76
95,2010-04-06,0.0,45,59
96,2010-04-07,0.0,43,79
97,2010-04-08,0.0,45,84
98,2010-04-09,T,34,49
99,2010-04-10,T,37,55
100,2010-04-11,0.0,44,60
101,2010-04-12,0.0,35,55
102,2010-04-13,0.0,39,60
103,2010-04-14,0.0,32,63
104,2010-04-15,0.0,37,65
105,2010-04-16,0.0,47,64
106,2010-04-17,0.0,38,49
107,2010-04-18,T,37,55
108,2010-04-19,0.0,40,60
109,2010-04-20,0.0,36,66
110,2010-04-21,0.0,39,70
111,2010-04-22,0.0,36,50
112,2010-04-23,0.0,31,56
113,2010-04-24,0.0,32,68
114,2010-04-25,0.0,49,58
115,2010-04-26,0.0,47,59
116,2010-04-27,T,36,48
