field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.4,16,27
1,2010-01-02,0.0,9,19
2,2010-01-03,T,5,23
3,2010-01-04,1.9,20,26
4,2010-01-05,1.0,24,29
5,2010-01-06,T,23,29
6,2010-01-07,2.5,20,23
7,2010-01-08,0.7,17,25
8,2010-01-09,T,5,22
9,2010-01-10,0.0,0,23
10,2010-01-11,0.4,16,23
11,2010-01-12,T,15,25
12,2010-01-13,0.0,19,32
13,2010-01-14,0.0,26,39
14,2010-01-15,0.0,33,38
15,2010-01-16,0.0,30,34
16,2010-01-17,T,26,32
17,2010-01-18,0.0,24,31
18,2010-01-19,0.0,30,33
19,2010-01-20,0.0,23,31
20,2010-01-21,0.0,23,34
21,2010-01-22,0.0,32,35
22,2010-01-23,0.0,33,39
23,2010-01-24,0.0,37,49
24,2010-01-25,0.2,28,46
25,2010-01-26,T,20,28
26,2010-01-27,0.9,15,28
27,2010-01-28,T,8,29
28,2010-01-29,0.0,0,18
29,2010-01-30,T,5,20
30,2010-01-31,T,5,27
31,2010-02-01,T,7,28
32,2010-02-02,0.2,20,32
33,2010-02-03,0.2,28,35
34,2010-02-04,0.0,22,35
35,2010-02-05,2.0,27,32
36,2010-02-06,1.0,20,29
37,2010-02-07,T,12,28
38,2010-02-08,0.0,2,28
39,2010-02-09,10.0,19,27
40,2010-02-10,2.1,14,27
41,2010-02-11,T,25,29
42,2010-02-12,T,19,27
43,2010-02-13,T,10,28
44,2010-02-14,0.0,18,31
45,2010-02-15,T,3,31
46,2010-02-16,0.9,24,31
47,2010-02-17,0.1,24,35
48,2010-02-18,0.0,25,39
49,2010-02-19,0.0,19,38
50,2010-02-20,0.0,21,37
51,2010-02-21,1.0,25,41
52,2010-02-22,1.5,31,34
53,2010-02-23,T,27,36
54,2010-02-24,1.4,25,32
55,2010-02-25,0.2,20,27
56,2010-02-26,3.4,26,30
57,2010-02-27,0.1,28,34
58,2010-02-28,0.0,31,39
59,2010-03-01,T,26,40
60,2010-03-02,0.0,21,35
61,2010-03-03,0.0,27,38
62,2010-03-04,0.0,22,41
63,2010-03-05,0.0,20,40
64,2010-03-06,0.0,20,45
65,2010-03-07,0.0,22,49
66,2010-03-08,0.0,26,53
67,2010-03-09,0.0,26,59
68,2010-03-10,0.0,41,62
69,2010-03-11,0.0,37,68
70,2010-03-12,0.0,38,61
71,2010-03-13,0.0,37,44
72,2010-03-14,0.0,36,41
73,2010-03-15,0.0,34,51
74,2010-03-16,0.0,31,62
75,2010-03-17,0.0,31,63
76,2010-03-18,0.0,32,66
77,2010-03-19,0.0,44,66
78,2010-03-20,0.0,35,51
79,2010-03-21,0.0,34,48
80,2010-03-22,0.0,37,44
81,2010-03-23,0.0,38,58
82,2010-03-24,0.0,29,58
83,2010-03-25,T,30,46
84,2010-03-26,0.0,23,40
85,2010-03-27,0.0,21,50
86,2010-03-28,0.0,38,47
87,2010-03-29,0.0,33,51
88,2010-03-30,0.0,26,56
89,2010-03-31,0.0,34,73
90,2010-04-01,0.0,55,80
91,2010-04-02,0.0,55,81
92,2010-04-03,0.0,43,77
93,2010-04-04,0.0,33,73
94,2010-04-05,0.0,54,76
95,2010-04-06,0.0,62,83
96,2010-04-07,0.0,55,71
97,2010-04-08,0.0,35,58
98,2010-04-09,0.0,31,50
99,2010-04-10,0.0,25,70
100,2010-04-11,0.0,46,65
101,2010-04-12,0.0,35,62
102,2010-04-13,0.0,44,57
103,2010-04-14,0.0,42,70
104,2010-04-15,0.0,45,84
105,2010-04-16,0.0,44,70
106,2010-04-17,0.0,37,52
107,2010-04-18,0.0,33,54
108,2010-04-19,0.0,33,64
109,2010-04-20,0.0,38,63
110,2010-04-21,0.0,36,71
111,2010-04-22,0.0,40,60
112,2010-04-23,0.0,36,62
113,2010-04-24,0.0,49,65
114,2010-04-25,0.0,49,57
115,2010-04-26,0.0,45,66
116,2010-04-27,0.0,37,56
117,2010-04-28,0.0,32,60
118,2010-04-29,0.0,33,69
119,2010-04-30,0.0,53,82
120,2010-05-01,0.0,63,75
121,2010-05-02,0.0,62,75
122,2010-05-03,0.0,55,75
123,2010-05-04,0.0,52,73
124,2010-05-05,0.0,57,82
125,2010-05-06,0.0,49,68
126,2010-05-07,0.0,47,73
127,2010-05-08,0.0,40,56
128,2010-05-09,0.0,36,56
129,2010-05-10,0.0,32,58
130,2010-05-11,0.0,42,53
131,2010-05-12,0.0,46,52
132,2010-05-13,0.0,47,83
133,2010-05-14,0.0,48,70
134,2010-05-15,0.0,45,69
135,2010-05-16,0.0,50,63
136,2010-05-17,0.0,49,59
137,2010-05-18,0.0,50,55
138,2010-05-19,0.0,49,71
139,2010-05-20,0.0,47,80
140,2010-05-21,0.0,59,73
141,2010-05-22,0.0,61,77
142,2010-05-23,0.0,56,84
143,2010-05-24,0.0,59,85
144,2010-05-25,0.0,60,85
145,2010-05-26,0.0,60,90
146,2010-05-27,0.0,63,89
147,2010-05-28,0.0,62,87
148,2010-05-29,0.0,62,86
149,2010-05-30,0.0,58,89
150,2010-05-31,0.0,62,86
151,2010-06-01,0.0,61,80
152,2010-06-02,0.0,61,80
153,2010-06-03,0.0,62,80
154,2010-06-04,0.0,62,85
155,2010-06-05,0.0,68,79
156,2010-06-06,0.0,62,76
157,2010-06-07,0.0,52,73
158,2010-06-08,0.0,48,72
159,2010-06-09,0.0,58,81
160,2010-06-10,0.0,59,80
161,2010-06-11,0.0,64,84
162,2010-06-12,0.0,71,88
163,2010-06-13,0.0,67,80
164,2010-06-14,0.0,67,83
165,2010-06-15,0.0,67,77
166,2010-06-16,0.0,65,83
167,2010-06-17,0.0,61,78
168,2010-06-18,0.0,57,90
169,2010-06-19,0.0,66,86
170,2010-06-20,0.0,64,84
171,2010-06-21,0.0,62,84
172,2010-06-22,0.0,67,88
173,2010-06-23,0.0,66,85
174,2010-06-24,0.0,67,83
175,2010-06-25,0.0,62,83
176,2010-06-26,0.0,59,90
177,2010-06-27,0.0,66,92
178,2010-06-28,0.0,67,86
179,2010-06-29,0.0,59,75
180,2010-06-30,0.0,51,75
181,2010-07-01,0.0,54,77
182,2010-07-02,0.0,49,81
183,2010-07-03,0.0,53,87
184,2010-07-04,0.0,58,94
185,2010-07-05,0.0,73,94
186,2010-07-06,0.0,66,94
187,2010-07-07,0.0,69,95
188,2010-07-08,0.0,70,94
189,2010-07-09,0.0,67,86
190,2010-07-10,0.0,61,88
191,2010-07-11,0.0,63,89
192,2010-07-12,0.0,69,85
193,2010-07-13,0.0,69,83
194,2010-07-14,0.0,66,88
195,2010-07-15,0.0,67,94
196,2010-07-16,0.0,73,89
197,2010-07-17,0.0,67,92
198,2010-07-18,0.0,64,91
199,2010-07-19,0.0,72,88
200,2010-07-20,0.0,69,84
201,2010-07-21,0.0,69,92
202,2010-07-22,0.0,63,90
203,2010-07-23,0.0,71,96
204,2010-07-24,0.0,71,93
205,2010-07-25,0.0,65,83
206,2010-07-26,0.0,61,85
207,2010-07-27,0.0,59,86
208,2010-07-28,0.0,66,92
209,2010-07-29,0.0,65,81
210,2010-07-30,0.0,64,83
211,2010-07-31,0.0,66,80
212,2010-08-01,0.0,64,85
213,2010-08-02,0.0,62,88
214,2010-08-03,0.0,72,82
215,2010-08-04,0.0,69,87
216,2010-08-05,0.0,67,89
217,2010-08-06,0.0,63,83
218,2010-08-07,0.0,57,83
219,2010-08-08,0.0,62,87
220,2010-08-09,0.0,67,89
221,2010-08-10,0.0,68,88
222,2010-08-11,0.0,71,84
223,2010-08-12,0.0,71,85
224,2010-08-13,0.0,69,89
225,2010-08-14,0.0,71,85
226,2010-08-15,0.0,70,91
227,2010-08-16,0.0,57,82
228,2010-08-17,0.0,57,84
229,2010-08-18,0.0,62,80
230,2010-08-19,0.0,58,87
231,2010-08-20,0.0,66,90
232,2010-08-21,0.0,66,74
233,2010-08-22,0.0,65,80
234,2010-08-23,0.0,63,80
235,2010-08-24,0.0,63,79
236,2010-08-25,0.0,61,81
237,2010-08-26,0.0,53,75
238,2010-08-27,0.0,49,80
239,2010-08-28,0.0,52,85
240,2010-08-29,0.0,57,93
241,2010-08-30,0.0,65,92
242,2010-08-31,0.0,66,92
243,2010-09-01,0.0,68,92
244,2010-09-02,0.0,70,86
245,2010-09-03,0.0,60,77
246,2010-09-04,0.0,54,69
247,2010-09-05,0.0,45,74
248,2010-09-06,0.0,54,86
249,2010-09-07,0.0,64,87
250,2010-09-08,0.0,54,73
251,2010-09-09,0.0,48,72
252,2010-09-10,0.0,47,72
253,2010-09-11,0.0,50,66
254,2010-09-12,0.0,53,77
255,2010-09-13,0.0,57,83
256,2010-09-14,0.0,50,77
257,2010-09-15,0.0,49,76
258,2010-09-16,0.0,58,80
259,2010-09-17,0.0,50,64
260,2010-09-18,0.0,48,79
261,2010-09-19,0.0,57,71
262,2010-09-20,0.0,54,72
263,2010-09-21,0.0,56,91
264,2010-09-22,0.0,65,78
265,2010-09-23,0.0,62,92
266,2010-09-24,0.0,62,88
267,2010-09-25,0.0,54,64
268,2010-09-26,0.0,46,66
269,2010-09-27,0.0,52,60
270,2010-09-28,0.0,51,57
271,2010-09-29,0.0,42,73
272,2010-09-30,0.0,46,75
273,2010-10-01,0.0,46,68
274,2010-10-02,0.0,46,54
275,2010-10-03,0.0,42,57
276,2010-10-04,0.0,41,62
277,2010-10-05,0.0,46,65
278,2010-10-06,0.0,43,72
279,2010-10-07,0.0,46,73
280,2010-10-08,0.0,38,80
281,2010-10-09,0.0,49,79
282,2010-10-10,0.0,50,87
283,2010-10-11,0.0,49,83
284,2010-10-12,0.0,45,66
285,2010-10-13,0.0,43,70
286,2010-10-14,0.0,44,64
287,2010-10-15,0.0,44,62
288,2010-10-16,0.0,37,65
289,2010-10-17,0.0,47,67
290,2010-10-18,0.0,40,55
291,2010-10-19,0.0,35,60
292,2010-10-20,0.0,34,67
293,2010-10-21,0.0,39,55
294,2010-10-22,0.0,35,59
295,2010-10-23,0.0,48,67
296,2010-10-24,0.0,56,74
297,2010-10-25,0.0,59,70
298,2010-10-26,0.0,54,72
299,2010-10-27,0.0,50,69
300,2010-10-28,0.0,42,56
301,2010-10-29,0.0,40,52
302,2010-10-30,0.0,37,62
303,2010-10-31,0.0,34,50
304,2010-11-01,0.0,28,50
305,2010-11-02,0.0,25,51
306,2010-11-03,0.0,26,48
307,2010-11-04,0.0,30,52
308,2010-11-05,0.0,32,41
309,2010-11-06,0.0,30,42
310,2010-11-07,0.0,28,54
311,2010-11-08,0.0,33,63
312,2010-11-09,0.0,31,63
313,2010-11-10,0.0,35,57
314,2010-11-11,0.0,33,65
315,2010-11-12,0.0,33,66
316,2010-11-13,0.0,35,72
317,2010-11-14,0.0,36,56
318,2010-11-15,0.0,30,53
319,2010-11-16,0.0,26,49
320,2010-11-17,0.0,38,56
321,2010-11-18,0.0,34,45
322,2010-11-19,0.0,23,45
323,2010-11-20,0.0,34,50
324,2010-11-21,0.0,38,62
325,2010-11-22,0.0,57,66
326,2010-11-23,0.0,30,62
327,2010-11-24,0.0,24,38
328,2010-11-25,0.0,34,47
329,2010-11-26,0.0,22,34
330,2010-11-27,0.0,27,33
331,2010-11-28,0.0,17,40
332,2010-11-29,0.0,22,53
333,2010-11-30,T,31,57
334,2010-12-01,T,25,32
335,2010-12-02,0.0,24,29
336,2010-12-03,0.0,27,31
337,2010-12-04,0.0,22,32
338,2010-12-05,T,23,33
339,2010-12-06,0.2,23,28
340,2010-12-07,T,19,28
341,2010-12-08,0.3,17,29
342,2010-12-09,0.0,9,30
343,2010-12-10,0.7,25,39
344,2010-12-11,0.0,22,44
345,2010-12-12,3.0,17,38
346,2010-12-13,1.0,10,17
347,2010-12-14,T,6,22
348,2010-12-15,0.1,3,23
349,2010-12-16,0.0,3,24
350,2010-12-17,T,15,26
351,2010-12-18,0.0,11,22
352,2010-12-19,0.0,11,24
353,2010-12-20,0.0,11,27
354,2010-12-21,T,22,30
355,2010-12-22,0.5,23,31
356,2010-12-23,0.0,27,32
357,2010-12-24,0.0,24,30
358,2010-12-25,T,23,29
359,2010-12-26,0.2,18,27
360,2010-12-27,0.0,16,27
361,2010-12-28,0.0,16,28
362,2010-12-29,0.0,18,33
363,2010-12-30,0.0,33,43
364,2010-12-31,0.0,41,55
365,2011-01-01,0.0,23,54
366,2011-01-02,T,16,25
367,2011-01-03,0.0,18,36
368,2011-01-04,T,22,36
369,2011-01-05,T,12,27
370,2011-01-06,1.4,22,30
371,2011-01-07,0.5,16,22
372,2011-01-08,0.6,11,22
373,2011-01-09,0.0,7,28
374,2011-01-10,0.0,8,30
375,2011-01-11,4.2,20,26
376,2011-01-12,0.4,7,25
377,2011-01-13,T,7,26
378,2011-01-14,T,16,24
379,2011-01-15,0.4,22,31
380,2011-01-16,T,1,22
381,2011-01-17,T,10,34
382,2011-01-18,T,29,37
383,2011-01-19,T,18,29
384,2011-01-20,0.8,18,23
385,2011-01-21,0.5,8,19
386,2011-01-22,T,-1,17
387,2011-01-23,0.0,-4,17
388,2011-01-24,1.2,3,32
389,2011-01-25,0.0,24,32
390,2011-01-26,0.0,24,30
391,2011-01-27,2.2,21,28
392,2011-01-28,0.2,20,31
393,2011-01-29,0.5,20,31
394,2011-01-30,T,11,30
395,2011-01-31,0.8,9,19
396,2011-02-01,3.5,14,20
397,2011-02-02,2.2,12,25
398,2011-02-03,0.0,2,21
399,2011-02-04,0.0,11,26
400,2011-02-05,6.6,8,25
401,2011-02-06,0.4,22,31
402,2011-02-07,T,18,32
403,2011-02-08,0.0,10,20
404,2011-02-09,0.0,3,14
405,2011-02-10,0.0,-4,12
406,2011-02-11,0.0,6,28
407,2011-02-12,1.0,27,36
408,2011-02-13,0.0,35,46
409,2011-02-14,0.0,27,46
410,2011-02-15,0.0,12,34
411,2011-02-16,0.0,27,49
412,2011-02-17,0.0,44,55
413,2011-02-18,0.0,37,55
414,2011-02-19,0.0,23,42
415,2011-02-20,0.9,22,33
416,2011-02-21,2.5,16,32
417,2011-02-22,0.1,9,22
418,2011-02-23,0.0,9,28
419,2011-02-24,0.8,28,35
420,2011-02-25,7.0,18,32
421,2011-02-26,0.3,19,32
422,2011-02-27,0.0,31,42
423,2011-02-28,0.0,21,37
424,2011-03-01,0.0,17,41
425,2011-03-02,0.0,23,37
426,2011-03-03,0.0,20,33
427,2011-03-04,0.0,28,50
428,2011-03-05,1.8,28,51
429,2011-03-06,T,25,36
430,2011-03-07,0.0,19,38
431,2011-03-08,0.0,25,47
432,2011-03-09,0.0,35,48
433,2011-03-10,0.9,31,48
434,2011-03-11,2.0,30,45
435,2011-03-12,0.0,32,49
436,2011-03-13,0.0,33,42
437,2011-03-14,0.0,27,40
438,2011-03-15,0.0,28,37
439,2011-03-16,0.0,37,56
440,2011-03-17,0.0,40,70
441,2011-03-18,0.0,38,66
442,2011-03-19,0.0,31,51
443,2011-03-20,0.0,31,51
444,2011-03-21,0.0,42,58
445,2011-03-22,0.0,35,43
446,2011-03-23,0.0,28,36
447,2011-03-24,T,23,38
448,2011-03-25,0.0,20,37
449,2011-03-26,0.0,16,34
450,2011-03-27,0.0,18,40
451,2011-03-28,0.0,18,41
452,2011-03-29,0.0,19,46
453,2011-03-30,0.0,24,41
454,2011-03-31,0.0,20,48
455,2011-04-01,0.0,27,52
456,2011-04-02,0.0,34,47
457,2011-04-03,0.0,25,50
458,2011-04-04,0.0,40,66
459,2011-04-05,0.0,28,48
460,2011-04-06,0.0,35,53
461,2011-04-07,0.0,37,43
462,2011-04-08,0.0,39,49
463,2011-04-09,0.0,43,56
464,2011-04-10,0.0,40,84
465,2011-04-11,0.0,48,74
466,2011-04-12,0.0,40,61
467,2011-04-13,0.0,36,66
468,2011-04-14,0.0,41,57
469,2011-04-15,0.0,38,47
470,2011-04-16,0.0,35,55
471,2011-04-17,0.0,38,52
472,2011-04-18,T,34,43
473,2011-04-19,0.0,36,42
474,2011-04-20,0.0,39,47
475,2011-04-21,0.0,35,54
476,2011-04-22,0.0,39,47
477,2011-04-23,0.0,47,74
478,2011-04-24,0.0,49,60
479,2011-04-25,0.0,47,52
480,2011-04-26,0.0,45,74
