field1,field2,field3,field4,field5
,0,1,2,3
0,2010-01-01,0.1,-2,17
1,2010-01-02,0.0,-10,5
2,2010-01-03,0.0,-7,15
3,2010-01-04,0.0,8,20
4,2010-01-05,0.1,8,25
5,2010-01-06,0.0,5,24
6,2010-01-07,1.3,17,25
7,2010-01-08,T,8,18
8,2010-01-09,0.0,0,13
9,2010-01-10,T,1,20
10,2010-01-11,T,13,25
11,2010-01-12,0.0,14,24
12,2010-01-13,0.0,13,24
13,2010-01-14,T,15,26
14,2010-01-15,0.0,24,26
15,2010-01-16,0.0,21,31
16,2010-01-17,0.0,17,33
17,2010-01-18,0.0,16,32
18,2010-01-19,0.0,14,28
19,2010-01-20,T,11,24
20,2010-01-21,0.0,20,32
21,2010-01-22,0.0,25,29
22,2010-01-23,0.0,27,35
23,2010-01-24,0.4,30,36
24,2010-01-25,0.4,23,31
25,2010-01-26,T,2,25
26,2010-01-27,T,0,8
27,2010-01-28,0.0,-5,3
28,2010-01-29,0.0,-8,11
29,2010-01-30,0.0,-8,16
30,2010-01-31,0.0,1,19
31,2010-02-01,0.1,-1,18
32,2010-02-02,1.7,14,25
33,2010-02-03,T,6,23
34,2010-02-04,T,15,30
35,2010-02-05,0.1,22,31
36,2010-02-06,T,14,25
37,2010-02-07,T,9,24
38,2010-02-08,0.2,18,27
39,2010-02-09,1.4,19,27
40,2010-02-10,0.0,12,29
41,2010-02-11,0.0,4,26
42,2010-02-12,0.0,-4,28
43,2010-02-13,0.0,3,31
44,2010-02-14,0.4,11,27
45,2010-02-15,1.0,15,27
46,2010-02-16,0.0,22,31
47,2010-02-17,0.0,24,37
48,2010-02-18,0.0,16,38
49,2010-02-19,0.0,8,37
50,2010-02-20,0.3,17,32
51,2010-02-21,0.0,23,35
52,2010-02-22,0.1,26,35
53,2010-02-23,0.7,19,28
54,2010-02-24,0.1,11,25
55,2010-02-25,0.0,5,28
56,2010-02-26,0.0,8,36
57,2010-02-27,0.0,25,40
58,2010-02-28,T,28,35
59,2010-03-01,0.0,20,37
60,2010-03-02,0.0,14,39
61,2010-03-03,0.0,16,43
62,2010-03-04,0.0,15,42
63,2010-03-05,0.0,16,43
64,2010-03-06,0.0,17,44
65,2010-03-07,0.0,19,52
66,2010-03-08,0.0,25,51
67,2010-03-09,0.0,27,45
68,2010-03-10,0.0,37,40
69,2010-03-11,0.0,38,44
70,2010-03-12,0.0,39,45
71,2010-03-13,0.0,39,46
72,2010-03-14,0.0,37,63
73,2010-03-15,0.0,32,63
74,2010-03-16,0.0,29,63
75,2010-03-17,0.0,29,63
76,2010-03-18,0.0,39,62
77,2010-03-19,0.0,29,50
78,2010-03-20,0.0,26,40
79,2010-03-21,0.0,19,48
80,2010-03-22,0.0,25,54
81,2010-03-23,0.0,27,57
82,2010-03-24,0.0,31,57
83,2010-03-25,0.0,19,39
84,2010-03-26,0.0,14,40
85,2010-03-27,0.0,30,50
86,2010-03-28,0.0,27,44
87,2010-03-29,0.0,21,50
88,2010-03-30,0.0,30,66
89,2010-03-31,0.0,49,73
90,2010-04-01,0.0,45,79
91,2010-04-02,0.0,54,73
92,2010-04-03,0.0,42,56
93,2010-04-04,0.0,43,67
94,2010-04-05,0.0,36,61
95,2010-04-06,0.0,43,51
96,2010-04-07,T,34,53
97,2010-04-08,T,24,36
98,2010-04-09,0.0,20,55
99,2010-04-10,0.0,36,60
100,2010-04-11,0.0,28,66
101,2010-04-12,0.0,37,64
102,2010-04-13,0.0,44,56
103,2010-04-14,0.0,41,77
104,2010-04-15,0.0,53,76
105,2010-04-16,0.0,42,56
106,2010-04-17,0.0,34,57
107,2010-04-18,0.0,31,61
108,2010-04-19,0.0,34,64
109,2010-04-20,0.0,38,70
110,2010-04-21,0.0,33,59
111,2010-04-22,0.0,27,59
112,2010-04-23,0.0,33,67
113,2010-04-24,0.0,46,52
114,2010-04-25,0.0,47,64
115,2010-04-26,0.0,40,66
116,2010-04-27,0.0,32,59
117,2010-04-28,0.0,32,62
118,2010-04-29,0.0,40,67
119,2010-04-30,0.0,57,77
120,2010-05-01,0.0,54,68
121,2010-05-02,0.0,53,70
122,2010-05-03,0.0,44,57
123,2010-05-04,0.0,38,74
124,2010-05-05,0.0,45,61
125,2010-05-06,0.0,37,57
126,2010-05-07,2.4,32,47
127,2010-05-08,0.5,32,46
128,2010-05-09,0.0,30,57
129,2010-05-10,0.0,31,59
130,2010-05-11,0.0,38,44
131,2010-05-12,0.0,40,59
132,2010-05-13,0.0,45,52
133,2010-05-14,0.0,39,61
134,2010-05-15,0.0,34,67
135,2010-05-16,0.0,42,71
136,2010-05-17,0.0,47,72
137,2010-05-18,0.0,44,76
138,2010-05-19,0.0,42,80
139,2010-05-20,0.0,45,83
140,2010-05-21,0.0,53,62
141,2010-05-22,0.0,55,72
142,2010-05-23,0.0,65,87
143,2010-05-24,0.0,71,92
144,2010-05-25,0.0,67,85
145,2010-05-26,0.0,62,82
146,2010-05-27,0.0,54,80
147,2010-05-28,0.0,49,84
148,2010-05-29,0.0,56,86
149,2010-05-30,0.0,59,88
150,2010-05-31,0.0,56,78
151,2010-06-01,0.0,52,83
152,2010-06-02,0.0,50,67
153,2010-06-03,0.0,50,73
154,2010-06-04,0.0,55,76
155,2010-06-05,0.0,53,73
156,2010-06-06,0.0,52,67
157,2010-06-07,0.0,50,68
158,2010-06-08,0.0,50,57
159,2010-06-09,0.0,57,72
160,2010-06-10,0.0,50,67
161,2010-06-11,0.0,55,62
162,2010-06-12,0.0,58,65
163,2010-06-13,0.0,59,68
164,2010-06-14,0.0,58,65
165,2010-06-15,0.0,59,63
166,2010-06-16,0.0,59,73
167,2010-06-17,0.0,56,83
168,2010-06-18,0.0,64,81
169,2010-06-19,0.0,60,73
170,2010-06-20,0.0,56,77
171,2010-06-21,0.0,58,78
172,2010-06-22,0.0,57,85
173,2010-06-23,0.0,62,82
174,2010-06-24,0.0,60,77
175,2010-06-25,0.0,57,80
176,2010-06-26,0.0,65,84
177,2010-06-27,0.0,62,82
178,2010-06-28,0.0,60,72
179,2010-06-29,0.0,52,71
180,2010-06-30,0.0,45,74
181,2010-07-01,0.0,51,80
182,2010-07-02,0.0,62,82
183,2010-07-03,0.0,64,86
184,2010-07-04,0.0,68,79
185,2010-07-05,0.0,66,73
186,2010-07-06,0.0,70,84
187,2010-07-07,0.0,67,82
188,2010-07-08,0.0,66,83
189,2010-07-09,0.0,61,83
190,2010-07-10,0.0,57,83
191,2010-07-11,0.0,62,77
192,2010-07-12,0.0,61,80
193,2010-07-13,0.0,58,81
194,2010-07-14,0.0,62,80
195,2010-07-15,0.0,68,80
196,2010-07-16,0.0,68,86
197,2010-07-17,0.0,64,85
198,2010-07-18,0.0,65,78
199,2010-07-19,0.0,62,80
200,2010-07-20,0.0,57,80
201,2010-07-21,0.0,63,82
202,2010-07-22,0.0,62,66
203,2010-07-23,0.0,62,81
204,2010-07-24,0.0,62,79
205,2010-07-25,0.0,59,82
206,2010-07-26,0.0,57,82
207,2010-07-27,0.0,63,84
208,2010-07-28,0.0,61,79
209,2010-07-29,0.0,59,80
210,2010-07-30,0.0,60,78
211,2010-07-31,0.0,63,79
212,2010-08-01,0.0,61,82
213,2010-08-02,0.0,70,83
214,2010-08-03,0.0,69,88
215,2010-08-04,0.0,67,85
216,2010-08-05,0.0,62,79
217,2010-08-06,0.0,60,78
218,2010-08-07,0.0,55,83
219,2010-08-08,0.0,64,77
220,2010-08-09,0.0,69,91
221,2010-08-10,0.0,63,85
222,2010-08-11,0.0,67,84
223,2010-08-12,0.0,68,88
224,2010-08-13,0.0,69,80
225,2010-08-14,0.0,67,84
226,2010-08-15,0.0,60,73
227,2010-08-16,0.0,55,75
228,2010-08-17,0.0,53,70
229,2010-08-18,0.0,56,75
230,2010-08-19,0.0,63,76
231,2010-08-20,0.0,60,83
232,2010-08-21,0.0,64,82
233,2010-08-22,0.0,59,84
234,2010-08-23,0.0,61,83
235,2010-08-24,0.0,57,76
236,2010-08-25,0.0,51,71
237,2010-08-26,0.0,46,74
238,2010-08-27,0.0,54,85
239,2010-08-28,0.0,62,84
240,2010-08-29,0.0,55,89
241,2010-08-30,0.0,72,89
242,2010-08-31,0.0,68,77
243,2010-09-01,0.0,58,77
244,2010-09-02,0.0,55,77
245,2010-09-03,0.0,49,60
246,2010-09-04,0.0,45,63
247,2010-09-05,0.0,41,67
248,2010-09-06,0.0,56,73
249,2010-09-07,0.0,48,67
250,2010-09-08,0.0,43,61
251,2010-09-09,0.0,40,66
252,2010-09-10,0.0,44,67
253,2010-09-11,0.0,52,67
254,2010-09-12,0.0,48,77
255,2010-09-13,0.0,48,69
256,2010-09-14,0.0,46,63
257,2010-09-15,0.0,43,56
258,2010-09-16,0.0,51,61
259,2010-09-17,0.0,51,61
260,2010-09-18,0.0,40,60
261,2010-09-19,0.0,37,60
262,2010-09-20,0.0,42,63
263,2010-09-21,0.0,52,74
264,2010-09-22,0.0,44,67
265,2010-09-23,0.0,57,71
266,2010-09-24,0.0,45,70
267,2010-09-25,0.0,39,62
268,2010-09-26,0.0,35,61
269,2010-09-27,0.0,35,63
270,2010-09-28,0.0,45,61
271,2010-09-29,0.0,49,74
272,2010-09-30,0.0,43,67
273,2010-10-01,0.0,39,62
274,2010-10-02,0.0,34,52
275,2010-10-03,0.0,31,56
276,2010-10-04,0.0,30,60
277,2010-10-05,0.0,32,67
278,2010-10-06,0.0,39,73
279,2010-10-07,0.0,46,72
280,2010-10-08,0.0,42,80
281,2010-10-09,0.0,51,74
282,2010-10-10,0.0,47,77
283,2010-10-11,0.0,49,71
284,2010-10-12,0.0,44,75
285,2010-10-13,0.0,37,62
286,2010-10-14,0.0,37,64
287,2010-10-15,0.0,39,60
288,2010-10-16,0.0,35,64
289,2010-10-17,0.0,35,58
290,2010-10-18,0.0,37,54
291,2010-10-19,0.0,36,57
292,2010-10-20,0.0,38,53
293,2010-10-21,0.0,29,48
294,2010-10-22,0.0,26,59
295,2010-10-23,0.0,38,50
296,2010-10-24,0.0,47,56
297,2010-10-25,0.0,54,61
298,2010-10-26,0.0,41,62
299,2010-10-27,T,38,45
300,2010-10-28,T,30,39
301,2010-10-29,0.0,26,45
302,2010-10-30,0.0,32,51
303,2010-10-31,0.0,27,47
304,2010-11-01,0.0,23,49
305,2010-11-02,0.0,24,50
306,2010-11-03,0.0,36,55
307,2010-11-04,T,32,43
308,2010-11-05,0.0,25,38
309,2010-11-06,0.0,24,47
310,2010-11-07,0.0,30,56
311,2010-11-08,0.0,34,63
312,2010-11-09,0.0,37,62
313,2010-11-10,0.0,41,61
314,2010-11-11,0.0,35,56
315,2010-11-12,T,30,41
316,2010-11-13,T,33,41
317,2010-11-14,0.1,31,36
318,2010-11-15,0.0,30,43
319,2010-11-16,0.0,26,47
320,2010-11-17,0.0,32,40
321,2010-11-18,0.0,28,33
322,2010-11-19,0.0,27,36
323,2010-11-20,0.0,17,29
324,2010-11-21,0.0,26,38
325,2010-11-22,T,25,37
326,2010-11-23,0.1,15,25
327,2010-11-24,1.5,15,32
328,2010-11-25,T,10,33
329,2010-11-26,T,11,20
330,2010-11-27,T,11,22
331,2010-11-28,0.0,10,40
332,2010-11-29,T,31,40
333,2010-11-30,T,21,40
334,2010-12-01,0.2,18,23
335,2010-12-02,T,14,22
336,2010-12-03,0.0,14,21
337,2010-12-04,0.2,20,28
338,2010-12-05,T,14,21
339,2010-12-06,T,14,20
340,2010-12-07,0.0,10,23
341,2010-12-08,T,7,23
342,2010-12-09,1.8,7,24
343,2010-12-10,T,20,28
344,2010-12-11,12.8,18,24
345,2010-12-12,0.7,8,19
346,2010-12-13,0.0,-3,14
347,2010-12-14,0.0,-13,13
348,2010-12-15,0.0,-18,18
349,2010-12-16,0.0,-9,19
350,2010-12-17,0.0,6,15
351,2010-12-18,T,8,13
352,2010-12-19,T,1,15
353,2010-12-20,1.7,-7,22
354,2010-12-21,3.7,21,30
355,2010-12-22,0.6,25,32
356,2010-12-23,0.0,21,26
357,2010-12-24,0.5,21,26
358,2010-12-25,T,20,29
359,2010-12-26,0.0,19,24
360,2010-12-27,0.7,14,21
361,2010-12-28,T,12,23
362,2010-12-29,0.0,10,37
363,2010-12-30,0.0,32,40
364,2010-12-31,0.0,26,42
365,2011-01-01,T,4,35
366,2011-01-02,T,0,13
367,2011-01-03,1.9,11,19
